Broken Wings	Mr. Mister
Separate Lives	Phil Collins and Marilyn Martin
Say You, Say Me	Lionel Richie
Party All The Time	Eddie Murphy
Never	Heart
Election Day	Arcadia
Alive & Kicking	Simple Minds
Sleeping Bag	ZZ Top
I Miss You	Klymaxx
We Built This City	Starship
Who's Zoomin' Who	Aretha Franklin
Small Town	John Mellencamp
Perfect Way	Scritti Politti
That's What Friends Are For	Dionne & Friends
Lay Your Hands On Me	Thompson Twins
Tonight She Comes	The Cars
You Belong To The City	Glenn Frey
Walk Of Life	Dire Straits
Talk To Me	Stevie Nicks
Wrap Her Up	Elton John
Emergency	Kool & The Gang
Burning Heart	Survivor
Love Is The Seventh Wave	Sting
Sisters Are Doin' It For Themselves	Eurythmics & Aretha Franklin
Object Of My Desire	Starpoint
Conga	Miami Sound Machine
You're A Friend Of Mine	Clarence Clemons & Jackson Browne
It's Only Love	Bryan Adams/Tina Turner
Do It For Love	Sheena Easton
Everybody Dance	Ta Mara & The Seen
Spies Like Us	Paul McCartney
Go Home	Stevie Wonder
Goodbye	Night Ranger
Miami Vice Theme	Jan Hammer
Part-Time Lover	Stevie Wonder
You Are My Lady	Freddie Jackson
I'm Your Man	Wham!
Sun City	Artists United Against Apartheid
One Of The Living	Tina Turner
Sex As A Weapon	Pat Benatar
To Live And Die In L.A.	Wang Chung
Face The Face	Pete Townshend
Sidewalk Talk	Jellybean Featuring Catherine Buchanan
My Hometown	Bruce Springsteen
When The Going Gets Tough, The Tough Get Going	Billy Ocean
Head Over Heels	Tears For Fears
Be Near Me	ABC
Love Theme From St. Elmo's Fire (Instrumental)	David Foster
Everything In My Heart	Corey Hart
How Will I Know	Whitney Houston
Count Me Out	New Edition
Soul Kiss	Olivia Newton-John
A Love Bizarre	Sheila E.
The Big Money	Rush
The Sun Always Shines on T.V.	a-ha
Tarzan Boy (From "Teenage Mutant Ninja Turtles III")	Baltimora
Too Young	Jack Wagner
Running Up That Hill	Kate Bush
The Sweetest Taboo	Sade
Take On Me	a-ha
Everyday	James Taylor
Tears Are Falling	KISS
Life In A Northern Town	The Dream Academy
Living In America	James Brown
Dangerous	Loverboy
Saving All My Love For You	Whitney Houston
Everything Must Change	Paul Young
Small Town Girl	John Cafferty & The Beaver Brown Band
Leader Of The Pack	Twisted Sister
Can You Feel The Beat	Lisa Lisa And Clult Jam With Full Force
Go	Asia
Digital Display	Ready For The World
Girls Are More Fun	Ray Parker Jr.
One Vision	Queen
Morning Desire	Kenny Rogers
One Night Love Affair	Bryan Adams
Freedom	The Pointer Sisters
Silent Running (On Dangerous Ground)	Mike + The Mechanics
Oh Sheila	Ready For The World
Lovin' Every Minute Of It	Loverboy
And We Danced	Hooters
This Time	INXS
So In Love	Orchestral Manoeuvres In The Dark
Fortress Around Your Heart	Sting
Day By Day	Hooters
Somewhere	Barbra Streisand
I Knew The Bride (When She Use To Rock And Roll)	Nick Lowe And His Cowboy Outfit
And She Was	Talking Heads
The Heart Is Not So Smart	El DeBarge With DeBarge
Caravan Of Love	Isley, Jasper, Isley
Secret	Orchestral Manoeuvres In The Dark
Don't Say No Tonight	Eugene Wilde
Beat's So Lonely	Charlie Sexton
Lonely Ol' Night	John Mellencamp
Cherish	Kool & The Gang
He'll Never Love You (Like I Do)	Freddie Jackson
Discipline Of Love	Robert Palmer
Sounds Of Your Voice	Jon Butcher Axis
The Oak Tree	Morris Day
Chain Reaction	Diana Ross
