Without You	Nilsson
Let's Stay Together	Al Green
Hurting Each Other	Carpenters
Precious And Few	Climax
Never Been To Spain	Three Dog Night
Down By The Lazy River	The Osmonds
American Pie (Parts I & II)	Don McLean
Joy	Apollo featuring Tom Parker
The Lion Sleeps Tonight	Robert John
Everything I Own	Bread
Sweet Seasons	Carole King
Day After Day	Badfinger
Anticipation	Carly Simon
Brand New Key	Melanie
Black Dog	Led Zeppelin
Don't Say You Don't Remember	Beverly Bremers
Stay With Me	Faces
Bang A Gong (Get It On)	T. Rex
Clean Up Woman	Betty Wright
Sunshine	Jonathan Edwards
The Witch Queen Of New Orleans	Redbone
The Way Of Love	Cher
My World	Bee Gees
Fire And Water	Wilson Pickett
Floy Joy	The Supremes
Drowning In The Sea Of Love	Joe Simon
Heart Of Gold	Neil Young
Scorpio	Dennis Coffey & The Detroit Guitar Band
You Are Everything	The Stylistics
Kiss An Angel Good Mornin'	Charley Pride
Footstompin' Music	Grand Funk Railroad
Ain't Understanding Mellow	Jerry Butler & Brenda Lee Eager
Feeling Alright	Joe Cocker
I Can't Help Myself (Sugar Pie, Honey Bunch)	Donnie Elbert
Jungle Fever	The Chakachas
That's The Way I Feel About Cha	Bobby Womack & Peace
Softly Whispering I Love You	The English Congregation
Mother And Child Reunion	Paul Simon
Ring The Living Bell	Melanie
You Want It, You Got It	Detroit Emeralds
We've Got To Get It On Again	Addrisi Brothers
Levon	Elton John
The Nickel Song	Melanie
Do The Funky Penguin Part I	Rufus Thomas
Runnin' Away	Sly & The Family Stone
I Gotcha	Joe Tex
Talking Loud And Saying Nothing - Part I	James Brown
Make Me The Woman That You Go Home To	Gladys Knight And The Pips
Rock And Roll Lullaby	B.J. Thomas
Until It's Time For You To Go	Elvis Presley
Country Wine	The Raiders
Show Me How	The Emotions
Son Of Shaft	The Bar-Kays
Together Let's Find Love	The 5th Dimension
No One To Depend On	Santana
Handbags And Gladrags	Rod Stewart
Crazy Mama	J.J. Cale
Tupelo Honey	Van Morrison
Love Me, Love Me Love	Frank Mills
Brian's Song	Michel Legrand
Now Run And Tell That	Denise LaSalle
Roundabout	Yes
Iron Man	Black Sabbath
Love Gonna Pack Up (And Walk Out)	The Persuaders
Move 'Em Out	Delaney & Bonnie
Could It Be Forever	David Cassidy
Slippin' Into Darkness	War
Ajax Airlines	Hudson and Landry
Diamonds Are Forever	Shirley Bassey
Keep Playin' That Rock 'N' Roll	Edgar Winter's White Trash
Cry	Lynn Anderson
Glory Bound	The Grass Roots
Gimme Some More	The JB's
That's What Love Will Make You Do	Little Milton
Standing In For Jody	Johnnie Taylor (The Soul Philosopher)
Will You Still Love Me Tomorrow	Roberta Flack
I Wrote A Simple Song	Billy Preston
Every Day Of My Life	Bobby Vinton
Runaway/Happy Together	Dawn Featuring Tony Orlando
(Oh Lord Won't You Buy Me A) Mercedes Benz	Goose Creek Symphony
Lonesome Mary	Chilliwack
Mr. Penguin-Pt. I	Lunar Funk
Cheer	Potliquor
A Horse With No Name	America
Step Out	The Mamas & The Papas
Bedtime Story	Tammy Wynette
Goin' Down (On The Road To L.A.)	Terry Black & Laurel Ward
The Day I Found Myself	The Honey Cone
Taurus	Dennis Coffey & The Detroit Guitar Band
A Simple Game	Four Tops
White Lies	Grin
It's Four In The Morning	Faron Young
(Love Me) Love The Life I Lead	The Fantastics
One Way Sunday	Mark-Almond
Number Wonderful	Rock Flowers
Waking Up Alone	Paul Williams
Da Doo Ron Ron (When He Walked Me Home)	Ian Matthews
Shake Off The Demon	Brewer And Shipley
Together Again	Bobby Sherman
Tell 'Em Willie Boy 's A'Comin'	Tommy James
