Truly	Lionel Richie
Gloria	Laura Branigan
Mickey	Toni Basil
Maneater	Daryl Hall John Oates
Heartlight	Neil Diamond
Up Where We Belong	Joe Cocker And Jennifer Warnes
Steppin' Out	Joe Jackson
The Girl Is Mine	Michael Jackson And Paul McCartney
Dirty Laundry	Don Henley
Muscles	Diana Ross
Rock This Town	Stray Cats
Sexual Healing	Marvin Gaye
It's Raining Again	Supertramp Featuring Roger Hodgson
Shadows Of The Night	Pat Benatar
Nobody	Sylvia
Heart Attack	Olivia Newton-John
Heartbreaker	Dionne Warwick
Southern Cross	Crosby, Stills & Nash
Down Under	Men At Work
Pressure	Billy Joel
The Look Of Love (Part One)	ABC
Love Me Tomorrow	Chicago
Missing You	Dan Fogelberg
You And I	Eddie Rabbitt With Crystal Gayle
Rock The Casbah	The Clash
I.g.y. (what A Beautiful World)	Donald Fagen
Africa	Toto
You Can't Hurry Love	Phil Collins
Be My Lady	Jefferson Starship
I'm So Excited	The Pointer Sisters
Baby, Come To Me	Patti Austin A Duet With James Ingram
On The Wings Of Love	Jeffrey Osborne
Hand To Hold On To	John Cougar
The Other Guy	Little River Band
Everybody Wants You	Billy Squier
A Penny For Your Thoughts	Tavares
What About Me	Moving Pictures
You Got Lucky	Tom Petty And The Heartbreakers
Shock The Monkey	Peter Gabriel
Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
Whatcha Gonna Do	Chilliwack
Destination Unknown	Missing Persons
I Do	The J. Geils Band
American Heartbeat	Survivor
Goody Two Shoes	Adam Ant
Used To Be	Charlene & Stevie Wonder
Heart To Heart	Kenny Loggins
Does It Make You Remember	Kim Carnes
1999	Prince
Two Less Lonely People In The World	Air Supply
Love In Store	Fleetwood Mac
Who Can It Be Now?	Men At Work
Wake Up My Love	George Harrison
I Gotta Try	Michael McDonald
Bad Boy/Having A Party	Luther Vandross
(you're So Square) Baby, I Don't Care	Joni Mitchell
Theme From Dynasty	Bill Conti
Space Age Love Song	A Flock Of Seagulls
Heart Of The Night	Juice Newton
Forever Mine	The Motels
Jack & Diane	John Cougar
Memory	Barry Manilow
Allentown	Billy Joel
Right Before Your Eyes	America
Goodbye To You	Scandal Featuring Patty Smyth
I Know There's Something Going On	Frida
You've Got Another Thing Comin'	Judas Priest
You Don't Want Me Anymore	Steel Breeze
Put It In A Magazine	Sonny Charles
Bad Boy	Ray Parker Jr.
Psychobabble	The Alan Parsons Project
Nowhere To Run	Santana
Twilight Zone	Golden Earring
Pledge Pin	Robert Plant
You Can Do Magic	America
I Keep Forgettin' (Every Time You're Near)	Michael McDonald
A Love Song	Kenny Rogers
The Elvis Medley	Elvis Presley
Eye In The Sky	The Alan Parsons Project
Do You Really Want To Hurt Me	Culture Club
Get Closer	Linda Ronstadt
Cross My Heart	Lee Ritenour
I Wouldn't Beg For Water	Sheena Easton
After I Cry Tonight	Lanier & Co.
Painted Picture	Commodores
On The Loose	Saga
Valerie	Steve Winwood
The One You Love	Glenn Frey
New World Man	Rush
Love Come Down	Evelyn King
Break It To Me Gently	Juice Newton
Stand Or Fall	The Fixx
Gypsy	Fleetwood Mac
Athena	The Who
State Of Independence	Donna Summer
Somebody's Baby	Jackson Browne
Cool Magic	The Steve Miller Band
Shakin'	Eddie Money
I Ran (So Far Away)	A Flock Of Seagulls
What's Forever For	Michael Murphey
