Livin' On A Prayer	Bon Jovi
Jacob's Ladder	Huey Lewis & The News
Keep Your Hands To Yourself	The Georgia Satellites
Will You Still Love Me?	Chicago
You Got It All	The Jets
Somewhere Out There (From "An American Tail")	Linda Ronstadt & James Ingram
Respect Yourself	Bruce Willis
(You Gotta) Fight For Your Right (To Party!)	Beastie Boys
Big Time	Peter Gabriel
Ballerina Girl	Lionel Richie
Touch Me (I Want Your Body)	Samantha Fox
Mandolin Rain	Bruce Hornsby & The Range
Love You Down	Ready For The World
I'll Be Alright Without You	Journey
Let's Wait Awhile	Janet Jackson
Nobody's Fool	Cinderella
I Wanna Go Back	Eddie Money
Stop To Love	Luther Vandross
Open Your Heart	Madonna
Brand New Lover	Dead Or Alive
Nothing's Gonna Stop Us Now	Starship
Lean On Me	Club Nouveau
Come Go With Me	Expose
At This Moment	Billy Vera & The Beaters
Change Of Heart	Cyndi Lauper
Talk To Me	Chico DeBarge
Tonight, Tonight, Tonight	Genesis
Candy	Cameo
Can't Help Falling In Love	Corey Hart
The Final Countdown	Europe
Facts Of Love	Jeff Lorber & Karyn White
Let's Go!	Wang Chung
We're Ready	Boston
Don't Dream It's Over	Crowded House
We Connect	Stacey Q
As We Lay	Shirley Murdock
Midnight Blue	Lou Gramm
C'est La Vie	Robbie Nevil
Don't Need A Gun	Billy Idol
That Ain't Love	REO Speedwagon
What You Get Is What You See	Tina Turner
Don't Leave Me This Way	The Communards
Stay The Night	Benjamin Orr
I Knew You Were Waiting (For Me)	Aretha Franklin & George Michael
Land Of Confusion	Genesis
Fire	Bruce Springsteen
Shake You Down	Gregory Abbott
Someday	Glass Tiger
Skin Trade	Duran Duran
The Honeythief	Hipsway
Shelter	Lone Justice
Without Your Love	Toto
The Finer Things	Steve Winwood
Ain't So Easy	David & David
Cry Wolf	a-ha
Caught Up In The Rapture	Anita Baker
Walking Down Your Street	The Bangles
Stone Love	Kool & The Gang
Coming Up Close	'Til Tuesday
Dominoes	Robbie Nevil
Smoking Gun	The Robert Cray Band
Control	Janet Jackson
Someone Like You	Daryl Hall
This Is The Time	Billy Joel
My Baby	Pretenders
Winner Takes It All	Sammy Hagar
Walk Like An Egyptian	The Bangles
Hooked On You	Sweet Sensation
Serious	Donna Allen
Hold Me	Sheila E.
Come As You Are	Peter Wolf
Kiss You (When It's Dangerous)	Eight Seconds
Have You Ever Loved Somebody	Freddie Jackson
The Lady In Red	Chris de Burgh
How Much Love	Survivor
Big Mistake	Peter Cetera
Deep River Woman	Lionel Richie
Light Of Day	The Barbusters (Joan Jett And The Blackhearts)
Nothing's Gonna Change My Love For You	Glenn Medeiros
(I Know) I'm Losing You	Uptown
Dance	Ratt
I Got The Feelin' (It's Over)	Gregory Abbott
I Will Be There	Glass Tiger
Power	Kansas
Is This Love	Survivor
Ship Of Fools (Save Me From Tomorrow)	World Party
If I Say Yes	Five Star
Sexappeal	Georgio
Show Me	The Cover Girls
Showing Out (Get Fresh At The Weekend)	Mel & Kim
Never Enough	Patty Smyth
All I Wanted	Kansas
It's Tricky	Run-D.M.C.
Keep Your Eye On Me	Herb Alpert
Summertime, Summertime	Nocera
The Right Thing	Simply Red
So Much For Love	The Venetians
All I Know Is The Way I Feel	The Pointer Sisters
Victory	Kool & The Gang
Jimmy Lee	Aretha Franklin
