Rockstar	DaBaby Featuring Roddy Ricch
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Popstar	DJ Khaled Featuring Drake
Blinding Lights	The Weeknd
Roses	SAINt JHN
Savage	Megan Thee Stallion
Watermelon Sugar	Harry Styles
Greece	DJ Khaled Featuring Drake
Come & Go	Juice WRLD x Marshmello
Go Crazy	Chris Brown & Young Thug
Blueberry Faygo	Lil Mosey
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Wishing Well	Juice WRLD
Rain On Me	Lady Gaga & Ariana Grande
Adore You	Harry Styles
I Hope	Gabby Barrett Featuring Charlie Puth
Break My Heart	Dua Lipa
Circles	Post Malone
Before You Go	Lewis Capaldi
We Paid	Lil Baby & 42 Dugg
Say So	Doja Cat Featuring Nicki Minaj
Intentions	Justin Bieber Featuring Quavo
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Party Girl	StaySolidRocky
One Margarita	Luke Bryan
Bluebird	Miranda Lambert
Don't Start Now	Dua Lipa
Life Is Good	Future Featuring Drake
Death Bed	Powfu Featuring beabadoobee
Falling	Trevor Daniel
The Bones	Maren Morris
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
Hard To Forget	Sam Hunt
The Box	Roddy Ricch
Die From A Broken Heart	Maddie & Tae
Hate The Other Side	Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI
The Bigger Picture	Lil Baby
Conversations	Juice WRLD
Chasin' You	Morgan Wallen
Sunday Best	Surfaces
Rags2Riches	Rod Wave Featuring ATR Son Son
Life's A Mess	Juice WRLD X Halsey
Emotionally Scarred	Lil Baby
Said Sum	Moneybagg Yo
Toosie Slide	Drake
Girls In The Hood	Megan Thee Stallion
Supalonely	BENEE Featuring Gus Dapperton
Walk Em Down	NLE Choppa Featuring Roddy Ricch
Blood On My Jeans	Juice WRLD
One Big Country Song	LOCASH
Righteous	Juice WRLD
If The World Was Ending	JP Saxe Featuring Julia Michaels
Got What I Got	Jason Aldean
I Love My Country	Florida Georgia Line
Got It On Me	Pop Smoke
Done	Chris Janson
Like That	Doja Cat Featuring Gucci Mane
Stuck With U	Ariana Grande & Justin Bieber
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
Don't Rush	Young T & Bugsey Featuring Headie One
Be Kind	Marshmello & Halsey
Titanic	Juice WRLD
Mamacita	Black Eyed Peas, Ozuna + J.Rey Soul
Stay High	Juice WRLD
Be Like That	Kane Brown With Swae Lee & Khalid
Tap In	Saweetie
God Whispered Your Name	Keith Urban
Bad Energy	Juice WRLD
One Of Them Girls	Lee Brice
Mood Swings	Pop Smoke Featuring Lil Tjay
Why We Drink	Justin Moore
Lovin' On You	Luke Combs
Cool Again	Kane Brown
The Scotts	THE SCOTTS, Travis Scott & Kid Cudi
Something Special	Pop Smoke
Need It	Migos Featuring YoungBoy Never Broke Again
Tell Me U Luv Me	Juice WRLD & Trippie Redd
Up Up And Away	Juice WRLD
Fighting Demons	Juice WRLD
More Than My Hometown	Morgan Wallen
B.S.	Jhene Aiko Featuring H.E.R.
After Party	Don Toliver
Past Life	Trevor Daniel x Selena Gomez
ily	Surf Mesa Featuring Emilee
Girl Of My Dreams	Rod Wave
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
3 Headed Goat	Lil Durk Featuring Lil Baby & Polo G
Does To Me	Luke Combs Featuring Eric Church
Man Of The Year	Juice WRLD
Bang!	AJR
One Night Standards	Ashley McBryde
Can't Die	Juice WRLD
Chicago Freestyle	Drake Featuring Giveon
Flex	Polo G Featuring Juice WRLD
Screw Juice	Juice WRLD
Dollaz On My Head	Gunna Featuring Young Thug
Breaking Me	Topic & A7S
Enjoy Yourself	Pop Smoke Featuring Karol G
Pretty Heart	Parker McCollum
the.climb.back	J. Cole
