Go Away Little Girl	Steve Lawrence
Telstar	The Tornadoes
Limbo Rock	Chubby Checker
Hotel Happiness	Brook Benton
Pepino The Italian Mouse	Lou Monte
Tell Him	The Exciters
The Night Has A Thousand Eyes	Bobby Vee
Zip-A-Dee Doo-Dah	Bob B. Soxx And The Blue Jeans
Two Lovers	Mary Wells
My Dad	Paul Petersen
Big Girls Don't Cry	The 4 Seasons
Bobby's Girl	Marcie Blane
Return To Sender	Elvis Presley With The Jordanaires
It's Up To You	Rick Nelson
You Are My Sunshine	Ray Charles
Up On The Roof	The Drifters
I Saw Linda Yesterday	Dickey Lee
The Lonely Bull (El Solo Torro)	Herb Alpert And Tijuana Brass
Loop De Loop	Johnny Thunder
Half Heaven - Half Heartache	Gene Pitney
Everybody Loves A Lover	The Shirelles
Wiggle Wobble	Les Cooper and the Soul Rockers
Release Me	Esther Phillips "Little Esther"
Shutters And Boards	Jerry Wallace
Dear Lonely Hearts	Nat King Cole
Chains	The Cookies
Love Came To Me	Dion
Don't Make Me Over	Dionne Warwick
Keep Your Hands Off My Baby	Little Eva
Hey Paula	Paul and Paula
Don't Hang Up	The Orlons
Remember Then	The Earls
You've Really Got A Hold On Me	The Miracles
Trouble Is My Middle Name	Bobby Vinton
Walk Right In	The Rooftop Singers
See See Rider	LaVern Baker
I'm Gonna' Be Warm This Winter	Connie Francis
My Coloring Book	Kitty Kallen
Monsters' Holiday	Bobby "Boris" Pickett And The Crypt-Kickers
Let's Kiss And Make Up	Bobby Vinton
Ride!	Dee Dee Sharp
My Coloring Book	Sandy Stewart
Some Kinda Fun	Chris Montez
Ruby Ann	Marty Robbins
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
The Love Of A Boy	Timi Yuro
Your Cheating Heart	Ray Charles
Let's Go (pony)	The Routers
The Cinnamon Cinder (It's A Very Nice Dance)	The Pastel Six
Desafinado	Stan Getz/Charlie Byrd
From A Jack To A King	Ned Miller
Lovesick Blues	Frank Ifield
Little Town Flirt	Del Shannon
The Ballad Of Jed Clampett	Flatt & Scruggs
Coney Island Baby	The Excellents
Ten Little Indians	The Beach Boys
He's Sure The Boy I Love	The Crystals
That's Life (That's Tough)	Gabriel And The Angels
Strange I Know	The Marvelettes
Comin' Home Baby	Mel Torme
Shake Sherry	The Contours
Java	Floyd Cramer
Shake Me I Rattle (Squeeze Me I Cry)	Marion Worth
My Wife Can't Cook	Lonnie Russ
You're Gonna Need Me	Barbara Lynn
Fly Me To The Moon - Bossa Nova	Joe Harnell And His Orchestra
Wild Weekend	The Rebels
I'm A Woman	Peggy Lee
You Threw A Lucky Punch	Gene Chandler
Cast Your Fate To The Wind	Vince Guaraldi Trio
Proud	Johnny Crawford
All About My Girl	Jimmy McGriff
Molly	Bobby Goldsboro
Call On Me	Bobby Bland
Mama Didn't Lie	Jan Bradley
Echo	The Emotions
Chicken Feed	Bent Fabric and His Piano
Red Pepper I	Roosevelt Fountain And Pens Of Rhythm
Would It Make Any Difference To You	Etta James
Rhythm Of The Rain	The Cascades
Darkest Street In Town	Jimmy Clanton
Jellybread	Booker T. & The MG's
The Gypsy Cried	Lou Christie
Every Day I Have To Cry	Steve Alaimo
Little Tin Soldier	The Toy Dolls
Trouble In Mind	Aretha Franklin
What To Do With Laurie	Mike Clifford
Puddin N' Tain (Ask Me Again, I'll Tell You The Same)	The Alley Cats
Willie Can	Sue Thompson
I Wanna Be Around	Tony Bennett
Look At Me	Dobie Gray
How Much Is That Doggie In The Window	Baby Jane & The Rockabyes
Big Boat	Peter, Paul & Mary
I Will Live My Life For You	Tony Bennett
Someone Somewhere	Junior Parker
Hitch Hike	Marvin Gaye
Slop Time	The Sherrys
The Popeye Waddle	Don Covay
Let Me Go The Right Way	The Supremes
Walk Right In	The Moments
