Running Scared	Roy Orbison
Travelin' Man	Ricky Nelson
Daddy's Home	Shep And The Limelites
Mama Said	The Shirelles
I Feel So Bad	Elvis Presley
Stand By Me	Ben E. King
Moody River	Pat Boone
A Hundred Pounds Of Clay	Gene McDaniels
Raindrops	Dee Clark
Breakin' In A Brand New Broken Heart	Connie Francis
Tragedy	The Fleetwoods
Hello Walls	Faron Young
Little Devil	Neil Sedaka
Hello Mary Lou	Ricky Nelson
Runaway	Del Shannon
Barbara-Ann	The Regents
You Always Hurt The One You Love	Clarence Henry
The Writing On The Wall	Adam Wade
Mother-In-Law	Ernie K-Doe
Girl Of My Best Friend	Ral Donner
Every Beat Of My Heart	Pips
Those Oldies But Goodies (Remind Me Of You)	Little Caesar and The Romans
Lullaby Of Love	Frank Gari
Tossin' And Turnin'	Bobby Lewis
I'm A Fool To Care	Joe Barry
The Boll Weevil Song	Brook Benton
Little Egypt (Ying-Yang)	The Coasters
Peanut Butter	The Marathons
Triangle	Janie Grant
Portrait Of My Love	Steve Lawrence
Rama Lama Ding Dong	The Edsels
That Old Black Magic	Bobby Rydell
Quarter To Three	U.S. Bonds
I've Told Every Little Star	Linda Scott
What A Surprise	Johnny Maestro The Voice Of The Crests
Exodus	Eddie Harris
The Bilbao Song	Andy Williams
Never On Sunday	Don Costa And His Orchestra And Chorus
Halfway To Paradise	Tony Orlando
You Can Depend On Me	Brenda Lee
Take Good Care Of Her	Adam Wade
Yellow Bird	Arthur Lyman Group
Tonight I Fell In Love	The Tokens
Just For Old Time's Sake	The McGuire Sisters
Count Every Star	Donnie and The Dreamers
Every Beat Of My Heart	Gladys Knight And The Pips
Blue Moon	The Marcels
Dance On Little Girl	Paul Anka
Better Tell Him No	The Starlets
The Wayward Wind	Gogi Grant
Buzz Buzz A-Diddle-It	Freddy Cannon
Bonanza	Al Caiola And His Orchestra
But I Do	Clarence Henry
It Keeps Rainin'	Fats Domino
Heart And Soul	The Cleftones
A Love Of My Own	Carla Thomas
Glory Of Love	The Roommates
Tell Me Why	The Belmonts
Temptation	The Everly Brothers
Anna	Jorgen Ingmann & His Guitar
I Don't Mind	James Brown And The Famous Flames
Big Big World	Johnny Burnette
Jimmy Martinez	Marty Robbins
That's The Way With Love	Piero Soffici
Nobody Cares (about me)	Jeanette (Baby) Washington
(Dance The) Mess Around	Chubby Checker
In My Heart	The Timetones
My Kind Of Girl	Matt Monro
Miss Fine	The New Yorkers
How Many Tears	Bobby Vee
(I've Got) Spring Fever	Little Willie John
Rainin' In My Heart	Slim Harpo
Wild In The Country	Elvis Presley With The Jordanaires
Milord	Teresa Brewer
I Like It Like That, Part 1	Chris Kenner
Three Hearts In A Tangle	Roy Drusky
I Fall To Pieces	Patsy Cline
Summertime	The Marcels
The Girl's A Devil	The Dukays
Sacred	The Castells
Big Boss Man	Jimmy Reed
Who Else But You	Frankie Avalon
Jura (I Swear I Love You)	Les Paul And Mary Ford
Ring Of Fire	Duane Eddy
Cupid	Sam Cooke
You'd Better Come Home	Russell Byrd
Right Or Wrong	Wanda Jackson
Lonesome Whistle Blues	Freddy King
Tonight (Could Be The Night)	The Velvets featuring Virgil Johnson
San Antonio Rose	Floyd Cramer
A Little Feeling (Called Love)	Jack Scott
Hats Off To Larry	Del Shannon
Please Stay	The Drifters
Ole Buttermilk Sky	Bill Black's Combo
The Lonely Crowd	Teddy Vann
Ronnie	Marcy Joe
Stick With Me Baby	The Everly Brothers
Hold Back The Tears	The Delacardos
Son-In-Law	Louise Brown
Can't Help Lovin' That Girl Of Mine	The Excels
