Alone Again (Naturally)	Gilbert O'Sullivan
Long Cool Woman (In A Black Dress)	The Hollies
I'm Still In Love With You	Al Green
Brandy (You're A Fine Girl)	Looking Glass
Hold Your Head Up	Argent
Baby Don't Get Hooked On Me	Mac Davis
Goodbye To Love	Carpenters
You Don't Mess Around With Jim	Jim Croce
Rock And Roll Part 2	Gary Glitter
Back Stabbers	The O'Jays
The Guitar Man	Bread
Motorcycle Mama	Sailcat
(If Loving You Is Wrong) I Don't Want To Be Right	Luther Ingram
Black & White	Three Dog Night
Saturday In The Park	Chicago
Lookin' Through The Windows	Jackson 5
Coconut	Nilsson
Beautiful Sunday	Daniel Boone
Join Together	The Who
Go All The Way	Raspberries
The Happiest Girl In The Whole U.S.A.	Donna Fargo
Power Of Love	Joe Simon
Honky Cat	Elton John
Baby Let Me Take You (In My Arms)	Detroit Emeralds
Daddy Don't You Walk So Fast	Wayne Newton
Sealed With A Kiss	Bobby Vinton
Run To Me	Bee Gees
Popcorn	Hot Butter
Small Beginnings	Flash
Pop That Thang	The Isley Brothers
Where Is The Love	Roberta Flack & Donny Hathaway
Everybody Plays The Fool	The Main Ingredient
Play Me	Neil Diamond
You're Still A Young Man	Tower Of Power
Speak To The Sky	Rick Springfield
How Do You Do?	Mouth & MacNeal
Sweet Inspiration/Where You Lead	Barbra Streisand
This World	The Staple Singers
Nights In White Satin	The Moody Blues
When You Say Love	Sonny & Cher
The City Of New Orleans	Arlo Guthrie
My Ding-A-Ling	Chuck Berry
Ben	Michael Jackson
Gone	Joey Heatherton
Easy Livin	Uriah Heep
Get On The Good Foot-Part 1	James Brown
The Coldest Days Of My Life (Part 1)	The Chi-lites
America	Yes
Starting All Over Again	Mel And Tim
Happy	The Rolling Stones
Breaking Up Is Hard To Do	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Put It Where You Want It	The Crusaders
Use Me	Bill Withers
Garden Party	Rick Nelson And The Stone Canyon Band
My Man, A Sweet Man	Millie Jackson
Rock Me On The Water	Jackson Browne
I Believe In Music	Gallery
Burning Love	Elvis Presley
A Simple Man	Lobo
Tight Rope	Leon Russell
In The Ghetto	Candi Staton
Why/Lonely Boy	Donny Osmond
If You Leave Me Tonight I'll Cry	Jerry Wallace
Zing Went The Strings Of My Heart	The Trammps
That's The Way God Planned It	Billy Preston
Your Wonderful, Sweet Sweet Love	The Supremes
You Wear It Well	Rod Stewart
Jackie Wilson Said (I'm In Heaven When You Smile)	Van Morrison
In The Quiet Morning	Joan Baez
Alabama Wild Man	Jerry Reed
Geronimo's Cadillac	Michael Murphey
My Guy	Petula Clark
Sweet Caroline (Good Times Never Seemed So Good)	Bobby Womack & Peace
I'm Coming Home	Stories
In Time	Engelbert Humperdinck
Love Song	Tommy James
From The Beginning	Emerson, Lake & Palmer
For Emily, Whenever I May Find Her	Simon & Garfunkel
Freddie's Dead (Theme From "Superfly")	Curtis Mayfield
Don't Ever Be Lonely (A Poor Little Fool Like Me)	Cornelius Brothers & Sister Rose
Wholy Holy	Aretha Franklin With James Cleveland & The Southern California Community Choir
A Piece Of Paper	Gladstone
Beat Me Daddy Eight To The Bar	Commander Cody
How Could I Let You Get Away	The Spinners
I Will Never Pass This Way Again	Glen Campbell
Thunder And Lightning	Chi Coltrane
Good Time Charlie's Got The Blues	Danny O'Keefe
Loving You Just Crossed My Mind	Sam Neely
Listen To The Music	The Doobie Brothers
Think (About It)	Lyn Collins
Down By The River	Albert Hammond
Life And Breath	Climax featuring Sonny Geraci
Summer Sun	Jamestown Massacre
Toast To The Fool	The Dramatics
I've Got To Have You	Sammi Smith
A Sunday Kind Of Love	Lenny Welch
Guess Who/Them Changes	B.B. King
Lady Eleanor	Lindisfarne
Fool's Paradise	The Sylvers
Whatever Turns You On	Travis Wammack
