Silly Love Songs	Wings
Get Up And Boogie (That's Right)	Silver Convention
Misty Blue	Dorothy Moore
Love Hangover	Diana Ross
Happy Days	Pratt & McClain with Brother Love
Shannon	Henry Gross
Sara Smile	Daryl Hall John Oates
Shop Around	Captain & Tennille
More, More, More Pt. 1	Andrea True Connection
Fool To Cry	The Rolling Stones
Rhiannon (Will You Ever Win)	Fleetwood Mac
Welcome Back	John Sebastian
I'll Be Good To You	The Brothers Johnson
Boogie Fever	The Sylvers
Love Is Alive	Gary Wright
Takin' It To The Streets	The Doobie Brothers
Movin'	Brass Construction
I Want You	Marvin Gaye
Never Gonna Fall In Love Again	Eric Carmen
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
Kiss And Say Goodbye	The Manhattans
Fooled Around And Fell In Love	Elvin Bishop
Take The Money And Run	Steve Miller
Moonlight Feels Right	Starbuck
Afternoon Delight	Starland Vocal Band
The Boys Are Back In Town	Thin Lizzy
Right Back Where We Started From	Maxine Nightingale
Rock And Roll Love Letter	Bay City Rollers
Tryin' To Get The Feeling Again	Barry Manilow
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Love In The Shadows	Neil Sedaka
You're My Best Friend	Queen
Show Me The Way	Peter Frampton
That's Where The Happy People Go	The Trammps
Today's The Day	America
Let Her In	John Travolta
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
Making Our Dreams Come True	Cyndi Grecco
Dance Wit Me	Rufus Featuring Chaka Khan
I'm Easy	Keith Carradine
Turn The Beat Around	Vicki Sue Robinson
Save Your Kisses For Me	Brotherhood Of Man
Mamma Mia	ABBA
Strange Magic	Electric Light Orchestra
Thinking Of You	Paul Davis
Yes, Yes, Yes	Bill Cosby
Sixteen Tons	The Don Harrison Band
It's Over	Boz Scaggs
Crazy On You	Heart
Young Hearts Run Free	Candi Staton
Somebody's Gettin' It	Johnnie Taylor
Last Child	Aerosmith
Sophisticated Lady (She's A Different Lady)	Natalie Cole
Got To Get You Into My Life	The Beatles
I Need To Be In Love	Carpenters
Can't Stop Groovin' Now, Wanna Do It Some More	B.T. Express
Who Loves You Better - Part 1	The Isley Brothers
Rock And Roll Music	The Beach Boys
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Good Vibrations	Todd Rundgren
Silver Star	The 4 Seasons
Lonely Teardrops	Narvel Felts
Lipstick	Michel Polnareff
Young Blood	Bad Company
You're My Everything	Lee Garrett
Vaya Con Dios	Freddy Fender
You'll Never Find Another Love Like Mine	Lou Rawls
Fool For The City	Foghat
TVC15	David Bowie
Foxy Lady	Crown Heights Affair
C'mon Marianne	Donny Osmond
Livin' Ain't Livin'	Firefall
Nutbush City Limits	Bob Seger
I Wanna Stay With You	Gallagher And Lyle
Save Your Kisses For Me	Bobby Vinton
Heaven Must Be Missing An Angel (part 1)	Tavares
Johnny Cool	The Steve Gibbons Band
Flaming Youth	KISS
Still Crazy After All These Years	Paul Simon
Rain, Oh Rain	Fools Gold
Something He Can Feel	Aretha Franklin
Framed	Cheech & Chong
I'll Get Over You	Crystal Gayle
Everything's Coming Up Love	David Ruffin
The Hungry Years	Wayne Newton
I'm Gonna Let My Heart Do The Walking	The Supremes
This Masquerade	George Benson
Open	Smokey Robinson
I'd Really Love To See You Tonight	England Dan & John Ford Coley
Jukin	Atlanta Rhythm Section
The Lonely One	Special Delivery Featuring Terry Huff
You're Just The Right Size	The Salsoul Orchestra
Bohemian Rhapsody	Queen
Norma Jean Wants To Be A Movie Star	Sundown Company
December, 1963 (Oh, What a Night)	The 4 Seasons
Union Man	Cate Bros.
One Piece At A Time	Johnny Cash And The Tennessee Three
Touch And Go	Ecstasy, Passion & Pain Featuring Barbara Roy
Disco Lady	Johnnie Taylor
Love Really Hurts Without You	Billy Ocean
