Lately	Divine
Doo Wop (That Thing)	Lauryn Hill
Nobody's Supposed To Be Here	Deborah Cox
Because Of You	98 Degrees
The First Night	Monica
One Week	Barenaked Ladies
This Kiss	Faith Hill
How Deep Is Your Love	Dru Hill Featuring Redman
I'll Be	Edwin McCain
Crush	Jennifer Paige
The Power Of Good-Bye	Madonna
I Don't Want To Miss A Thing	Aerosmith
Westside	TQ
...Baby One More Time	Britney Spears
Love Like This	Faith Evans
Touch It	Monifah
Love Me	112 Featuring Mase
Trippin'	Total Featuring Missy Elliott
Come And Get With Me	Keith Sweat Featuring Snoop Dogg
Too Close	Next
I Still Love You	Next
Never Ever	All Saints
You're Still The One	Shania Twain
Adia	Sarah McLachlan
My Little Secret	Xscape
All The Places (I Will Kiss You)	Aaron Hall
Truly Madly Deeply	Savage Garden
Pushin' Weight	Ice Cube Featuring Mr. Short Khop
Ghetto Cowboy	Mo Thugs Family Featuring Bone Thugs-N-Harmony
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
The Boy Is Mine	Brandy & Monica
Hard Knock Life (Ghetto Anthem)	JAY-Z
Just The Two Of Us	Will Smith
When The Lights Go Out	Five
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
My Way	Usher
Time After Time	Inoj
So Into You	Tamia
Wherever You Go	Voices Of Theory
Splackavellie	Pressha
Whatcha Wanna Do?	Mia X Featuring Charlie Wilson
All My Life	K-Ci & JoJo
I Can Do That	Montell Jordan
SuperThug (What What)	Noreaga
Movin' On	Mya Featuring Silkk The Shocker
Everything's Gonna Be Alright	Sweetbox
Daydreamin'	Tatyana Ali
How's It Going To Be	Third Eye Blind
Can't Get Enough	Willie Max Featuring Raphael Saadiq
Lookin' At Me	Mase Featuring Puff Daddy
Still A G Thang	Snoop Dogg
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
It's The Things You Do	Five
Money's Just A Touch Away	Mack 10 Featuring Gerald Levert
Friend Of Mine	Kelly Price
Lost In Love	Nastyboy Klick
Daysleeper	R.E.M.
Shimmer	Fuel
Thinkin' Bout It	Gerald Levert
Let The Music Heal Your Soul	BRAVO All Stars
Don't Let It Go To Your Head	Brand Nubian
Intergalactic	Beastie Boys
Enjoy Yourself	A+
Perfect	The Smashing Pumpkins
Music Sounds Better With You	Stardust
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
I Had No Right	P.M. Dawn
Nobody Else	Tyrese
Invasion Of The Flat Booty B*****s	Too $hort
If I Can't Have You	L.F.O. (Lyte Funky Ones) (Featuring Kayo)
Landslide	Fleetwood Mac
Cruel Summer	Ace Of Base
How's It Goin' Down	DMX Featuring Faith Evans
Better Days	WC Featuring Jon B.
26 Cents	The Wilkinsons
Don't Let This Moment End	Gloria Estefan
Dr. Greenthumb	Cypress Hill
Whenever You're Near Me	Ace Of Base
For You I Will	Aaron Tippin
(Do You) Wanna Ride	Reel Tight
Life Ain't Easy	Cleopatra
Let Me Return The Favor	Andrea Martin
Strawberry	Nicole Renee
Suavemente	Elvis Crespo
Only When I Lose Myself	Depeche Mode
If I Had The Chance	Cynthia
If I Lost You	Travis Tritt
Touch Me	Solo
Yesterday	Debelah Morgan
Kiss Me	Sixpence None The Richer
No Fool No More	En Vogue
Big Big World	Emilia
Only You	Tami Davis
I Still Love You	Lil Suzy
Someone You Used To Know	Collin Raye
Wide Open Spaces	Dixie Chicks
I Should Cheat On You	J'Son
The Rockafeller Skank	Fatboy Slim
Gotta Be	Jagged Edge
The Street Mix	Mag 7
