We Are The World	USA For Africa
Crazy For You	Madonna
Nightshift	Commodores
One More Night	Phil Collins
Rhythm Of The Night	Debarge
I'm On Fire	Bruce Springsteen
Obsession	Animotion
Don't You (Forget About Me)	Simple Minds
One Night In Bangkok	Murray Head
Missing You	Diana Ross
All She Wants to Do Is Dance	Don Henley
Some Like It Hot	The Power Station
Material Girl	Madonna
Along Comes A Woman	Chicago
Lover Girl	Teena Marie
Smooth Operator	Sade
That Was Yesterday	Foreigner
Somebody	Bryan Adams
Everything She Wants	Wham!
Don't Come Around Here No More	Tom Petty And The Heartbreakers
Some Things Are Better Left Unsaid	Daryl Hall John Oates
Rock And Roll Girls	John Fogerty
Can't Fight This Feeling	REO Speedwagon
New Attitude	Patti LaBelle
Just Another Night	Mick Jagger
Everybody Wants To Rule The World	Tears For Fears
Forever Man	Eric Clapton
Radioactive	The Firm
Suddenly	Billy Ocean
Axel F	Harold Faltermeyer
High On You	Survivor
Too Late For Goodbyes	Julian Lennon
Vox Humana	Kenny Loggins
Fresh	Kool & The Gang
Just A Gigolo/I Ain't Got Nobody	David Lee Roth
The Bird	The Time
Things Can Only Get Better	Howard Jones
One Lonely Night	REO Speedwagon
Celebrate Youth	Rick Springfield
Walking On Sunshine	Katrina And The Waves
The Heat Is On	Glenn Frey
In My House	Mary Jane Girls
We Close Our Eyes	Go West
Private Dancer	Tina Turner
'Til My Baby Comes Home	Luther Vandross
Lost In Love	New Edition
Baby Come And Get It	The Pointer Sisters
Invisible	Alison Moyet
Smuggler's Blues	Glenn Frey
The NeverEnding Story	Limahl
Keeping The Faith	Billy Joel
Heaven	Bryan Adams
Careless Whisper	Wham! Featuring George Michael
Say You're Wrong	Julian Lennon
Can't Stop	Rick James
Welcome To The Pleasure Dome	Frankie Goes To Hollywood
Lonely In Love	Giuffria
Only The Young	Journey
Walking On The Chinese Wall	Philip Bailey
Oh Girl	Boy Meets Girl
Lucky	Greg Kihn
Do You Wanna Get Away	Shannon
Be Your Man	Jesse Johnson's Revue
Relax	Frankie Goes To Hollywood
Show Some Respect	Tina Turner
Take Me With U	Prince And The Revolution Duet With Apollonia
Save A Prayer	Duran Duran
Say It Again	Santana
The Word Is Out	Jermaine Stewart
The Search Is Over	Survivor
Voices Carry	'Til Tuesday
Steady	Jules Shear
Basketball	Kurtis Blow
Magical	John Parr
I Want To Know What Love Is	Foreigner
Why Can't I Have You	The Cars
California Girls	David Lee Roth
Change	John Waite
Misled	Kool & The Gang
Neutron Dance	The Pointer Sisters
Swear	Sheena Easton
Turn Up The Radio	Autograph
Easy Lover	Philip Bailey With Phil Collins
Rain Forest	Paul Hardcastle
Talk To Me	Fiona
This Is Not America	David Bowie/Pat Metheny Group
Beat Of A Heart	Scandal Featuring Patty Smyth
Only Lonely	Bon Jovi
Naughty Naughty	John Parr
Second Nature	Dan Hartman
High School Nights	Dave Edmunds
Heartline	Robin George
I'm Through With Love	Eric Carmen
Will The Wolf Survive	Los Lobos
Solid	Ashford & Simpson
Lover Boy	Billy Ocean
Let's Talk About Me	The Alan Parsons Project
The Old Man Down The Road	John Fogerty
Method Of Modern Love	Daryl Hall John Oates
Back In Stride	Maze Featuring Frankie Beverly
