Lady	Kenny Rogers
More Than I Can Say	Leo Sayer
(Just Like) Starting Over	John Lennon
Love On The Rocks	Neil Diamond
Master Blaster (Jammin')	Stevie Wonder
Hungry Heart	Bruce Springsteen
Another One Bites The Dust	Queen
Guilty	Barbra Streisand & Barry Gibb
Hit Me With Your Best Shot	Pat Benatar
Every Woman In The World	Air Supply
The Tide Is High	Blondie
Tell It Like It Is	Heart
Woman In Love	Barbra Streisand
De Do Do Do, De Da Da Da	The Police
You've Lost That Lovin' Feeling	Daryl Hall John Oates
Passion	Rod Stewart
It's My Turn	Diana Ross
Whip It	Devo
Everybody's Got To Learn Sometime	The Korgis
Celebration	Kool & The Gang
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
I Made It Through The Rain	Barry Manilow
Sequel	Harry Chapin
I Believe In You	Don Williams
Suddenly	Olivia Newton-John & Cliff Richard
I Love A Rainy Night	Eddie Rabbitt
Hey Nineteen	Steely Dan
One Step Closer	The Doobie Brothers
Time Is Time	Andy Gibb
I'm Coming Out	Diana Ross
Never Be The Same	Christopher Cross
This Time	John Cougar
Together	Tierra
Girls Can Get It	Dr. Hook
Dreaming	Cliff Richard
Deep Inside My Heart	Randy Meisner
The Wanderer	Donna Summer
Giving It Up For Your Love	Delbert McClinton
9 To 5	Dolly Parton
He's So Shy	The Pointer Sisters
Never Knew Love Like This Before	Stephanie Mills
The Horizontal Bop	Bob Seger
Turn And Walk Away	The Babys
The Winner Takes It All	ABBA
Miss Sun	Boz Scaggs
Killin' Time	Fred Knoblock & Susan Anton
He Can't Love You	Michael Stanley Band
You	Earth, Wind & Fire
Gotta Have More Love	Climax Blues Band
Shine On	L.T.D.
My Mother's Eyes	Bette Midler
Need Your Loving Tonight	Queen
Keep On Loving You	REO Speedwagon
Cold Love	Donna Summer
I Need Your Lovin'	Teena Marie
Teacher Teacher	Rockpile
Smoky Mountain Rain	Ronnie Milsap
Love T.K.O.	Teddy Pendergrass
Same Old Lang Syne	Dan Fogelberg
Heartbreak Hotel	The Jacksons
Could I Be Dreaming	The Pointer Sisters
Easy Love	Dionne Warwick
Games People Play	The Alan Parsons Project
Seven Bridges Road	Eagles
Turning Japanese	The Vapors
Without Your Love	Roger Daltrey
I Ain't Gonna Stand For It	Stevie Wonder
Upside Down	Diana Ross
Lovely One	The Jacksons
Switchin' To Glide/This Beat Goes On	The Kings
Fool That I Am	Rita Coolidge
Breakfast In America	Supertramp
Trickle Trickle	The Manhattan Transfer
Fashion	David Bowie
Set The Night On Fire	Oak
Who's Making Love	Blues Brothers
I Can't Stop The Feelin'	Pure Prairie League
A Little In Love	Cliff Richard
Let Me Be Your Angel	Stacy Lattisaw
Ah! Leah!	Donnie Iris
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?)	The Star Wars Intergalactic Droid Choir & Chorale
Back In Black	AC/DC
Stop This Game	Cheap Trick
Help Me!	Marcy Levy & Robin Gibb
On The Road Again	Willie Nelson
One-Trick Pony	Paul Simon
I'm Happy That Love Has Found You	Jimmy Hall
Out Here On My Own	Irene Cara
Full Of Fire	Shalamar
Skateaway	Dire Straits
Gypsy Spirit	Pendulum
She's So Cold	The Rolling Stones
Spend The Night In Love	The 4 Seasons
You Shook Me All Night Long	AC/DC
Morning Man	Rupert Holmes
Remote Control	The Reddings
Once A Night	Jackie English
Dreamer	Supertramp
Real Love	The Doobie Brothers
Jesse	Carly Simon
