Me And Bobby McGee	Janis Joplin
She's A Lady	Tom Jones
Just My Imagination (Running Away With Me)	The Temptations
One Bad Apple	The Osmonds
For All We Know	Carpenters
Proud Mary	Ike & Tina Turner
Doesn't Somebody Want To Be Wanted	The Partridge Family Starring Shirley Jones Featuring David Cassidy
What's Going On	Marvin Gaye
Help Me Make It Through The Night	Sammi Smith
If You Could Read My Mind	Gordon Lightfoot
Amos Moses	Jerry Reed
Have You Ever Seen The Rain/Hey Tonight	Creedence Clearwater Revival
Mama's Pearl	Jackson 5
(Where Do I Begin) Love Story	Andy Williams
What Is Life	George Harrison
Cried Like A Baby	Bobby Sherman
Mr. Bojangles	Nitty Gritty Dirt Band
Temptation Eyes	The Grass Roots
(Theme From) Love Story	Henry Mancini And His Orchestra
Another Day/Oh Woman Oh Why	Paul McCartney
Sweet Mary	Wadsworth Mansion
Wild World	Cat Stevens
Free	Chicago
Oye Como Va	Santana
Blue Money	Van Morrison
One Toke Over The Line	Brewer And Shipley
You're All I Need To Get By	Aretha Franklin
No Love At All	B.J. Thomas
Don't Let The Green Grass Fool You	Wilson Pickett
Rose Garden	Lynn Anderson
Amazing Grace	Judy Collins
Soul Power (Pt. 1)	James Brown
Love's Lines, Angles And Rhymes	The 5th Dimension
Knock Three Times	Dawn
Theme From Love Story	Francis Lai And His Orchestra
Watching Scotty Grow	Bobby Goldsboro
Country Road	James Taylor
Eighteen	Alice Cooper
Burning Bridges	The Mike Curb Congregation
Heavy Makes You Happy (Sha-Na-Boom Boom)	The Staple Singers
D.O.A.	Bloodrock
Chairman Of The Board	Chairman Of The Board
Jody's Got Your Girl And Gone	Johnnie Taylor
Cherish What Is Dear To You (While It's Near to You)	Freda Payne
Joy To The World	Three Dog Night
Ask Me No Questions	B.B. King
Dream Baby (How Long Must I Dream)	Glen Campbell
Sit Yourself Down	Stephen Stills
Where Did They Go, Lord/Rags To Riches	Elvis Presley
When There's No You	Engelbert Humperdinck
I Love You For All Seasons	The Fuzz
We Can Work It Out	Stevie Wonder
Do Me Right	Detroit Emeralds
Ain't Got Time	The Impressions
Lonely Teardrops	Brian Hyland
Stay Awhile	The Bells
Angel Baby	Dusk
Don't Change On Me	Ray Charles
Tongue In Cheek	Sugarloaf
The Morning Of Our Lives	Arkade
After The Fire Is Gone	Conway Twitty & Loretta Lynn
Don't Make Me Pay For His Mistakes	Z.Z. Hill
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
Woodstock	Matthews' Southern Comfort
Superstar	Murray Head With The Trinidad Singers
Snow Blind Friend	Steppenwolf
Timothy	The Buoys
Pushbike Song	The Mixtures
If It's Real What I Feel	Jerry Butler Featuring Brenda Lee Eager
Baby Let Me Kiss You	King Floyd
Put Your Hand In The Hand	Ocean
I Won't Mention It Again	Ray Price
Friends	Elton John
Who Gets The Guy	Dionne Warwick
Give It To Me	The Mob
Hot Pants	Salvage
I Don't Know How To Love Him	Helen Reddy
Lucky Man	Emerson, Lake & Palmer
I Don't Blame You At All	Smokey Robinson & The Miracles
Man In Black	Johnny Cash
Bad Water	The Raeletts
Time And Love	Barbra Streisand
Cool Aid	Paul Humphrey & His Cool Aid Chemists
I'd Rather Love You	Charley Pride
I Pity The Fool	Ann Peebles
I Think Of You	Perry Como
Love Makes The World Go Round	Odds & Ends
Could I Forget You	Tyrone Davis
L.A. Goodbye	The Ides Of March
Nickel Song	The New Seekers featuring Eve Graham
Soldier's Last Letter	Merle Haggard And The Strangers
Booty Butt	The Ray Charles Orchestra
I'm Girl Scoutin'	The Intruders
Melting Pot	Booker T. & The MG's
Adrienne	Tommy James
Here Comes The Sun	Richie Havens
1927 Kansas City	Mike Reilly
My Heart Is Yours	Wilbert Harrison
I Don't Know How To Love Him/Everything's Alright	The Kimberlys
Me And My Arrow	Nilsson
