Happy Together	The Turtles
Dedicated To The One I Love	The Mamas & The Papas
Penny Lane	The Beatles
There's A Kind Of Hush	Herman's Hermits
Bernadette	Four Tops
This Is My Song	Petula Clark
For What It's Worth (Stop, Hey What's That Sound)	Buffalo Springfield
Strawberry Fields Forever	The Beatles
Somethin' Stupid	Nancy Sinatra & Frank Sinatra
Western Union	The Five Americans
My Cup Runneth Over	Ed Ames
I Think We're Alone Now	Tommy James And The Shondells
The 59th Street Bridge Song (Feelin' Groovy)	Harpers Bizarre
I Never Loved A Man (The Way I Love You)	Aretha Franklin
Baby I Need Your Lovin'	Johnny Rivers
I've Been Lonely Too Long	The Young Rascals
Sock It To Me-Baby!	Mitch Ryder And The Detroit Wheels
Jimmy Mack	Martha & The Vandellas
A Little Bit Me, A Little Bit You	The Monkees
Love Is Here And Now You're Gone	The Supremes
The Return Of The Red Baron	The Royal Guardsmen
California Nights	Lesley Gore
Ruby Tuesday	The Rolling Stones
The Love I Saw In You Was Just A Mirage	Smokey Robinson & The Miracles
Beggin'	The 4 Seasons Featuring the "Sound of Frankie Valli"
Dry Your Eyes	Brenda & The Tabulations
Then You Can Tell Me Goodbye	The Casinos
With This Ring	The Platters
Ups And Downs	Paul Revere & The Raiders
Sweet Soul Music	Arthur Conley
The Hunter Gets Captured By The Game	The Marvelettes
Travlin' Man	Stevie Wonder
Let's Fall In Love	Peaches & Herb
At The Zoo	Simon & Garfunkel
Pucker Up Buttercup	Jr. Walker & The All Stars
No Milk Today	Herman's Hermits
Wade In The Water	Herb Alpert & The Tijuana Brass
Detroit City	Tom Jones
Lady	Jack Jones
Sit Down, I Think I Love You	The Mojo Men
What A Woman In Love Won't Do	Sandy Posey
When Something Is Wrong With My Baby	Sam & Dave
Show Me	Joe Tex
Tell Me To My Face	Keith
The Loser (With A Broken Heart)	Gary Lewis And The Playboys
Darling Be Home Soon	The Lovin' Spoonful
Niki Hoeky	P.J. Proby
Don't You Care	The Buckinghams
I'm A Man	The Spencer Davis Group
Morningtown Ride	The Seekers
The Girl I Knew Somewhere	The Monkees
Gonna Give Her All The Love I've Got	Jimmy Ruffin
Laudy Miss Claudy	The Buckinghams
Summer Wine	Nancy Sinatra with Lee Hazlewood
On A Carousel	The Hollies
Sunday For Tea	Peter And Gordon
Oh That's Good, No That's Bad	Sam The Sham and the Pharaohs
Mercy, Mercy, Mercy	Marlena Shaw
Kansas City	James Brown And The Famous Flames
Tiny Bubbles	Don Ho and the Aliis
Love Eyes	Nancy Sinatra
Music To Watch Girls By	Andy Williams
I'll Try Anything	Dusty Springfield
Close Your Eyes	Peaches & Herb
Get Me To The World On Time	The Electric Prunes
For He's A Jolly Good Fellow	Bobby Vinton
Girl Don't Care	Gene Chandler
Can't Get Enough Of You, Baby	? (Question Mark) & The Mysterians
Soul Time	Shirley Ellis
That Acapulco Gold	The Rainy Daze
Because Of You	Chris Montez
Friday On My Mind	The Easybeats
Girl I Need You	The Artistics
Cry To Me	Freddie Scott
Don't Do It	Micky Dolenz
Walkin' In The Sunshine	Roger Miller
The Dark End Of The Street	James Carr
Pipe Dream	Blues Magoos
The Beginning Of Loneliness	Dionne Warwick
Danny Boy	Ray Price
Dead End Street Monologue/Dead End Street	Lou Rawls
I Found A Love - Part 1	Wilson Pickett
You Got What It Takes	The Dave Clark Five
The Whole World Is A Stage	The Fantastic Four
Nothing Takes The Place Of You	Toussaint McCall
My Back Pages	The Byrds
Hip Hug-Her	Booker T. & The MG's
Somebody To Love	Jefferson Airplane
Yellow Balloon	The Yellow Balloon
Postcard From Jamaica	The Sopwith "Camel"
Hold On I'm Coming	Chuck Jackson & Maxine Brown
Walk Tall	2 Of Clubs
She Took You For A Ride	Aaron Neville
The Jungle	B.B. King
I Can't Make It Anymore	Spyder Turner
Mercy, Mercy, Mercy	Larry Williams & Johnny Watson
Make A Little Love	Lowell Fulsom
For Me	Sergio Mendes & Brasil '66
Precious Memories	The Romeos
No Time Like The Right Time	The Blues Project
