Escapade	Janet Jackson
Dangerous	Roxette
Roam	The B-52s
Black Velvet	Alannah Myles
Price Of Love	Bad English
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
No More Lies	Michel'le
Here We Are	Gloria Estefan
I Go To Extremes	Billy Joel
Love Will Lead You Back	Taylor Dayne
C'mon And Get My Love	D-Mob Introducing Cathy Dennis
Too Late To Say Goodbye	Richard Marx
Just A Friend	Biz Markie
We Can't Go Wrong	The Cover Girls
I Wish It Would Rain Down	Phil Collins
All Or Nothing	Milli Vanilli
No Myth	Michael Penn
All Around The World	Lisa Stansfield
Get Up! (Before The Night Is Over)	Technotronic
Keep It Together	Madonna
Sometimes She Cries	Warrant
Sacrifice	Elton John
I'll Be Your Everything	Tommy Page
Here And Now	Luther Vandross
All My Life	Linda Ronstadt (Featuring Aaron Neville)
Forever	KISS
Don't Wanna Fall In Love	Jane Child
The Deeper The Love	Whitesnake
Two To Make It Right	Seduction
Summer Rain	Belinda Carlisle
Personal Jesus	Depeche Mode
Anything I Want	Kevin Paige
Whole Wide World (From "True Love")	A'me Lorain
What Kind Of Man Would I Be?	Chicago
Love Me For Life	Stevie B
Dirty Deeds	Joan Jett
I Wanna Be Rich	Calloway
Janie's Got A Gun	Aerosmith
A Girl Like You	The Smithereens
How Am I Supposed To Live Without You	Michael Bolton
Downtown Train	Rod Stewart
Without You	Motley Crue
You're The Only Woman	The Brat Pack
If You Leave Me Now	Jaya
How Can We Be Lovers	Michael Bolton
Heartbeat	Seduction
I Remember You	Skid Row
Heart Of Stone	Cher
Love Song	Tesla
Almost Hear You Sigh	The Rolling Stones
The Heart Of The Matter	Don Henley
If U Were Mine	The U-Krew
True Blue Love	Lou Gramm
Whip Appeal	Babyface
Real Love	Skyy
Don't Know Much	Linda Ronstadt (Featuring Aaron Neville)
Blue Sky Mine	Midnight Oil
Fly High Michelle	Enuff Z'Nuff
Sending All My Love	Linear
Bust A Move	Young M.C.
Back To Life	Soul II Soul
Got To Get	Leila K With Rob 'N' Raz
Pump Up The Jam	Technotronic Featuring Felly
Lambada	Kaoma
Tell Me Why	Expose
A Face In The Crowd	Tom Petty
Wild Women Do (From "Pretty Woman")	Natalie Cole
Make It Like It Was	Regina Belle
Anytime	McAuley Schenker Group
I'll Be There	Joyce "Fenderella" Irby
Me So Horny	The 2 Live Crew
Free Fallin'	Tom Petty
The Secret Garden	Quincy Jones
Living In Oblivion	Anything Box
Was It Nothing At All	Michael Damian
Everything	Jody Watley
Just Between You And Me	Lou Gramm
House Of Fire	Alice Cooper
House Of Pain	Faster Pussycat
Time After Time	Timmy T.
Peace In Our Time	Eddie Money
Got To Have Your Love	Mantronix Featuring Wondress
Whatcha Gonna Do With My Lovin'	Inner City
Room At The Top	Adam Ant
Imagination	Xymox
The Way It Is	Tesla
You're The Voice	John Farnham
Bad Love	Eric Clapton
Tender Lover	Babyface
Blame It On The Rain	Milli Vanilli
There's A Party Going On	Yvonne
Have A Heart	Bonnie Raitt
Hide And Seek	Pajama Party
I Want You	Shana
Expression	Salt-N-Pepa
Advice For The Young At Heart	Tears For Fears
I'm Not Satisfied	Fine Young Cannibals
Swing The Mood	Jive Bunny & The Mastermixers
Kickstart My Heart	Motley Crue
When The Night Comes	Joe Cocker
