Lady	Kenny Rogers
Woman In Love	Barbra Streisand
The Wanderer	Donna Summer
Another One Bites The Dust	Queen
I'm Coming Out	Diana Ross
Never Knew Love Like This Before	Stephanie Mills
Master Blaster (Jammin')	Stevie Wonder
He's So Shy	The Pointer Sisters
More Than I Can Say	Leo Sayer
(Just Like) Starting Over	John Lennon
Dreaming	Cliff Richard
Lovely One	The Jacksons
You've Lost That Lovin' Feeling	Daryl Hall John Oates
Whip It	Devo
Dreamer	Supertramp
Hit Me With Your Best Shot	Pat Benatar
Love On The Rocks	Neil Diamond
Never Be The Same	Christopher Cross
Out Here On My Own	Irene Cara
On The Road Again	Willie Nelson
Hungry Heart	Bruce Springsteen
That Girl Could Sing	Jackson Browne
Let Me Be Your Angel	Stacy Lattisaw
Without Your Love	Roger Daltrey
Upside Down	Diana Ross
She's So Cold	The Rolling Stones
Real Love	The Doobie Brothers
I'm Happy That Love Has Found You	Jimmy Hall
Guilty	Barbra Streisand & Barry Gibb
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
Deep Inside My Heart	Randy Meisner
Everybody's Got To Learn Sometime	The Korgis
Jesse	Carly Simon
This Time	John Cougar
Every Woman In The World	Air Supply
Sometimes A Fantasy	Billy Joel
It's My Turn	Diana Ross
Turning Japanese	The Vapors
If You Should Sail	Nielsen/Pearson
I Believe In You	Don Williams
De Do Do Do, De Da Da Da	The Police
All Out Of Love	Air Supply
One-Trick Pony	Paul Simon
Sequel	Harry Chapin
You Shook Me All Night Long	AC/DC
Look What You've Done To Me	Boz Scaggs
I'm Alright	Kenny Loggins
Suddenly	Olivia Newton-John & Cliff Richard
Who Were You Thinkin' Of	The Doolittle Band
Celebration	Kool & The Gang
Could I Have This Dance	Anne Murray
I Could Be Good For You	707
Hold On	Kansas
Drivin' My Life Away	Eddie Rabbitt
Texas In My Rear View Mirror	Mac Davis
Cry Like A Baby	Kim Carnes
Late In The Evening	Paul Simon
Xanadu	Olivia Newton-John And The Electric Light Orchestra
Girls Can Get It	Dr. Hook
Give Me The Night	George Benson
Love X Love	George Benson
Midnight Rocks	Al Stewart
Lookin' For Love	Johnny Lee
Live Every Minute	Ali Thomson
Hot Rod Hearts	Robbie Dupree
Let's Be Lovers Again	Eddie Money (with Valerie Carter)
Touch And Go	The Cars
Don't Say No	Billy Burnette
Switchin' To Glide/This Beat Goes On	The Kings
Brite Eyes	Robbin Thompson Band
Together	Tierra
Could I Be Dreaming	The Pointer Sisters
Stop This Game	Cheap Trick
Help Me!	Marcy Levy & Robin Gibb
Morning Man	Rupert Holmes
When We Get Married	Larry Graham
I Love A Rainy Night	Eddie Rabbitt
Blues Power	Eric Clapton And His Band
Turn And Walk Away	The Babys
The Horizontal Bop	Bob Seger
The Tide Is High	Blondie
Walk Away	Donna Summer
Sherry	Robert John
Private Idaho	The B-52s
Fame	Irene Cara
Gotta Have More Love	Climax Blues Band
Let Me Talk	Earth, Wind & Fire
How Do I Survive	Amy Holland
Real People/Chip Off The Old Block	Chic
Shine On	L.T.D.
The Legend Of Wooley Swamp	The Charlie Daniels Band
Rough Boys	Pete Townshend
I'm Almost Ready	Pure Prairie League
Remote Control	The Reddings
Who'll Be The Fool Tonight	Larsen-Feiten Band
Heroes	Commodores
Let's Do Something Cheap And Superficial	Burt Reynolds
More Bounce To The Ounce Part I	Zapp
Can't We Try	Teddy Pendergrass
All Over The World	Electric Light Orchestra
