War	Edwin Starr
Ain't No Mountain High Enough	Diana Ross
Make It With You	Bread
In The Summertime	Mungo Jerry
(They Long To Be) Close To You	Carpenters
25 Or 6 To 4	Chicago
Patches	Clarence Carter
(If You Let Me Make Love To You Then) Why Can't I Touch You?	Ronnie Dyson
Spill The Wine	Eric Burdon And War
Lookin' Out My Back Door/Long As I Can See The Light	Creedence Clearwater Revival
Signed, Sealed, Delivered I'm Yours	Stevie Wonder
Don't Play That Song	Aretha Franklin with The Dixie Flyers
Julie, Do Ya Love Me	Bobby Sherman
Hi-De-Ho	Blood, Sweat & Tears
I Just Can't Help Believing	B.J. Thomas
Overture From Tommy (A Rock Opera)	The Assembled Multitude
Hand Me Down World	The Guess Who
Candida	Dawn
Snowbird	Anne Murray
I (Who Have Nothing)	Tom Jones
Everybody's Got The Right To Love	The Supremes
Band Of Gold	Freda Payne
Solitary Man	Neil Diamond
Groovy Situation	Gene Chandler
Tell It All Brother	Kenny Rogers & The First Edition
Rubber Duckie	Ernie (Jim Henson)
(I Know) I'm Losing You	Rare Earth
Tighter, Tighter	Alive & Kicking
Cracklin' Rosie	Neil Diamond
Lay A Little Lovin' On Me	Robin McNamara
Get Up (I Feel Like Being Like A) Sex Machine (Part 1)	James Brown
I've Lost You/The Next Step Is Love	Elvis Presley
It's A Shame	The Spinners
I Want To Take You Higher	Ike & Tina Turner & The Ikettes
Closer To Home (I'm Your Captain)	Grand Funk Railroad
Joanne	Michael Nesmith & The First National Band
Peace Will Come (According To Plan)	Melanie
Neanderthal Man	Hotlegs
Summertime Blues	The Who
All Right Now	Free
Do You See My Love (For You Growing)	Jr. Walker & The All Stars
Big Yellow Taxi	The Neighborhood
Express Yourself	Charles Wright And The Watts 103rd Street Rhythm Band
Only You Know And I Know	Dave Mason
The Sly, Slick, And The Wicked	The Lost Generation
Everything's Tuesday	Chairman Of The Board
That's Where I Went Wrong	The Poppy Family (Featuring Susan Jacks)
Soul Shake	Delaney & Bonnie & Friends
We're All Playing In The Same Band	Bert Sommer
Long Long Time	Linda Ronstadt
Green-Eyed Lady	Sugarloaf
Rainbow	The Marmalade
Still Water (Love)	Four Tops
Wigwam	Bob Dylan
Yellow River	Christie
On The Beach (In The Summertime)	The 5th Dimension
Ball And Chain	Tommy James
Black Fox	Freddy Robinson
Sunday Morning Coming Down	Johnny Cash
Lola	The Kinks
Hummingbird	B.B. King
Riki Tiki Tavi	Donovan
Mongoose	Elephant's Memory
Where Are You Going To My Love	The Brotherhood Of Man
I Stand Accused	Isaac Hayes
Sing A Song For Freedom	Frijid Pink
Stay Away From Me (I Love You Too Much)	Major Lance
Out In The Country	Three Dog Night
Screaming Night Hog	Steppenwolf
Look What They've Done To My Song Ma	The New Seekers featuring Eve Graham
If I Didn't Care	The Moments
Uncle John's Band	The Grateful Dead
Do What You Wanna Do	Five Flights Up
She Said Yes	Wilson Pickett
Going To The Country	The Steve Miller Band
Funk # 49	James Gang
Don't Make Me Over	Brenda & The Tabulations
I Like Your Lovin' (Do You Like Mine)	The Chi-lites
Yours Love	Joe Simon
Morning Much Better	Ten Wheel Drive With Genya Ravan
Somebody's Been Sleeping	100 Proof Aged in Soul
It's Only Make Believe	Glen Campbell
As The Years Go By	Mashmakhan
Song From M*A*S*H	Al DeLory
For The Good Times	Ray Price
Indiana Wants Me	R. Dean Taylor
I Wanna Know If It's Good To You?	Funkadelic
Greenwood Mississippi	Little Richard
Baby, I Need Your Loving	O.C. Smith
I Can't Be You (You Can't Be Me)	The Glass House
We Can Make It Baby	The Originals
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
(Baby) Turn On To Me	The Impressions
Gypsy Woman	Brian Hyland
Empty Pages	Traffic
I Have Learned To Do Without You	Mavis Staples
Stand By Your Man	Candi Staton
(I Remember) Summer Morning	Vanity Fare
Looky Looky (Look At Me Girl)	The O'Jays
Fire And Rain	Johnny Rivers & Friends
