Delta Dawn	Helen Reddy
Let's Get It On	Marvin Gaye
Say, Has Anybody Seen My Sweet Gypsy Rose	Dawn Featuring Tony Orlando
Loves Me Like A Rock	Paul Simon (with The Dixie Hummingbirds)
We're An American Band	Grand Funk
Brother Louie	Stories
Touch Me In The Morning	Diana Ross
Gypsy Man	War
Live And Let Die	Wings
Here I Am Come & Take Me	Al Green
Half-Breed	Cher
Saturday Night's Alright For Fighting	Elton John
Higher Ground	Stevie Wonder
My Maria	B.W. Stevenson
That Lady (Part 1)	The Isley Brothers
If You Want Me To Stay	Sly & The Family Stone
Get Down	Gilbert O'Sullivan
The Morning After	Maureen McGovern
Feelin' Stronger Every Day	Chicago
I Believe In You (You Believe In Me)	Johnnie Taylor
Ramblin Man	The Allman Brothers Band
Theme From Cleopatra Jones	Joe Simon featuring The Mainstreeters
Why Me	Kris Kristofferson
China Grove	The Doobie Brothers
Angel	Aretha Franklin
Are You Man Enough	Four Tops
Free Ride	Edgar Winter Group
Yes We Can Can	The Pointer Sisters
Ghetto Child	The Spinners
Keep On Truckin' (Part 1)	Eddie Kendricks
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Uneasy Rider	Charlie Daniels
Midnight Train To Georgia	Gladys Knight And The Pips
I've Got So Much To Give	Barry White
You've Never Been This Far Before	Conway Twitty
Hey Girl (i Like Your Style)	The Temptations
Bad, Bad Leroy Brown	Jim Croce
Stoned Out Of My Mind	The Chi-lites
A Million To One/Young Love	Donny Osmond
Nobody Wants You When You're Down And Out	Bobby Womack
There It Is	Tyrone Davis
Sweet Charlie Babe	Jackie Moore
In The Midnight Hour	Cross Country
Rocky Mountain Way	Joe Walsh
Get It Together	Jackson 5
To Know You Is To Love You	B.B. King
Jimmy Loves Mary-Anne	Looking Glass
Rhapsody In Blue	Deodato
Ecstasy	Ohio Players
Evil	Earth, Wind & Fire
Future Shock	Curtis Mayfield
Sexy, Sexy, Sexy	James Brown
Sweet Harmony	Smokey Robinson
Knockin' On Heaven's Door	Bob Dylan
Angie	The Rolling Stones
Don't Let It End ('til You Let It Begin)	The Miracles
The Last Thing On My Mind	Neil Diamond
Ashes To Ashes	The 5th Dimension
Twisting The Night Away	Rod Stewart
Just Don't Want To Be Lonely	Ronnie Dyson
All I Need Is Time	Gladys Knight And The Pips
(I Don't Want To Love You But) You Got Me Anyway	Sutherland Brothers And Quiver
Freedom For The Stallion	The Hues Corporation
Hurts So Good	Millie Jackson
Slick	Willie Hutch
Loving Arms	Dobie Gray
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
Muskrat Love	America
Let Me In	The Osmonds
Basketball Jones Featuring Tyrone Shoelaces	Cheech & Chong
Summer (The First Time)	Bobby Goldsboro
Send A Little Love My Way	Anne Murray
Parrty - Part I	Maceo And The Macks
Show Biz Kids	Steely Dan
Everybody's Had The Blues	Merle Haggard And The Strangers
Tonight	Raspberries
Funky Stuff	Kool & The Gang
Nutbush City Limits	Ike & Tina Turner
All I Know	Garfunkel
The Peacemaker	Albert Hammond
Outlaw Man	Eagles
That's Why You Remember	Kenny Karen
Blood Red And Goin' Down	Tanya Tucker
Never Let You Go	Bloodstone
Such A Night	Dr. John
Paper Roses	Marie Osmond
They're Coming To Take Me Away, Ha-Haaa!	Napoleon XIV
Hang Loose	Mandrill
Queen Of The Roller Derby	Leon Russell
As Time Goes By	Nilsson
This Time It's Real	Tower Of Power
He	Today's People
Make Me Twice The Man	New York City
You're The Best Thing That Ever Happened To Me	Ray Price
I Can't Stand The Rain	Ann Peebles
Rubber Bullets	10cc
Slippin' Away	Jean Shepard
Make Up Your Mind	The J. Geils Band
Soul Je T'aime	Sylvia And Ralfi Pagan
Farewell Andromeda (Welcome To My Morning)	John Denver
