Everything Is Beautiful	Ray Stevens
American Woman/No Sugar Tonight	The Guess Who
Love On A Two-Way Street	The Moments
Cecilia	Simon & Garfunkel
Up Around The Bend/Run Through The Jungle	Creedence Clearwater Revival
Which Way You Goin' Billy?	The Poppy Family (Featuring Susan Jacks)
The Letter	Joe Cocker with Leon Russell & The Shelter People
Turn Back The Hands Of Time	Tyrone Davis
Vehicle	The Ides Of March
Let It Be	The Beatles
Get Ready	Rare Earth
The Long And Winding Road/For You Blue	The Beatles
Reflections Of My Life	The Marmalade
For The Love Of Him	Bobbi Martin
ABC	Jackson 5
Woodstock	Crosby, Stills, Nash & Young
Make Me Smile	Chicago
Daughter Of Darkness	Tom Jones
Come Saturday Morning	The Sandpipers
Spirit In The Sky	Norman Greenbaum
Little Green Bag	George Baker Selection
Reach Out And Touch (Somebody's Hand)	Diana Ross
Hitchin' A Ride	Vanity Fare
Puppet Man	The 5th Dimension
My Baby Loves Lovin'	White Plains
Lay Down (Candles In The Rain)	Melanie with The Edwin Hawkins Singers
United We Stand	The Brotherhood Of Man
Love Or Let Me Be Lonely	The Friends Of Distinction
Question	The Moody Blues
Soolaimón (African Trilogy II)	Neil Diamond
What Is Truth	Johnny Cash
Brother Rapp (Part 1)	James Brown
The Wonder Of You/Mama Liked The Roses	Elvis Presley
Something's Burning	Kenny Rogers & The First Edition
Ride Captain Ride	Blues Image
Viva Tirado - Part I	El Chicano
Band Of Gold	Freda Payne
It's All In The Game	Four Tops
Sugar Sugar/Cole, Cooke & Redding	Wilson Pickett
Love Land	Charles Wright And The Watts 103rd Street Rhythm Band
Ball Of Confusion (That's What The World Is Today)	The Temptations
Hey, Mister Sun	Bobby Sherman
(You've Got Me) Dangling On A String	Chairman Of The Board
Gimme Dat Ding	The Pipkins
The Love You Save/I Found That Girl	Jackson 5
Let Me Go To Him	Dionne Warwick
Hey Lawdy Mama	Steppenwolf
Mama Told Me (Not To Come)	Three Dog Night
Oh Happy Day	Glen Campbell
Airport Love Theme (Gwen And Vern)	Vincent Bell
Mississippi Queen	Mountain
Baby Hold On	The Grass Roots
Open Up My Heart/Nadine	The Dells
Cinnamon Girl	The Gentrys
Into The Mystic	Johnny Rivers
Farther On Down The Road	Joe Simon
Check Out Your Mind	The Impressions
The Onion Song/California Soul	Marvin Gaye & Tammi Terrell
Whoever Finds This, I Love You	Mac Davis
Spirit In The Dark	Aretha Franklin with The Dixie Flyers
I Can't Leave Your Love Alone	Clarence Carter
Come To Me	Tommy James And The Shondells
The Seeker	The Who
Mississippi	John Phillips
Go Back	Crabby Appleton
I Want To Take You Higher	Sly & The Family Stone
Hum A Song (From Your Heart)	Lulu with The Dixie Flyers
I Want To Take You Higher	Ike & Tina Turner & The Ikettes
Who's Gonna Take The Blame	Smokey Robinson & The Miracles
So Much Love	Faith, Hope And Charity
O-o-h Child/Dear Prudence	The 5 Stairsteps
Sweet Feeling	Candi Staton
Are You Ready?	Pacific Gas And Electric
Killer Joe	Quincy Jones
You, Me And Mexico	Edward Bear
A Little Bit Of Soap	Paul Davis
Cottage Cheese	CROW
Free The People	Delaney & Bonnie & Friends
Red Red Wine	Vic Dana
She Didn't Know (She Kept On Talking)	Dee Dee Warwick
If You Do Believe In Love	The Tee Set
Ain't That Loving You (For More Reasons Than One)	Luther Ingram
Freedom Blues	Little Richard
And My Heart Sang (Tra La La)	Brenda & The Tabulations
Man Of Constant Sorrow	Ginger Baker's Air Force
Westbound #9	The Flaming Ember
That Same Old Feeling	The Fortunes
Don't It Make You Want To Go Home	Brook Benton With The Dixie Flyers
That Same Old Feeling	Pickettywitch
Friends	Feather
More Than I Can Stand	Bobby Womack
Some Beautiful	Jack Wild
Lay A Little Lovin' On Me	Robin McNamara
Heighdy-Ho Princess	Neon Philharmonic
Spill The Wine	Eric Burdon And War
You Keep Me Hangin' On/Hurt So Bad	Jackie DeShannon
Feelings	Barry Mann
I Think I Love You Again	Brenda Lee
Primrose Lane	O.C. Smith
I Can't Tell The Bottom From The Top	The Hollies
