God's Plan	Drake
Meant To Be	Bebe Rexha & Florida Georgia Line
Finesse	Bruno Mars & Cardi B
Psycho	Post Malone Featuring Ty Dolla $ign
Perfect	Ed Sheeran
Look Alive	BlocBoy JB Featuring Drake
The Middle	Zedd, Maren Morris & Grey
Freaky Friday	Lil Dicky Featuring Chris Brown
Sad!	XXXTENTACION
Havana	Camila Cabello Featuring Young Thug
Mine	Bazzi
Pray For Me	The Weeknd & Kendrick Lamar
Stir Fry	Migos
Never Be The Same	Camila Cabello
Walk It Talk It	Migos Featuring Drake
All The Stars	Kendrick Lamar & SZA
Ric Flair Drip	Offset & Metro Boomin
Plug Walk	Rich The Kid
Let You Down	NF
New Rules	Dua Lipa
Rockstar	Post Malone Featuring 21 Savage
In My Blood	Shawn Mendes
Whatever It Takes	Imagine Dragons
Thunder	Imagine Dragons
Him & I	G-Eazy & Halsey
Wait	Maroon 5
Lights Down Low	MAX Featuring gnash
Heaven	Kane Brown
I Fall Apart	Post Malone
Friends	Marshmello & Anne-Marie
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
Feel It Still	Portugal. The Man
Say Something	Justin Timberlake Featuring Chris Stapleton
You Make It Easy	Jason Aldean
Marry Me	Thomas Rhett
Lemon	N*E*R*D & Rihanna
Bad At Love	Halsey
Powerglide	Rae Sremmurd & Juicy J
Changes	XXXTENTACION
Outside Today	YoungBoy Never Broke Again
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
New Freezer	Rich The Kid Featuring Kendrick Lamar
Love.	Kendrick Lamar Featuring Zacari
Wolves	Selena Gomez X Marshmello
MotorSport	Migos, Nicki Minaj & Cardi B
Most People Are Good	Luke Bryan
Bartier Cardi	Cardi B Featuring 21 Savage
Moonlight	XXXTENTACION
Love Lies	Khalid & Normani
Singles You Up	Jordan Davis
X	Nicky Jam x J Balvin
Delicate	Taylor Swift
Dura	Daddy Yankee
IDGAF	Dua Lipa
No Excuses	Meghan Trainor
Gummo	6ix9ine
Billy	6ix9ine
Broken Halos	Chris Stapleton
Tell Me You Love Me	Demi Lovato
Say Amen (Saturday Night)	Panic! At The Disco
Hardaway	Derez De'Shon
All On Me	Devin Dawson
El Farsante	Ozuna & Romeo Santos
Lost In Japan	Shawn Mendes X Zedd
Zombie	Bad Wolves
Top Off	DJ Khaled Featuring JAY Z, Future & B
Everyday	Logic & Marshmello
The Long Way	Brett Eldredge
Red Roses	Lil Skies Featuring Landon Cube
Japan	Famous Dex
Pick It Up	Famous Dex Featuring A$AP Rocky
Five More Minutes	Scotty McCreery
One Number Away	Luke Combs
Tequila	Dan + Shay
NBAYoungboat	Lil Yachty Featuring NBA YoungBoy
I Like Me Better	Lauv
Betrayed	Lil Xan
Sit Next To Me	Foster The People
No Smoke	YoungBoy Never Broke Again
Sativa	Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
She's With Me	High Valley
When We	Tank
I Lived It	Blake Shelton
Nowadays	Lil Skies Featuring Landon Cube
44 More	Logic
Up Down	Morgan Wallen Featuring Florida Georgia Line
This Is Me	Keala Settle & The Greatest Showman Ensemble
Beautiful Trauma	P!nk
Narcos	Migos
Echame La Culpa	Luis Fonsi & Demi Lovato
Written In The Sand	Old Dominion
Tempo	Chris Brown
Booty	Blac Youngsta
La Modelo	Ozuna x Cardi B
For The First Time	Darius Rucker
Rubbin Off The Paint	YBN Nahmir
The Remedy For A Broken Heart (Why Am I So In Love)	XXXTENTACION
Dark Knight Dummo	Trippie Redd Featuring Travis Scott
Get You	Daniel Caesar Featuring Kali Uchis
No Roots	Alice Merton
