To Sir With Love	Lulu
Soul Man	Sam & Dave
It Must Be Him	Vikki Carr
Incense And Peppermints	Strawberry Alarm Clock
Your Precious Love	Marvin Gaye & Tammi Terrell
The Rain, The Park & Other Things	The Cowsills
Please Love Me Forever	Bobby Vinton
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
Expressway (To Your Heart)	Soul Survivors
Never My Love	The Association
I Can See For Miles	The Who
I'm Wondering	Stevie Wonder
Love Is Strange	Peaches & Herb
(Loneliness Made Me Realize) It's You That I Need	The Temptations
Let It Out (Let It All Hang Out)	The Hombres
Holiday	Bee Gees
How Can I Be Sure	The Young Rascals
People Are Strange	The Doors
Everlasting Love	Robert Knight
Get On Up	The Esquires
Pata Pata	Miriam Makeba
I Say A Little Prayer	Dionne Warwick
Kentucky Woman	Neil Diamond
Lazy Day	Spanky And Our Gang
Lady Bird	Nancy Sinatra & Lee Hazlewood
The Letter	The Box Tops
I Heard It Through The Grapevine	Gladys Knight And The Pips
Gimme Little Sign	Brenton Wood
Glad To Be Unhappy	The Mamas & The Papas
Boogaloo Down Broadway	The Fantastic Johnny C
Like An Old Time Movie	Scott McKenzie
She Is Still A Mystery	The Lovin' Spoonful
The Last Waltz	Engelbert Humperdinck
The Look Of Love	Dusty Springfield
Keep The Ball Rollin'	Jay And The Techniques
Hey Baby (They're Playing Our Song)	The Buckinghams
Homburg	Procol Harum
Big Boss Man	Elvis Presley
Stag-O-Lee	Wilson Pickett
Even The Bad Times Are Good	The Tremeloes
You Better Sit Down Kids	Cher
Get It Together (Part 1)	James Brown And The Famous Flames
Back On The Street Again	The Sunshine Company
Mr. Dream Merchant	Jerry Butler
You Don't Know Me	Elvis Presley With The Jordanaires
Wild Honey	The Beach Boys
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
Beg, Borrow And Steal	Ohio Express
Watch The Flowers Grow	The 4 Seasons Featuring the "Sound of Frankie Valli"
Child Of Clay	Jimmie Rodgers
By The Time I Get To Phoenix	Glen Campbell
Hush	Billy Joe Royal
This Town	Frank Sinatra
Shout Bamalama	Mickey Murray
You've Made Me So Very Happy	Brenda Holloway
Out Of The Blue	Tommy James And The Shondells
I Second That Emotion	Smokey Robinson & The Miracles
Skinny Legs And All	Joe Tex
Are You Never Coming Home	Sandy Posey
Suzanne	Noel Harrison
Karate-Boo-Ga-Loo	Jerryo
Yesterday	Ray Charles
If This Is Love (I'd Rather Be Lonely)	The Precisions
Go-Go Girl	Lee Dorsey
In And Out Of Love	Diana Ross & The Supremes
Next Plane To London	The Rose Garden
She's My Girl	The Turtles
Rock 'N' Roll Woman	Buffalo Springfield
Just One Look	The Hollies
Wake Up, Wake Up	The Grass Roots
Nine Pound Steel	Joe Simon
Paper Cup	The 5th Dimension
Whole Lotta Woman	Arthur Conley
(The Lights Went Out In) Massachusetts	Bee Gees
You Mean The World To Me	David Houston
Spreadin' Honey	The Watts 103rd Street Rhythm Band
Sweet, Sweet Lovin'	The Platters
Go With Me	Gene And Debbe
Can't Stop Loving You	The Last Word
Get Down	Harvey Scales
Soul Man	Ramsey Lewis
Brink Of Disaster	Lesley Gore
When You're Gone	Brenda & The Tabulations
An Open Letter To My Teenage Son	Victor Lundberg
Shame On Me	Chuck Jackson
All Your Goodies Are Gone (The Loser's Seat)	The Parliaments
Neon Rainbow	The Box Tops
You Are My Sunshine	Mitch Ryder
O-O, I Love You	The Dells
Different Drum	Stone Poneys Featuring Linda Ronstadt
For Once In My Life	Tony Bennett
Itchycoo Park	Small Faces
Where Is The Party	Helena Ferguson
Lapland	The Baltimore And Ohio Marching Band
Alligator Bogaloo	Lou Donaldson
Pony With The Golden Mane	Every Mothers' Son
On A Saturday Night	Eddie Floyd
Tell Mama	Etta James
Piece Of My Heart	Erma Franklin
He Ain't Give You None	Freddie Scott
