Sucker	Jonas Brothers
7 Rings	Ariana Grande
Please Me	Cardi B & Bruno Mars
Sunflower (Spider-Man: Into The Spider-Verse)	Post Malone & Swae Lee
Without Me	Halsey
Shallow	Lady Gaga & Bradley Cooper
Wow.	Post Malone
Happier	Marshmello & Bastille
Middle Child	J. Cole
Sicko Mode	Travis Scott
Thank U, Next	Ariana Grande
High Hopes	Panic! At The Disco
Thotiana	Blueface
Eastside	benny blanco, Halsey & Khalid
Break Up With Your Girlfriend, I'm Bored	Ariana Grande
Going Bad	Meek Mill Featuring Drake
Murder On My Mind	YNW Melly
A Lot	21 Savage
Girls Like You	Maroon 5 Featuring Cardi B
Dancing With A Stranger	Sam Smith & Normani
Better	Khalid
Drip Too Hard	Lil Baby & Gunna
Money	Cardi B
Sweet But Psycho	Ava Max
Beautiful Crazy	Luke Combs
Be Alright	Dean Lewis
MIA	Bad Bunny Featuring Drake
ZEZE	Kodak Black Featuring Travis Scott & Offset
Better Now	Post Malone
Youngblood	5 Seconds Of Summer
Close To Me	Ellie Goulding X Diplo Featuring Swae Lee
You Say	Lauren Daigle
Tequila	Dan + Shay
Robbery	Juice WRLD
Look Back At It	A Boogie Wit da Hoodie
Lucid Dreams	Juice WRLD
Girls Need Love	Summer Walker X Drake
Baby Shark	Pinkfong
I	Lil Skies
Envy Me	Calboy
I Like It	Cardi B, Bad Bunny & J Balvin
Bury A Friend	Billie Eilish
Taki Taki	DJ Snake Featuring Selena Gomez, Ozuna & Cardi B
Wake Up In The Sky	Gucci Mane X Bruno Mars X Kodak Black
Leave Me Alone	Flipp Dinero
Twerk	City Girls Featuring Cardi B
Mo Bamba	Sheck Wes
Swervin	A Boogie Wit da Hoodie Featuring 6ix9ine
Talk	Khalid
Mixed Personalities	YNW Melly Featuring Kanye West
Pure Water	Mustard & Migos
Look What God Gave Her	Thomas Rhett
This Is It	Scotty McCreery
Take It From Me	Jordan Davis
Millionaire	Chris Stapleton
Hear Me Calling	Juice WRLD
Con Calma	Daddy Yankee & Katy Perry Featuring Snow
Undecided	Chris Brown
Close Friends	Lil Baby
Who Do You Love	The Chainsmokers Featuring 5 Seconds Of Summer
Girl Like You	Jason Aldean
Here Tonight	Brett Young
Burn Out	Midland
Always Remember Us This Way	Lady Gaga
Worth It	YK Osiris
What Makes You Country	Luke Bryan
Ella Quiere Beber	Anuel AA & Romeo Santos
Shot Clock	Ella Mai
Down To The Honkytonk	Jake Owen
Eyes On You	Chase Rice
There Was This Girl	Riley Green
Bad Liar	Imagine Dragons
Red Room	Offset
Wish You Were Gay	Billie Eilish
Whip	2 Chainz Featuring Travis Scott
Make It Sweet	Old Dominion
Act Up	City Girls
Good As You	Kane Brown
Nights Like This	Kehlani Featuring Ty Dolla $ign
Calling My Spirit	Kodak Black
Miss Me More	Kelsea Ballerini
Armed And Dangerous	Juice WRLD
Old Town Road	Lil Nas X Featuring Billy Ray Cyrus
Secreto	Anuel AA & Karol G
Whiskey Glasses	Morgan Wallen
Night Shift	Jon Pardi
Faucet Failure	Ski Mask The Slump God
Walk Me Home	P!nk
One That Got Away	Michael Ray
Put A Date On It	Yo Gotti Featuring Lil Baby
Lovely	Billie Eilish & Khalid
Needy	Ariana Grande
I Can't Get Enough	benny blanco, Tainy, Selena Gomez & J Balvin
Rule The World	2 Chainz Featuring Ariana Grande
When The Party's Over	Billie Eilish
Love Someone	Lukas Graham
Talk You Out Of It	Florida Georgia Line
Love Wins	Carrie Underwood
On My Way To You	Cody Johnson
Momma I Hit A Lick	2 Chainz Featuring Kendrick Lamar
