The Letter	The Box Tops
Never My Love	The Association
To Sir With Love	Lulu
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
Ode To Billie Joe	Bobbie Gentry
(Your Love Keeps Lifting Me) Higher And Higher	Jackie Wilson
Come Back When You Grow Up	Bobby Vee And The Strangers
How Can I Be Sure	The Young Rascals
Gimme Little Sign	Brenton Wood
Soul Man	Sam & Dave
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
Hey Baby (They're Playing Our Song)	The Buckinghams
Your Precious Love	Marvin Gaye & Tammi Terrell
Dandelion	The Rolling Stones
Expressway (To Your Heart)	Soul Survivors
Get On Up	The Esquires
I Dig Rock And Roll Music	Peter, Paul & Mary
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
You Keep Running Away	Four Tops
Brown Eyed Girl	Van Morrison
Funky Broadway	Wilson Pickett
Reflections	Diana Ross & The Supremes
People Are Strange	The Doors
It Must Be Him	Vikki Carr
Lightning's Girl	Nancy Sinatra
Groovin'	Booker T. & The MG's
Let It Out (Let It All Hang Out)	The Hombres
Let Love Come Between Us	James & Bobby Purify
Ode To Billie Joe	The Kingpins
What Now My Love	Mitch Ryder
The Look Of Love	Dusty Springfield
Child Of Clay	Jimmie Rodgers
Memphis Soul Stew	King Curtis
Incense And Peppermints	Strawberry Alarm Clock
A Banda (Ah Bahn-da)	Herb Alpert & The Tijuana Brass
The Last Waltz	Engelbert Humperdinck
Please Love Me Forever	Bobby Vinton
Love Is Strange	Peaches & Herb
I Make A Fool Of Myself	Frankie Valli
Love Bug Leave My Heart Alone	Martha & The Vandellas
I'm Wondering	Stevie Wonder
Gettin' Together	Tommy James And The Shondells
You're My Everything	The Temptations
Why Do Fools Fall In Love	The Happenings
You Know What I Mean	The Turtles
Holiday	Bee Gees
I Had A Dream	Paul Revere & The Raiders Featuring Mark Lindsay
The Rain, The Park & Other Things	The Cowsills
Even The Bad Times Are Good	The Tremeloes
The Cat In The Window (The Bird In The Sky)	Petula Clark
I'll Never Fall In Love Again	Tom Jones
You've Got To Pay The Price	Al Kent
Casonova (Your Playing Days Are Over)	Ruby Andrews
We Love You	The Rolling Stones
More Than The Eye Can See	Al Martino
Take A Look	Aretha Franklin
Everlasting Love	Robert Knight
King Midas In Reverse	The Hollies
Rock 'N' Roll Woman	Buffalo Springfield
You've Made Me So Very Happy	Brenda Holloway
(Loneliness Made Me Realize) It's You That I Need	The Temptations
Get Together	The Youngbloods
Just One Look	The Hollies
It's Got To Be Mellow	Leon Haywood
Purple Haze	The Jimi Hendrix Experience
For What It's Worth	The Staple Singers
Fall In Love With Me	Bettye Swann
To Share Your Love	Fantastic Four
Shout Bamalama	Mickey Murray
Baby I'm Lonely	The Intruders
Big Boss Man	Elvis Presley
I Can See For Miles	The Who
Pata Pata	Miriam Makeba
Stranded In The Middle Of Noplace	The Righteous Brothers
What've I Done (To Make You Mad)	Linda Jones
Hush	Billy Joe Royal
If This Is Love (I'd Rather Be Lonely)	The Precisions
You Mean The World To Me	David Houston
Spreadin' Honey	The Watts 103rd Street Rhythm Band
Dirty Man	Laura Lee
Karate-Boo-Ga-Loo	Jerryo
Kentucky Woman	Neil Diamond
Boogaloo Down Broadway	The Fantastic Johnny C
Dancing In The Street	Ramsey Lewis
Tell Him	Patti Drew
Nine Pound Steel	Joe Simon
You, No One But You	Frankie Laine
Lazy Day	Spanky And Our Gang
Heart Be Still	Lorraine Ellison
Go With Me	Gene And Debbe
Get Down	Harvey Scales
Peas 'N' Rice	Freddie McCoy
Beg, Borrow And Steal	Ohio Express
You Don't Know Me	Elvis Presley With The Jordanaires
Different Strokes	Syl Johnson
Give Everybody Some	The Bar-Kays
All Your Goodies Are Gone (The Loser's Seat)	The Parliaments
Lovey Dovey/You're So Fine	Bunny Sigler
Walkin' Proud	The Pete Klint Quintet
Shame On Me	Chuck Jackson
