Sherry	The 4 Seasons
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Ramblin' Rose	Nat King Cole
Let's Dance	Chris Montez
I Remember You	Frank Ifield
Green Onions	Booker T. & The MG's
Do You Love Me	The Contours
Patches	Dickey Lee
Alley Cat	Bent Fabric and His Piano
If I Had A Hammer (The Hammer Song)	Peter, Paul & Mary
He's A Rebel	The Crystals
Venus In Blue Jeans	Jimmy Clanton
Only Love Can Break A Heart	Gene Pitney
Surfin' Safari	The Beach Boys
You Beat Me To The Punch	Mary Wells
Sheila	Tommy Roe
Rain Rain Go Away	Bobby Vinton
What Kind Of Love Is This	Joey Dee & the Starliters
Lie To Me	Brook Benton
Punish Her	Bobby Vee
All Alone Am I	Brenda Lee
It Might As Well Rain Until September	Carole King
I Left My Heart In San Francisco	Tony Bennett
Popeye (The Hitchhiker)	Chubby Checker
Hully Gully Baby	The Dovells
Don't Go Near The Indians	Rex Allen
You Belong To Me	The Duprees
Torture	Kris Jensen
Teen Age Idol	Rick Nelson
What Kind Of Fool Am I	Sammy Davis Jr.
Gina	Johnny Mathis
Beechwood 4-5789	The Marvelettes
Limbo Rock	Chubby Checker
Little Black Book	Jimmy Dean
King Of The Whole Wide World	Elvis Presley With The Jordanaires
Hide & Go Seek, Part I	Bunker Hill
Close To Cathy	Mike Clifford
Stop The Music	The Shirelles
Warmed Over Kisses (Left Over Love)	Brian Hyland
Come On Little Angel	The Belmonts
Nothing Can Change This Love	Sam Cooke
A Wonderful Dream	The Majors
The Loco-Motion	Little Eva
Next Door To An Angel	Neil Sedaka
Rinky Dink	Baby Cortez
The Things We Did Last Summer	Shelley Fabares
Ten Lonely Guys	Pat Boone
Baby Face	Bobby Darin
You Can't Judge A Book By The Cover	Bo Diddley
No One Will Ever Know	Jimmie Rodgers
If A Man Answers	Bobby Darin
James (Hold The Ladder Steady)	Sue Thompson
Workin' For The Man	Roy Orbison
Stormy Monday Blues	Bobby Bland
Save All Your Lovin' For Me	Brenda Lee
Don't You Believe It	Andy Williams
Sweet Sixteen Bars	Earl Grant
If I Didn't Have A Dime (To Play The Jukebox)	Gene Pitney
A Taste Of Honey	Martin Denny and His Orchestra
Love Me Tender	Richard Chamberlain
Susie Darlin'	Tommy Roe
The Burning Of Atlanta	Claude King
Twistin' With Linda	The Isley Brothers
The Swiss Maid	Del Shannon
I Keep Forgettin'	Chuck Jackson
I'm Going Back To School	Dee Clark
What Time Is It?	The Jive Five With Eugene Pitts
...And Then There Were Drums	Sandy Nelson
The Cha-Cha-Cha	Bobby Rydell
He Thinks I Still Care	Connie Francis
Desafinado	Stan Getz/Charlie Byrd
Pop Pop Pop - Pie	The Sherrys
Second Fiddle Girl	Barbara Lynn
Léah	Roy Orbison
(Dance With The) Guitar Man	Duane Eddy and the Rebelettes
409	The Beach Boys
I've Got A Woman (Part I)	Jimmy McGriff
Next Door To The Blues	Etta James
You Can Run (But You Can't Hide)	Jerry Butler
I'll Bring It Home To You	Carla Thomas
Did You Ever See A Dream Walking	Fats Domino
Forever And A Day	Jackie Wilson
Lovers By Night, Strangers By Day	The Fleetwoods
I'm Here To Get My Baby Out Of Jail	The Everly Brothers
Mama Sang A Song	Stan Kenton
I Left My Heart In The Balcony	Linda Scott
Mr. Lonely	Buddy Greco
I Was Such A Fool (To Fall In Love With You)	Connie Francis
I've Been Everywhere	Hank Snow
You Can't Lie To A Liar	Ketty Lester
Don't Hang Up	The Orlons
I'll Remember Carol	Tommy Boyce
Happy Weekend	Dave "Baby" Cortez
Fools Rush In	Etta James
Further More	Ray Stevens
When The Boys Get Together	Joanie Sommers
Hail To The Conquering Hero	James Darren
Heartaches	Patsy Cline
Hully Gully Guitar	Jerry Reed And The Hully Girlies
I'm Gonna Change Everything	Jim Reeves
