Black Or White	Michael Jackson
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
All 4 Love	Color Me Badd
Can't Let Go	Mariah Carey
Set Adrift On Memory Bliss	P.M. Dawn
Finally	CeCe Peniston
When A Man Loves A Woman	Michael Bolton
2 Legit 2 Quit	M.C. Hammer
Blowing Kisses In The Wind	Paula Abdul
Wildside	Marky Mark & The Funky Bunch
Addams Groove	M.C. Hammer
Don't Let The Sun Go Down On Me	George Michael/Elton John
Smells Like Teen Spirit	Nirvana
No Son Of Mine	Genesis
Keep Coming Back	Richard Marx
That's What Love Is For	Amy Grant
I Love Your Smile	Shanice
O.P.P.	Naughty By Nature
Diamonds And Pearls	Prince And The N.P.G.
Don't Cry	Guns N' Roses
Mysterious Ways	U2
Live For Loving You	Gloria Estefan
Broken Arrow	Rod Stewart
Can't Stop This Thing We Started	Bryan Adams
Let's Talk About Sex	Salt-N-Pepa
Cream	Prince And The N.P.G.
The Way I Feel About You	Karyn White
Tell Me What You Want Me To Do	Tevin Campbell
Forever My Lady	Jodeci
Change	Lisa Stansfield
Set The Night To Music	Roberta Flack With Maxi Priest
Spending My Time	Roxette
Love Me All Up	Stacy Earl
Angel Baby	Angelica
Mind Playing Tricks On Me	Geto Boys
Keep It Comin'	Keith Sweat
Save Up All Your Tears	Cher
Emotions	Mariah Carey
I've Got A Lot To Learn About Love	The Storm
Home Sweet Home	Motley Crue
Is It Good To You	Heavy D & The Boyz
Tender Kisses	Tracie Spencer
Street Of Dreams	Nia Peeples
Enter Sandman	Metallica
In My Dreams	The Party
The Unforgiven	Metallica
Too Blind To See It	Kym Sims
I Can't Make You Love Me	Bonnie Raitt
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
I Wonder Why	Curtis Stigers
Housecall	Shabba Ranks (Featuring Maxi Priest)
Send Me An Angel	Scorpions
Hearts Don't Think (They Feel)	Natural Selection
Ain't Gonna Hurt Nobody	Kid 'N Play
Can't Truss It	Public Enemy
Top Of The World	Van Halen
Kiss You Back	Digital Underground
I Wanna Be Your Girl	Icy Blu
On A Sunday Afternoon	Lighter Shade Of Brown
All She Wrote	Firehouse
Shot Of Poison	Lita Ford
I'm Too Sexy	Right Said Fred
Uhh Ahh	Boyz II Men
Live And Let Die	Guns N' Roses
Just A Touch Of Love	C+C Music Factory Presents Zelma Davis
The Comfort Zone	Vanessa Williams
I Want You	Jody Watley
Whispers	Corina
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
There Will Never Be Another Tonight	Bryan Adams
No More Tears	Ozzy Osbourne
To Be With You	Mr. Big
A Day In My Life (Without You)	Lisette Melendez
In Paradise	Laissez Faire
I'll Get By	Eddie Money
Pop That Coochie	The 2 Live Crew
Groovy Train	The Farm
Stay	Jodeci
Insatiable	Prince And The N.P.G.
Within My Heart	Voyce
Every Road Leads Back To You	Bette Midler
Move Any Mountain	The Shamen
Conviction Of The Heart	Kenny Loggins
All Through The Night	Tone-Loc
Love Crazy	Atlantic Starr
Rush	Big Audio
Give It Away	Red Hot Chili Peppers
Get A Leg Up	John Mellencamp
Real Real Real	Jesus Jones
The Rush	Luther Vandross
The Fly	U2
Right Down To It	Damian Dame
Martika's Kitchen	Martika
Breakin' My Heart (Pretty Brown Eyes)	Mint Condition
Wasted Time	Skid Row
I'll Take You There	BeBe & CeCe Winans Featuring Mavis Staples
Hold On (Tighter To Love)	Clubland
Just Another Girlfriend	Hi-Five
She Ain't Pretty	The Northern Pikes
What Time Is Love?	The KLF
