Without You	Nilsson
Hurting Each Other	Carpenters
Precious And Few	Climax
Let's Stay Together	Al Green
Down By The Lazy River	The Osmonds
Joy	Apollo featuring Tom Parker
The Lion Sleeps Tonight	Robert John
Everything I Own	Bread
American Pie (Parts I & II)	Don McLean
Sweet Seasons	Carole King
Never Been To Spain	Three Dog Night
The Way Of Love	Cher
Heart Of Gold	Neil Young
Bang A Gong (Get It On)	T. Rex
Don't Say You Don't Remember	Beverly Bremers
My World	Bee Gees
Day After Day	Badfinger
Floy Joy	The Supremes
Anticipation	Carly Simon
Stay With Me	Faces
Black Dog	Led Zeppelin
Jungle Fever	The Chakachas
I Can't Help Myself (Sugar Pie, Honey Bunch)	Donnie Elbert
Brand New Key	Melanie
Ain't Understanding Mellow	Jerry Butler & Brenda Lee Eager
Clean Up Woman	Betty Wright
Mother And Child Reunion	Paul Simon
Fire And Water	Wilson Pickett
Footstompin' Music	Grand Funk Railroad
Softly Whispering I Love You	The English Congregation
I Gotcha	Joe Tex
Rock And Roll Lullaby	B.J. Thomas
We've Got To Get It On Again	Addrisi Brothers
Ring The Living Bell	Melanie
Runnin' Away	Sly & The Family Stone
The Nickel Song	Melanie
Feeling Alright	Joe Cocker
Talking Loud And Saying Nothing - Part I	James Brown
You Want It, You Got It	Detroit Emeralds
Kiss An Angel Good Mornin'	Charley Pride
Sunshine	Jonathan Edwards
That's The Way I Feel About Cha	Bobby Womack & Peace
The Witch Queen Of New Orleans	Redbone
Until It's Time For You To Go	Elvis Presley
No One To Depend On	Santana
Handbags And Gladrags	Rod Stewart
A Horse With No Name	America
Roundabout	Yes
Crazy Mama	J.J. Cale
Love Me, Love Me Love	Frank Mills
Now Run And Tell That	Denise LaSalle
Could It Be Forever	David Cassidy
Show Me How	The Emotions
Country Wine	The Raiders
Together Let's Find Love	The 5th Dimension
Brian's Song	Michel Legrand
Son Of Shaft	The Bar-Kays
Do The Funky Penguin Part I	Rufus Thomas
Glory Bound	The Grass Roots
Puppy Love	Donny Osmond
Iron Man	Black Sabbath
Every Day Of My Life	Bobby Vinton
Taurus	Dennis Coffey & The Detroit Guitar Band
In The Rain	The Dramatics
Slippin' Into Darkness	War
Diamonds Are Forever	Shirley Bassey
Gimme Some More	The JB's
That's What Love Will Make You Do	Little Milton
Do Your Thing	Isaac Hayes
Love Gonna Pack Up (And Walk Out)	The Persuaders
(Oh Lord Won't You Buy Me A) Mercedes Benz	Goose Creek Symphony
Keep Playin' That Rock 'N' Roll	Edgar Winter's White Trash
The Day I Found Myself	The Honey Cone
Goin' Down (On The Road To L.A.)	Terry Black & Laurel Ward
Standing In For Jody	Johnnie Taylor (The Soul Philosopher)
Mr. Penguin-Pt. I	Lunar Funk
Cheer	Potliquor
A Cowboys Work Is Never Done	Sonny & Cher
Betcha By Golly, Wow	The Stylistics Featuring Russell Thompkins,Jr.
Cry	Lynn Anderson
Step Out	The Mamas & The Papas
Do What You Set Out To Do	Bobby Bland
White Lies	Grin
What It Is	The Undisputed Truth
Afro-Strut	The Nite-Liters
Waking Up Alone	Paul Williams
(Love Me) Love The Life I Lead	The Fantastics
Nice To Be With You	Gallery
Living Without You	Manfred Mann's Earth Band
Up In Heah	Ike & Tina Turner
Together Again	Bobby Sherman
It's Four In The Morning	Faron Young
Tell 'Em Willie Boy 's A'Comin'	Tommy James
One Way Sunday	Mark-Almond
Keep On Doin' What You're Doin'	Bobby Byrd
Da Doo Ron Ron (When He Walked Me Home)	Ian Matthews
It's All Up To You	The Dells
You Got Me Walking	Jackie Wilson
Your Precious Love	Linda Jones
We're Together	The Hillside Singers
