Fantasy	Mariah Carey
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
Runaway	Janet Jackson
Kiss From A Rose	Seal
You Are Not Alone	Michael Jackson
Only Wanna Be With You	Hootie & The Blowfish
Waterfalls	TLC
As I Lay Me Down	Sophie B. Hawkins
Brokenhearted	Brandy
Tell Me	Groove Theory
Carnival	Natalie Merchant
Back For Good	Take That
Roll To Me	Del Amitri
I Can Love You Like That	All-4-One
Run-Around	Blues Traveler
I Got 5 On It	Luniz
I'll Be There For You/This House Is Not A Home	The Rembrandts
Who Can I Run To	Xscape
Name	Goo Goo Dolls
Do You Sleep?	Lisa Loeb & Nine Stories
Boombastic/In The Summertime	Shaggy
Colors Of The Wind (From "Pocahontas")	Vanessa Williams
He's Mine	MoKenStef
December	Collective Soul
I Hate U	Prince
1st Of Tha Month	Bone Thugs-N-Harmony
Sugar Hill	AZ
Don't Take It Personal (Just One Of Dem Days)	Monica
Breakfast At Tiffany's	Deep Blue Something
Let Me Be The One	Blessid Union Of Souls
'Til You Do Me Right	After 7
Pretty Girl	Jon B
Sentimental	Deborah Cox
Comedown	Bush
I'd Lie For You (And That's The Truth)	Meat Loaf
How High (From "The Show")	Redman/Method Man
Someone To Love	Jon B. Featuring Babyface
I Like It, I Love It	Tim McGraw
I Wish	Skee-Lo
Every Little Thing I Do	Soul For Real
One More Chance/Stay With Me	The Notorious B.I.G.
Can I Touch You...There?	Michael Bolton
Incarcerated Scarfaces/Ice Cream	Raekwon
Water Runs Dry	Boyz II Men
Throw Your Set In The Air	Cypress Hill
Feel The Funk (From "Dangerous Minds")	Immature
Let Her Cry	Hootie & The Blowfish
Anything	3T
Macarena (Bayside Boys Mix)	Los Del Rio
Heaven	Solo
Before You Walk Out Of My Life/Like This And Like That	Monica
Good	Better Than Ezra
Player's Anthem	Junior M.A.F.I.A.
Ain't Nuthin' But A She Thing	Salt-N-Pepa
I Wanna B With U	Fun Factory
Brown Sugar	D'Angelo
Downtown Venus	P.M. Dawn
Summertime In The LBC (From "The Show")	The Dove Shack
You Used To Love Me	Faith Evans
Vibin'	Boyz II Men
Freek'n You	Jodeci
Missing	Everything But The Girl
Cell Therapy	Goodie Mob
MC's Act Like They Don't Know	KRS-One
A Mover La Colita	Artie The 1 Man Party
Somethin' 4 Da Honeyz	Montell Jordan
Automatic Lover (Call For Love)	Real McCoy
Danger	Blahzay Blahzay
Come And Get Your Love	Real McCoy
Hook	Blues Traveler
Come With Me	Shai
Boom Boom Boom	The Outhere Brothers
Real Hip Hop	Das EFX
Crazy Cool	Paula Abdul
Scatman (Ski-Ba-Bop-Ba-Dop-Bop)	Scatman John
Runaway	The Corrs
Jeeps, Lex Coups, Bimaz & Benz	Lost Boyz
Magic Carpet Ride	The Mighty Dub Katz
Molly (Sixteen Candles)	Sponge
Already Missing You	Gerald Levert & Eddie Levert, Sr.
Runnin'	The Pharcyde
Can't Cry Anymore	Sheryl Crow
Temptations	2Pac
Set U Free	Planet Soul
Solitude	Edwin McCain
The Bomb! (These Sounds Fall Into My Mind)	The Bucketheads
I Love You/You Bring Me Joy	Mary J. Blige
West Up!	WC & The Maad Circle
Tonight's The Night	BLACKstreet
This Ain't A Love Song	Bon Jovi
Forever Tonight	Peter Cetera & Crystal Bernard
Feel Me Flow	Naughty By Nature
One Boy, One Girl	Collin Raye
Walk In The Sun	Bruce Hornsby
Lie To Me/Something For The Pain	Bon Jovi
Feels So Good	Xscape
Somebody's Crying	Chris Isaak
The Hearts Filthy Lesson	David Bowie
Sittin' On Chrome	Masta Ace Incorporated
Rock And Roll Is Dead	Lenny Kravitz
