El Paso	Marty Robbins
Why	Frankie Avalon
The Big Hurt	Miss Toni Fisher
Running Bear	Johnny Preston
Way Down Yonder In New Orleans	Freddie Cannon
Heartaches By The Number	Guy Mitchell
It's Time To Cry	Paul Anka
Among My Souvenirs	Connie Francis
Pretty Blue Eyes	Steve Lawrence
Go, Jimmy, Go	Jimmy Clanton
We Got Love	Bobby Rydell
Mack The Knife	Bobby Darin
The Village Of St. Bernadette	Andy Williams
Uh! Oh! Part 2	The Nutty Squirrels
Sandy	Larry Hall
Hound Dog Man	Fabian
Scarlet Ribbons (For Her Hair)	The Browns
Smokie - Part 2	Bill Black's Combo
Not One Minute More	Della Reese
This Friendly World	Fabian
In The Mood	Ernie Fields & Orch.
The Little Drummer Boy	The Harry Simeone Chorale
You Got What It Takes	Marv Johnson
First Name Initial	Annette With The Afterbeats
So Many Ways	Brook Benton
Oh! Carol	Neil Sedaka
Be My Guest	Fats Domino
Tear Drop	Santo & Johnny
Teen Angel	Mark Dinning
Come Into My Heart	Lloyd Price and His Orchestra
Mr. Blue	The Fleetwoods
I Wanna Be Loved	Ricky Nelson
Danny Boy	Conway Twitty
Don't You Know	Della Reese
Talk That Talk	Jackie Wilson
Marina	Rocco Granata and the International Quintet
Just Come Home	Hugo & Luigi
How About That	Dee Clark
Swingin' On A Rainbow	Frankie Avalon
Misty	Johnny Mathis
He'll Have To Go	Jim Reeves
Believe Me	Royal Teens
Dance With Me	The Drifters
Just As Much As Ever	Bob Beckham
The Happy Reindeer	Dancer, Prancer And Nervous
Bonnie Came Back	Duane Eddy His Twangy Guitar And The Rebels
(New In) The Ways Of Love	Tommy Edwards
If I Had A Girl	Rod Lauren
Mighty Good	Ricky Nelson
What About Us	The Coasters
Where Or When	Dion & The Belmonts
The Clouds	The Spacemen
Mary Don't You Weep	Stonewall Jackson
Marina	Willy Alberti
(If You Cry) True Love, True Love	The Drifters
No Love Have I	Webb Pierce
Reveille Rock	Johnny And The Hurricanes
Uh! Oh! Part 1	The Nutty Squirrels
Always	Sammy Turner
Shimmy, Shimmy, Ko-Ko-Bop	Little Anthony And The Imperials
The Chipmunk Song (Christmas Don't Be Late)	David Seville And The Chipmunks
Down By The Station	The Four Preps
A Year Ago Tonight	The Crests
Honey Hush	Joe Turner
Lonely Blue Boy	Conway Twitty
Wont'cha Come Home	Lloyd Price and His Orchestra
Handy Man	Jimmy Jones
Crazy Arms	Bob Beckham
High School U.S.A.	Tommy Facenda
Lucky Devil	Carl Dobkins, Jr.
Let's Try Again	Clyde McPhatter
Baciare Baciare (Kissing Kissing)	Dorothy Collins
(Seven Little Girls) Sitting In The Back Seat	Paul Evans and the Curls
Primrose Lane	Jerry Wallace With The Jewels
This Time Of The Year	Brook Benton
Love Potion No. 9	The Clovers
Climb Ev'ry Mountain	Tony Bennett
Skokiaan (South African Song)	Bill Haley And His Comets
Sweet Nothin's	Brenda Lee
Run Red Run	The Coasters
Promise Me A Rose (A Slight Detail)	Anita Bryant
Rockin' Little Angel	Ray Smith
I'm Movin' On	Ray Charles and his Orchestra
Tracy's Theme	Spencer Ross
The Little Drummer Boy	Johnny Cash
Little Things Mean A Lot	Joni James
Riverboat	Faron Young
Harlem Nocturne	The Viscounts
God Bless America	Connie Francis
The Sound Of Music	Patti Page
I Don't Know What It Is	The Bluenotes
Darling Lorraine	The Knockouts
In The Still Of The Nite	The Five Satins
Do-Re-Mi	Mitch Miller
Little Coco Palm	Jerry Wallace
Deck Of Cards	Wink Martindale
One Mint Julep	Chet Atkins
Happy Anniversary	Jane Morgan
Smokie-Part 2	Bill Doggett
One More Chance	Rod Bernard
