Physical	Olivia Newton-John
Waiting For A Girl Like You	Foreigner
Let's Groove	Earth, Wind & Fire
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Young Turks	Rod Stewart
Harden My Heart	Quarterflash
Why Do Fools Fall In Love	Diana Ross
Leather And Lace	Stevie Nicks With Don Henley
Don't Stop Believin'	Journey
Trouble	Lindsey Buckingham
Centerfold	The J. Geils Band
Yesterday's Songs	Neil Diamond
Comin' In And Out Of Your Life	Barbra Streisand
Turn Your Love Around	George Benson
The Sweetest Thing (I've Ever Known)	Juice Newton
Hooked On Classics	Royal Philharmonic Orchestra
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
Cool Night	Paul Davis
Oh No	Commodores
Every Little Thing She Does Is Magic	The Police
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Here I Am (Just When I Thought I Was Over You)	Air Supply
I Wouldn't Have Missed It For The World	Ronnie Milsap
Shake It Up	The Cars
Steal The Night	Stevie Woods
Waiting On A Friend	The Rolling Stones
Our Lips Are Sealed	Go-Go's
She's Got A Way	Billy Joel
My Girl (Gone, Gone, Gone)	Chilliwack
Come Go With Me	The Beach Boys
Under Pressure	Queen & David Bowie
You Could Have Been With Me	Sheena Easton
Leader Of The Band	Dan Fogelberg
Heart Like A Wheel	The Steve Miller Band
Take It Easy On Me	Little River Band
Castles In The Air	Don McLean
More Than Just The Two Of Us	Sneaker
Private Eyes	Daryl Hall John Oates
Start Me Up	The Rolling Stones
Love Is Alright Tonite	Rick Springfield
Working For The Weekend	Loverboy
Sweet Dreams	Air Supply
The Old Songs	Barry Manilow
Love In The First Degree	Alabama
Arthur's Theme (Best That You Can Do)	Christopher Cross
If I Were You	Lulu
Key Largo	Bertie Higgins
Let Me Love You Once	Greg Lake
No Reply At All	Genesis
Never Too Much	Luther Vandross
My Kinda Lover	Billy Squier
Wrack My Brain	Ringo Starr
Tryin' To Live My Life Without You	Bob Seger
All Our Tomorrows	Eddie Schwartz
Poor Man's Son	Survivor
Breakin' Away	Al Jarreau
The Theme From Hill Street Blues	Mike Post featuring Larry Carlton
Little Darlin'	Sheila
Falling In Love	Balance
Could It Be Love	Jennifer Warnes
Sea Of Love	Del Shannon
Living Eyes	Bee Gees
Somewhere Down The Road	Barry Manilow
Anyone Can See	Irene Cara
Wkrp In Cincinnati	Steve Carlisle
Just Once	Quincy Jones Featuring James Ingram
Feel Like A Number	Bob Seger & The Silver Bullet Band
Keeping Our Love Alive	Henry Paul Band
I've Done Everything For You	Rick Springfield
Closer To The Heart	Rush
Abacab	Genesis
Those Good Old Dreams	Carpenters
One Hundred Ways	Quincy Jones Featuring James Ingram
The Night Owls	Little River Band
Every Home Should Have One	Patti Austin
The Woman In Me	Crystal Gayle
Love Is Like A Rock	Donnie Iris
A World Without Heroes	KISS
When She Was My Girl	Four Tops
Southern Pacific	Neil Young / Crazy Horse
Sausalito Summernight	Diesel
Through The Years	Kenny Rogers
Crazy (Keep On Falling)	The John Hall Band
Runaway Rita	Leif Garrett
Tonight Tonight	Bill Champlin
We're In This Love Together	Al Jarreau
She's A Bad Mama Jama (She's Built, She's Stacked)	Carl Carlton
Chariots Of Fire - Titles	Vangelis
Blaze Of Glory	Kenny Rogers
For Your Eyes Only	Sheena Easton
Can't Hold Back (Your Loving)	Kano
It's My Party	Dave Stewart and Barbara Gaskin
Better Things	The Kinks
Super Freak (Part I)	Rick James
Endless Love	Diana Ross & Lionel Richie
Hard To Say	Dan Fogelberg
Controversy	Prince
I Want You, I Need You	Chris Christian
Twilight	Electric Light Orchestra
Sharing The Love	Rufus With Chaka Khan
