Down Under	Men At Work
Africa	Toto
Sexual Healing	Marvin Gaye
Dirty Laundry	Don Henley
The Girl Is Mine	Michael Jackson And Paul McCartney
Maneater	Daryl Hall John Oates
Baby, Come To Me	Patti Austin A Duet With James Ingram
Rock The Casbah	The Clash
Shame On The Moon	Bob Seger & The Silver Bullet Band
You And I	Eddie Rabbitt With Crystal Gayle
You Can't Hurry Love	Phil Collins
The Other Guy	Little River Band
Mickey	Toni Basil
Goody Two Shoes	Adam Ant
Heart To Heart	Kenny Loggins
Stray Cat Strut	Stray Cats
Pass The Dutchie	Musical Youth
Allentown	Billy Joel
Hand To Hold On To	John Cougar
You Got Lucky	Tom Petty And The Heartbreakers
Your Love Is Driving Me Crazy	Sammy Hagar
Love In Store	Fleetwood Mac
All Right	Christopher Cross
Do You Really Want To Hurt Me	Culture Club
Heart Of The Night	Juice Newton
Heartbreaker	Dionne Warwick
Hungry Like The Wolf	Duran Duran
You Are	Lionel Richie
Shock The Monkey	Peter Gabriel
What About Me	Moving Pictures
Space Age Love Song	A Flock Of Seagulls
Back On The Chain Gang	Pretenders
Twilight Zone	Golden Earring
Gloria	Laura Branigan
Bad Boy	Ray Parker Jr.
We've Got Tonight	Kenny Rogers And Sheena Easton
Billie Jean	Michael Jackson
I Knew You When	Linda Ronstadt
On The Loose	Saga
Put It In A Magazine	Sonny Charles
All Those Lies	Glenn Frey
The Woman In Me	Donna Summer
The Look Of Love (Part One)	ABC
I Do	The J. Geils Band
Breaking Us In Two	Joe Jackson
I Know There's Something Going On	Frida
The Clapping Song	Pia Zadora
After I Cry Tonight	Lanier & Co.
I'm Alive	Neil Diamond
Steppin' Out	Joe Jackson
One On One	Daryl Hall John Oates
Tied Up	Olivia Newton-John
Dreamin' Is Easy	Steel Breeze
Fall In Love With Me	Earth, Wind & Fire
Two Less Lonely People In The World	Air Supply
My Kind Of Lady	Supertramp Featuring Rick Davies
Are You Serious	Tyrone Davis
All Touch	Rough Trade
Shoot For The Moon	Poco
Memory	Barry Manilow
I've Got A Rock N' Roll Heart	Eric Clapton
Don't Tell Me You Love Me	Night Ranger
Forever	Little Steven
Burning Heart	Vandenberg
The Blues	Randy Newman & Paul Simon
I Can't Stand Still	Don Henley
Got To Be There	Chaka Khan
Right Before Your Eyes	America
Come On Eileen	Dexys Midnight Runners
Winds Of Change	Jefferson Starship
What If (I Said I Love You)	Unipop
Poison Arrow	ABC
Betcha She Don't Love You	Evelyn King
Lies	Thompson Twins
Windows	Missing Persons
Still Taking Chances	Michael Murphey
Jeopardy	Greg Kihn Band
It's Raining Men	The Weather Girls
Love Me Again	The John Hall Band
The One That Really Matters	Survivor
What You're Missing	Chicago
Feet Don't Fail Me Now	Utopia
Always	Firefall
Little Thing Called Love	Neil Young
Rock This Town	Stray Cats
New Frontier	Donald Fagen
Truly	Lionel Richie
Let's Go Dancin' (ooh La, La, La)	Kool & The Gang
Too Much Love To Hide	Crosby, Stills & Nash
It Might Be You	Stephen Bishop
A Penny For Your Thoughts	Tavares
Papa Was A Rollin' Stone	Wolf
Give It Up	The Steve Miller Band
Does It Make You Remember	Kim Carnes
Are You Getting Enough Happiness	Hot Chocolate
Funny How Time Slips Away	The Spinners
Eminence Front	The Who
Industrial Disease	Dire Straits
Shadows Of The Night	Pat Benatar
Psychobabble	The Alan Parsons Project
