Brown Sugar	The Rolling Stones
Joy To The World	Three Dog Night
Want Ads	The Honey Cone
It Don't Come Easy	Ringo Starr
Rainy Days And Mondays	Carpenters
Bridge Over Troubled Water/Brand New Me	Aretha Franklin
Sweet And Innocent	Donny Osmond of The Osmonds
Never Can Say Goodbye	Jackson 5
It's Too Late/I Feel The Earth Move	Carole King
Me And You And A Dog Named Boo	Lobo
I'll Meet You Halfway	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Put Your Hand In The Hand	Ocean
I Don't Know How To Love Him	Helen Reddy
Superstar	Murray Head With The Trinidad Singers
Treat Her Like A Lady	Cornelius Brothers & Sister Rose
Here Comes The Sun	Richie Havens
Chick-A-Boom (Don't Ya Jes' Love It)	Daddy Dewdrop
If	Bread
Love Her Madly	The Doors
Don't Knock My Love - Pt. 1	Wilson Pickett
Nathan Jones	The Supremes
Double Lovin'	The Osmonds
Right On The Tip Of My Tongue	Brenda & The Tabulations
Stay Awhile	The Bells
Indian Reservation (The Lament Of The Cherokee Reservation Indian)	The Raiders
(For God's Sake) Give More Power To The People	The Chi-lites
Woodstock	Matthews' Southern Comfort
When You're Hot, You're Hot	Jerry Reed
The Drum	Bobby Sherman
Cool Aid	Paul Humphrey & His Cool Aid Chemists
I Don't Know How To Love Him	Yvonne Elliman
Timothy	The Buoys
I Love You For All Seasons	The Fuzz
Toast And Marmalade For Tea	Tin Tin
That's The Way I've Always Heard It Should Be	Carly Simon
She's Not Just Another Woman	The 8th Day
Lowdown	Chicago
I Don't Blame You At All	Smokey Robinson & The Miracles
Reach Out I'll Be There	Diana Ross
Funky Nassau-Part I	The Beginning Of The End
Albert Flasher/Broken	The Guess Who
Puppet Man/Resurrection Shuffle	Tom Jones
Me And My Arrow	Nilsson
Cry Baby	Janis Joplin
Never Can Say Goodbye	Isaac Hayes
I Won't Mention It Again	Ray Price
Don't Pull Your Love	Hamilton, Joe Frank & Reynolds
High Time We Went/Black-Eyed Blues	Joe Cocker
13 Questions	Seatrain
I Cried	James Brown
Light Sings	The 5th Dimension
Booty Butt	The Ray Charles Orchestra
Ajax Liquor Store	Hudson and Landry
L.A. International Airport	Susan Raye
House At Pooh Corner	Nitty Gritty Dirt Band
Spinning Around (I Must Be Falling In Love)	The Main Ingredient
Life/Only Believe	Elvis Presley
Here Comes That Rainy Day Feeling Again	The Fortunes
Melting Pot	Booker T. & The MG's
Tarkio Road	Brewer And Shipley
The Court Room	Clarence Carter
Take Me Home, Country Roads	John Denver
Feelin' Alright	Grand Funk Railroad
Mr. Big Stuff	Jean Knight
Ooh Poo Pah Doo	Ike & Tina Turner
Bring The Boys Home	Freda Payne
Brownsville	Joy Of Cooking
Bad Water	The Raeletts
Help Me Make It Through The Night	Joe Simon
Can't Find The Time	Rose Colored Glass
You're My Man	Lynn Anderson
Hot Love	T. Rex
Your Love (Means Everything to Me)	Charles Wright And The Watts 103rd Street Rhythm Band
What You See Is What You Get	Stoney & Meatloaf
Wholesale Love	Buddy Miles
Get It On	Chase
Sooner Or Later	The Grass Roots
I Am...I Said/Done Too Soon	Neil Diamond
Chicago	Graham Nash
You've Got A Friend	James Taylor
I Know I'm In Love	Chee-Chee & Peppy
Flim Flam Man	Barbra Streisand
And I Love You So	Bobby Goldsboro
Never Ending Song Of Love	Delaney & Bonnie & Friends
Follow Me	Mary Travers
I Don't Wanna Lose You	Johnnie Taylor
Walk Away	The James Gang
Signs	Five Man Electrical Band
If Not For You	Olivia Newton-John
It's So Hard For Me To Say Good-Bye	Eddie Kendricks
I Don't Want To Do Wrong	Gladys Knight And The Pips
Love Means (You Never Have To Say You're Sorry)	Sounds Of Sunshine
Your Love Is So Doggone Good	The Whispers
California Earthquake	Norman Greenbaum
I've Found Someone Of My Own	The Free Movement
Mandrill	Mandrill
Love's Made A Fool Of You	Cochise
Call Me Up In Dreamland	Van Morrison
Stop, Look, Listen (To Your Heart)	The Stylistics
You Gotta Have Love In Your Heart	The Supremes & Four Tops
