Informer	Snow
Nuthin' But A "G" Thang	Dr. Dre
Freak Me	Silk
A Whole New World (Aladdin's Theme)	Peabo Bryson & Regina Belle
I'm Every Woman (From "The Bodyguard")	Whitney Houston
Ordinary World	Duran Duran
Don't Walk Away	Jade
Mr. Wendal	Arrested Development
I Have Nothing	Whitney Houston
Bed Of Roses	Bon Jovi
I Will Always Love You	Whitney Houston
Hip Hop Hooray	Naughty By Nature
Comforter	Shai
I Got A Man	Positive K
Two Princes	Spin Doctors
The Right Kind Of Love (From "Beverly Hills, 90210")	Jeremy Jordan
Cat's In The Cradle	Ugly Kid Joe
Forever In Love	Kenny G
That's What Love Can Do	Boy Krazy
7	Prince And The New Power Generation
Here We Go Again!	Portrait
Ditty	Paperboy
I'm So Into You	SWV
Get Away	Bobby Brown
Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight
Rebirth Of Slick (Cool Like Dat)	Digable Planets
Heal The World	Michael Jackson
Angel	Jon Secada
Sweet Thing	Mary J. Blige
Hat 2 Da Back	TLC
Saving Forever For You (From "Beverly Hills, 90210")	Shanice
If I Ever Fall In Love	Shai
Man On The Moon	R.E.M.
Rhythm Is A Dancer	Snap!
If I Ever Lose My Faith In You	Sting
Rump Shaker	Wreckx-N-Effect
In The Still Of The Nite (From "The Jacksons")	Boyz II Men
It Was A Good Day	Ice Cube
Bad Girl	Madonna
Nothin' My Love Can't Fix	Joey Lawrence
Do You Believe In Us	Jon Secada
I Feel You	Depeche Mode
Give It Up, Turn It Loose	En Vogue
Dazzey Duks	Duice
Good Enough	Bobby Brown
So Alone	Men At Large
I'd Die Without You (From "Boomerang")	P.M. Dawn
I'm Gonna Get You	Bizarre Inc
Real Love	Mary J. Blige
Simple Life	Elton John
Supermodel (You Better Work)	RuPaul
Little Bird	Annie Lennox
Everything's Gonna Be Alright	Father M.C.
I See Your Smile	Gloria Estefan
Looking Through Patient Eyes	P.M. Dawn
When She Cries	Restless Heart
The Crying Game (From "The Crying Game")	Boy George
Walk On The Ocean	Toad The Wet Sprocket
Beautiful Girl	INXS
Faithful	Go West
No Mistakes	Patty Smyth
Love U More	Sunscreem
Stand	Poison
Tell The Truth	Jude Cole
Passionate Kisses	Mary Chapin Carpenter
Dedicated	R. Kelly & Public Announcement
Down With The King	Run-D.M.C.
Murder She Wrote	Chaka Demus & Pliers
Tap The Bottle	Young Black Teenagers
I Got A Thang 4 Ya!	Lo-Key?
Come In Out Of The Rain	Wendy Moten
Never A Time	Genesis
Homies	Lighter Shade Of Brown
Shoop Shoop (Never Stop Givin' You Love)	Michael Cooper
Quality Time	Hi-Five
Love Shoulda Brought You Home (From "Boomerang")	Toni Braxton
Easy	Faith No More
She's Not Cryin' Anymore	Billy Ray Cyrus
Steam	Peter Gabriel
Romeo	Dolly Parton & Friends
Candy Everybody Wants	10,000 Maniacs
Deeper And Deeper	Madonna
Understand This Groove	Sound Factory
Knock-N-Boots	Wreckx-N-Effect
What You Won't Do For Love	Go West
Who Got The Props	Black Moon
Hope Of Deliverance	Paul McCartney
Gangsta Bitch	Apache
Born 2 B.R.E.E.D.	Monie Love
Somebody Love Me	Michael W. Smith
Reminisce	Mary J. Blige
Kiss Of Life	Sade
Save Your Love	Bad Boys Blue
Good Ol' Days	Levert
No Ordinary Love	Sade
Give It To You	Martha Wash
Speed	Alpha Team
I Love You Period	Dan Baird
Stand Up (Kick Love Into Motion)	Def Leppard
Love Me The Right Way	Rapination & Kym Mazelle
