Silly Love Songs	Wings
Love Hangover	Diana Ross
Fooled Around And Fell In Love	Elvin Bishop
Boogie Fever	The Sylvers
Get Up And Boogie (That's Right)	Silver Convention
Welcome Back	John Sebastian
Happy Days	Pratt & McClain with Brother Love
Misty Blue	Dorothy Moore
Shannon	Henry Gross
Tryin' To Get The Feeling Again	Barry Manilow
Sara Smile	Daryl Hall John Oates
Fool To Cry	The Rolling Stones
Rhiannon (Will You Ever Win)	Fleetwood Mac
Strange Magic	Electric Light Orchestra
Right Back Where We Started From	Maxine Nightingale
Show Me The Way	Peter Frampton
Shop Around	Captain & Tennille
Love In The Shadows	Neil Sedaka
Happy Music	The Blackbyrds
Young Blood	Bad Company
More, More, More Pt. 1	Andrea True Connection
Love Really Hurts Without You	Billy Ocean
Let Your Love Flow	Bellamy Brothers
Union Man	Cate Bros.
Movin'	Brass Construction
Disco Lady	Johnnie Taylor
Bohemian Rhapsody	Queen
I Want You	Marvin Gaye
I've Got A Feeling (We'll Be Seeing Each Other Again)	Al Wilson
Hurt/for The Heart	Elvis Presley
Baretta's Theme ("Keep Your Eye On The Sparrow")	Rhythm Heritage
Takin' It To The Streets	The Doobie Brothers
One Piece At A Time	Johnny Cash And The Tennessee Three
Love Is Alive	Gary Wright
I.O.U.	Jimmy Dean
Come On Over	Olivia Newton-John
Rock And Roll Love Letter	Bay City Rollers
I'll Be Good To You	The Brothers Johnson
It's Over	Boz Scaggs
Never Gonna Fall In Love Again	Eric Carmen
Kiss And Say Goodbye	The Manhattans
Don't Stop It Now	Hot Chocolate
Crazy On You	Heart
Moonlight Feels Right	Starbuck
Still Crazy After All These Years	Paul Simon
Sweet Love	Commodores
Don't Pull Your Love/then You Can Tell Me Goodbye	Glen Campbell
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Falling Apart At The Seams	Marmalade
Anytime (i'll Be There)	Paul Anka
December, 1963 (Oh, What a Night)	The 4 Seasons
Could It Be Magic	Donna Summer
Dance Wit Me	Rufus Featuring Chaka Khan
I Do, I Do, I Do, I Do, I Do	ABBA
Only Sixteen	Dr. Hook
Take The Money And Run	Steve Miller
That's Where The Happy People Go	The Trammps
Thinking Of You	Paul Davis
Turn The Beat Around	Vicki Sue Robinson
It Makes Me Giggle	John Denver
Bigfoot	Bro Smith
Sixteen Tons	The Don Harrison Band
Yes, Yes, Yes	Bill Cosby
The Boys Are Back In Town	Thin Lizzy
Lookin' Out For #1	Bachman-Turner Overdrive
Afternoon Delight	Starland Vocal Band
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
Making Our Dreams Come True	Cyndi Grecco
Today's The Day	America
Fallen Angel	Frankie Valli
Better Days	Melissa Manchester
It's Cool	The Tymes
Let Her In	John Travolta
I'm Easy	Keith Carradine
Save Your Kisses For Me	Brotherhood Of Man
Lonely Night (angel Face)	Captain & Tennille
Let It Shine	Santana
You're My Best Friend	Queen
TVC15	David Bowie
You're My Everything	Lee Garrett
Everything That 'Cha Do (Will Come Back To You)	Wet Willie
Lonely Teardrops	Narvel Felts
Mamma Mia	ABBA
'til I Can Make It On My Own	Tammy Wynette
It Should Have Been Me	Yvonne Fair
High Out Of Time	Carole King
You Got The Magic	John Fogerty
I Wanna Stay With You	Gallagher And Lyle
Foxy Lady	Crown Heights Affair
Music	John Miles
This Is It	Melba Moore
Open	Smokey Robinson
There's A Kind Of Hush (All Over The World)	Carpenters
Livin' For The Weekend	The O'Jays
Sweet Thing	Rufus Featuring Chaka Khan
Shout It Out Loud	KISS
Dream On	Aerosmith
Can't Hide Love	Earth, Wind & Fire
Where Did Our Love Go	The J. Geils Band
Take It To The Limit	Eagles
