Smooth	Santana Featuring Rob Thomas
Satisfy You	Puff Daddy Featuring R. Kelly
Heartbreaker	Mariah Carey Featuring Jay-Z
Mambo No. 5 (A Little Bit Of...)	Lou Bega
Unpretty	TLC
I Need To Know	Marc Anthony
My Love Is Your Love	Whitney Houston
Back At One	Brian McKnight
We Can't Be Friends	Deborah Cox With R.L.
Steal My Sunshine	Len
Someday	Sugar Ray
Scar Tissue	Red Hot Chili Peppers
Music Of My Heart	'N Sync & Gloria Estefan
(You Drive Me) Crazy	Britney Spears
Genie In A Bottle	Christina Aguilera
Where My Girls At?	702
I Do (Cherish You)	98 Degrees
Get Gone	Ideal
Waiting For Tonight	Jennifer Lopez
U Know What's Up	Donell Jones
She's All I Ever Had	Ricky Martin
All Star	Smash Mouth
Back That Thang Up	Juvenile Featuring Mannie Fresh & Lil' Wayne
If I Could Turn Back The Hands Of Time	R. Kelly
I Wanna Love You Forever	Jessica Simpson
I Love You	Martina McBride
Black Balloon	Goo Goo Dolls
I Want It All	Warren G Featuring Mack 10
Larger Than Life	Backstreet Boys
Vivrant Thing	Q-Tip
Man! I Feel Like A Woman!	Shania Twain
There She Goes	Sixpence None The Richer
She's So High	Tal Bachman
Gotta Man	Eve
Bailamos	Enrique Iglesias
Something Like That	Tim McGraw
I Want It That Way	Backstreet Boys
Bug A Boo	Destiny's Child
Spend My Life With You	Eric Benet Featuring Tamia
Stay The Night	IMx
Bling Bling	B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne
I'm Already Taken	Steve Wariner
I Knew I Loved You	Savage Garden
Candy	Mandy Moore
What Do You Say To That	George Strait
Lonely And Gone	Montgomery Gentry
Will 2K	Will Smith Featuring K-Ci
Meet Virginia	Train
American Woman	Lenny Kravitz
Bring It All To Me	Blaque
Big Deal	LeAnn Rimes
When I Said I Do	Clint Black
Home To You	John Michael Montgomery
So Anxious	Ginuwine
15 Minutes	Marc Nelson
Higher	Creed
Out Of My Head	Fastball
If You Love Me	Mint Condition
Then The Morning Comes	Smash Mouth
Angels Would Fall	Melissa Etheridge
Come On Over	Shania Twain
He Didn't Have To Be	Brad Paisley
Learn To Fly	Foo Fighters
Ready To Run	Dixie Chicks
I'll Go Crazy	Andy Griggs
All Things Considered	Yankee Grey
What's My Age Again?	Blink-182
4, 5, 6	Sole Featuring JT Money & Kandi
Never Gonna Let You Go	Faith Evans
Got Your Money	Ol' Dirty Bastard Featuring Kelis
Lost In You	Garth Brooks as Chris Gaines
Get It On Tonite	Montell Jordan
The Greatest Romance Ever Sold	Prince
The Chemicals Between Us	Bush
Girls' Best Friend	JAY-Z
What Do You Say	Reba
She's In Love	Mark Wills
The Dolphin's Cry	Live
You Had Me From Hello	Kenny Chesney
Guerrilla Radio	Rage Against The Machine
Breathe	Faith Hill
Cowboy	Kid Rock
24/7	Kevon Edmonds
Hanginaround	Counting Crows
U Don't Know Me (Like U Used To)	Brandy
B-Please	Snoop Dogg Featuring Xzibit & Nate Dogg
I Could Not Ask For More	Edwin McCain
Lightning Does The Work	Chad Brock
You'll Be In My Heart	Phil Collins
Give You What You Want (Fa Sure)	Chico DeBarge
What Ya Want	EVE & Nokio
Beauty	Dru Hill
Steam	Ty Herndon
The Rockafeller Skank	Fatboy Slim
Meeting In My Bedroom	Silk
Jigga My N****	JAY-Z
Summer Girls	LFO
Sexual (Li Da Di)	Amber
Simon Says	Pharoahe Monch
It's All About You (Not About Me)	Tracie Spencer
