Black Or White	Michael Jackson
It's So Hard To Say Goodbye To Yesterday	Boyz II Men
Set Adrift On Memory Bliss	P.M. Dawn
When A Man Loves A Woman	Michael Bolton
All 4 Love	Color Me Badd
Blowing Kisses In The Wind	Paula Abdul
Can't Let Go	Mariah Carey
Finally	CeCe Peniston
That's What Love Is For	Amy Grant
Wildside	Marky Mark & The Funky Bunch
2 Legit 2 Quit	M.C. Hammer
Cream	Prince And The N.P.G.
Keep Coming Back	Richard Marx
O.P.P.	Naughty By Nature
Let's Talk About Sex	Salt-N-Pepa
Don't Cry	Guns N' Roses
No Son Of Mine	Genesis
Can't Stop This Thing We Started	Bryan Adams
Do Anything	Natural Selection
Set The Night To Music	Roberta Flack With Maxi Priest
Street Of Dreams	Nia Peeples
Live For Loving You	Gloria Estefan
Smells Like Teen Spirit	Nirvana
Romantic	Karyn White
Forever My Lady	Jodeci
Broken Arrow	Rod Stewart
Hole Hearted	Extreme
Emotions	Mariah Carey
I Love Your Smile	Shanice
Angel Baby	Angelica
Change	Lisa Stansfield
Mind Playing Tricks On Me	Geto Boys
Mysterious Ways	U2
Don't Let The Sun Go Down On Me	George Michael/Elton John
Spending My Time	Roxette
Addams Groove	M.C. Hammer
Tell Me What You Want Me To Do	Tevin Campbell
I Wonder Why	Curtis Stigers
Running Back To You	Vanessa Williams
Enter Sandman	Metallica
Top Of The World	Van Halen
Love Me All Up	Stacy Earl
The Way I Feel About You	Karyn White
Housecall	Shabba Ranks (Featuring Maxi Priest)
Tender Kisses	Tracie Spencer
Save Up All Your Tears	Cher
Home Sweet Home	Motley Crue
Ring My Bell	D.J. Jazzy Jeff & The Fresh Prince
Diamonds And Pearls	Prince And The N.P.G.
Is It Good To You	Heavy D & The Boyz
The One And Only	Chesney Hawkes
Too Blind To See It	Kym Sims
Keep It Comin'	Keith Sweat
Can't Truss It	Public Enemy
I've Got A Lot To Learn About Love	The Storm
The Unforgiven	Metallica
Shot Of Poison	Lita Ford
Don't Want To Be A Fool	Luther Vandross
Groovy Train	The Farm
Send Me An Angel	Scorpions
Ain't Gonna Hurt Nobody	Kid 'N Play
In My Dreams	The Party
Kiss You Back	Digital Underground
Just A Touch Of Love	C+C Music Factory Presents Zelma Davis
On A Sunday Afternoon	Lighter Shade Of Brown
I Wanna Be Your Girl	Icy Blu
I Can't Make You Love Me	Bonnie Raitt
All She Wrote	Firehouse
Just Want To Hold You	Jasmine Guy
A Day In My Life (Without You)	Lisette Melendez
Ain't No Future In Yo' Fronting	M.C. Breed & D.F.C.
Hearts Don't Think (They Feel)	Natural Selection
I Want You	Jody Watley
Pop That Coochie	The 2 Live Crew
Get A Leg Up	John Mellencamp
No More Tears	Ozzy Osbourne
The Comfort Zone	Vanessa Williams
Love Crazy	Atlantic Starr
Something Got Me Started	Simply Red
Rush	Big Audio
Conviction Of The Heart	Kenny Loggins
Within My Heart	Voyce
All Through The Night	Tone-Loc
Whispers	Corina
What Time Is Love?	The KLF
Real Real Real	Jesus Jones
In Paradise	Laissez Faire
Uhh Ahh	Boyz II Men
The Fly	U2
Everybody Move	Cathy Dennis
All I Need Is You	Blue Train
Insatiable	Prince And The N.P.G.
Right Down To It	Damian Dame
Just Another Girlfriend	Hi-Five
Groovin'	UB40
Lies	EMF
Monsters And Angels	Voice Of The Beehive
Into The Great Wide Open	Tom Petty And The Heartbreakers
Walk Through Fire	Bad Company
Move Any Mountain	The Shamen
