Bette Davis Eyes	Kim Carnes
Being With You	Smokey Robinson
Medley	Stars On 45
Sukiyaki	A Taste Of Honey
Take It On The Run	REO Speedwagon
Living Inside Myself	Gino Vannelli
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
Too Much Time On My Hands	Styx
Watching The Wheels	John Lennon
Sweetheart	Franke & The Knockouts
America	Neil Diamond
How 'bout Us	Champaign
Angel Of The Morning	Juice Newton
I Love You	Climax Blues Band
All Those Years Ago	George Harrison
This Little Girl	Gary U.S. Bonds
What Are We Doin' In Love	Dottie West with Kenny Rogers
I Missed Again	Phil Collins
Say You'll Be Mine	Christopher Cross
Morning Train (Nine To Five)	Sheena Easton
You Make My Dreams	Daryl Hall John Oates
Since I Don't Have You	Don McLean
Jessie's Girl	Rick Springfield
The Waiting	Tom Petty And The Heartbreakers
Kiss On My List	Daryl Hall John Oates
Is It You	Lee Ritenour
Ai No Corrida (I-No-Ko-ree-da)	Quincy Jones
Find Your Way Back	Jefferson Starship
The One That You Love	Air Supply
You Better You Bet	The Who
Winning	Santana
I Can't Stand It	Eric Clapton And His Band
Love You Like I Never Loved Before	John O'Banion
Still Right Here In My Heart	Pure Prairie League
Ain't Even Done With The Night	John Cougar
Say What	Jesse Winchester
Fool In Love With You	Jim Photoglo
Just So Lonely	Get Wet
Nobody Wins	Elton John
Hold On Loosely	38 Special
Time	The Alan Parsons Project
I Can Take Care Of Myself	Billy & The Beaters
Give A Little Bit More	Cliff Richard
Seven Year Ache	Rosanne Cash
Modern Girl	Sheena Easton
Blessed Are The Believers	Anne Murray
Elvira	The Oak Ridge Boys
Theme From "Greatest American Hero" (Believe It or Not)	Joey Scarbury
You Like Me Don't You	Jermaine Jackson
Sweet Baby	Stanley Clarke/George Duke
Mercy, Mercy, Mercy	Phoebe Snow
I Loved 'em Every One	T.G. Sheppard
Arc Of A Diver	Steve Winwood
Somebody's Knockin'	Terri Gibbs
Super Trouper	ABBA
Boy From New York City	The Manhattan Transfer
You're So Easy To Love	Tommy James
I've Been Waiting For You All Of My Life	Paul Anka
Make That Move	Shalamar
Lovin' The Night Away	The Dillman Band
Hearts	Marty Balin
Stronger Than Before	Carole Bayer Sager
Almost Saturday Night	Dave Edmunds
Shaddap You Face	Joe Dolce
Double Dutch Bus	Frankie Smith
Jones Vs. Jones	Kool & The Gang
The Stroke	Billy Squier
Two Hearts	Stephanie Mills Featuring Teddy Pendergrass
What Cha' Gonna Do For Me	Chaka Khan
A Life Of Illusion	Joe Walsh
Her Town Too	James Taylor & J.D. Souther
Promises	Barbra Streisand
Rain In May	Max Werner
Rapture	Blondie
Queen Of Hearts	Juice Newton
Brooklyn Girls	Robbie Dupree
The Breakup Song (They Don't Write 'Em)	Greg Kihn Band
Yearning For Your Love	The Gap Band
Rock And Roll Dreams Come Through	Jim Steinman
Wasn't That A Party	The Rovers
Next Time You'll Know	Sister Sledge
Slow Hand	The Pointer Sisters
Give It To Me Baby	Rick James
It's Now Or Never	John Schneider
Come To Me	Aretha Franklin
Sign Of The Gypsy Queen	April Wine
I Can't Say Goodbye To You	Helen Reddy
In The Air Tonight	Phil Collins
It Didn't Take Long	Spider
She Did It	Michael Damian
While You See A Chance	Steve Winwood
Don't Stand So Close To Me	The Police
But You Know I Love You	Dolly Parton
Keep On Loving You	REO Speedwagon
Woman	John Lennon
One Day In Your Life	Michael Jackson
Hurry Up And Wait	The Isley Brothers
Can You Feel It	The Jacksons
The Best Of Times	Styx
