Lonely Boy	Paul Anka
The Battle Of New Orleans	Johnny Horton
Personality	Lloyd Price and His Orchestra
Waterloo	Stonewall Jackson
Lipstick On Your Collar	Connie Francis
Tiger	Fabian
Dream Lover	Bobby Darin
Tallahassee Lassie	Freddy Cannon
My Heart Is An Open Book	Carl Dobkins, Jr.
A Boy Without A Girl	Frankie Avalon
I Only Have Eyes For You	The Flamingos
Bobby Sox To Stockings	Frankie Avalon
Forty Miles Of Bad Road	Duane Eddy And The Rebels
Frankie	Connie Francis
M.T.A.	The Kingston Trio
Along Came Jones	The Coasters
You're So Fine	The Falcons
Twixt Twelve And Twenty	Pat Boone
Bongo Rock	Preston Epps
There Goes My Baby	The Drifters
Quiet Village	The Exotic Sounds of Martin Denny
Just Keep It Up	Dee Clark
What A Diff'rence A Day Makes	Dinah Washington
Sweeter Than You	Ricky Nelson
A Big Hunk O' Love	Elvis Presley With The Jordanaires
Lavender-Blue	Sammy Turner
Hushabye	The Mystics
Only Sixteen	Sam Cooke
Kansas City	Wilbert Harrison
This I Swear	The Skyliners
The Wonder Of You	Ray Peterson
Just A Little Too Much	Ricky Nelson
A Teenager In Love	Dion & The Belmonts
Robbin' The Cradle	Tony Bellus
I'll Be Satisfied	Jackie Wilson
Ragtime Cowboy Joe	David Seville And The Chipmunks
Back In The U.S.A.	Chuck Berry
Little Dipper	The Mickey Mozart Quintet
My Wish Came True	Elvis Presley With The Jordanaires
Since You've Been Gone	Clyde McPhatter
Mona Lisa	Carl Mann
Remember When	The Platters
What'd I Say (Part I & II)	Ray Charles and his Orchestra
There Is Something On Your Mind	Big Jay McNeely And Band
So Fine	The Fiestas
Here Comes Summer	Jerry Keller
I Know	Perry Como
Sea Of Love	Phil Phillips With The Twilights
Ciao, Ciao Bambina	Jacky Noguez And His Musette Orchestra
Only You	Franck Pourcel's French Fiddles
Like Young	Andre Previn With David Rose
Ring-A-Ling-A-Lario	Jimmie Rodgers
Forty Days	Ronnie Hawkins
Small World	Johnny Mathis
The Quiet Three	Duane Eddy His Twangy Guitar And The Rebels
High Hopes	Frank Sinatra "and a bunch of kids"
Crossfire	Johnny And The Hurricanes
Wonderful You	Jimmie Rodgers
With My Eyes Wide Open I'm Dreaming	Patti Page
I Can't Get You Out Of My Heart	Al Martino
I'm Ready	Fats Domino
The Way I Walk	Jack Scott
Tall Cool One	The Wailers
Taboo	Arthur Lyman
Till There Was You	Anita Bryant
Cap And Gown	Marty Robbins
What Is Love?	The Playmates
Velvet Waters	The Megatrons
It Was I	Skip And Flip
I Love An Angel	Little Bill and The Bluenotes
Bei Mir Bist Du Schön	Louis Prima And Keely Smith
The Whistling Organ	Dave "Baby" Cortez
Cherrystone	Addrisi Brothers
I've Come Of Age	Billy Storm
Gidget	Jimmy Darren
Thank You Pretty Baby	Brook Benton
Lonely For You	Gary Stites
Danny Boy	Sil Austin
Ten Thousand Drums	Carl Smith
Kookie, Kookie (Lend Me Your Comb)	Edward Byrnes & Connie Stevens
Endlessly	Brook Benton
Goodbye Jimmy, Goodbye	Kathy Linden
Flower Of Love	The Crests featuring Johnny Mastro
Lonely Guitar	Annette
See You In September	The Tempos
Kissin' Time	Bobby Rydell
Katy Too	Johnny Cash And The Tennessee Two
Tennessee Stud	Eddy Arnold
Beach Time	Roger Smith
Oh, What A Fool	The Impalas
Sorry (I Ran All The Way Home)	The Impalas
Crackin Up	Bo Diddley
To A Soldier Boy	The Tassels
I'm Coming Home	Marv Johnson
Rockin' In The Jungle	The Eternals
Dedicated To The One I Love	The Shirelles
Little Girl	Ritchie Valens
Bells, Bells, Bells (The Bell Song)	Billy & Lillie
I Still Get Jealous	Joni James
On An Evening In Roma	Dean Martin
