Ghostbusters	Ray Parker Jr.
When Doves Cry	Prince
State of Shock	The Jacksons
What's Love Got To Do With It	Tina Turner
Sad Songs (say So Much)	Elton John
Stuck On You	Lionel Richie
Dancing In The Dark	Bruce Springsteen
I Can Dream About You	Dan Hartman
Infatuation	Rod Stewart
Sunglasses At Night	Corey Hart
Breakin'...there's No Stopping Us	Ollie And Jerry
Missing You	John Waite
If Ever You're In My Arms Again	Peabo Bryson
Legs	ZZ Top
Panama	Van Halen
Eyes Without A Face	Billy Idol
Round And Round	Ratt
Jump (for My Love)	The Pointer Sisters
If This Is It	Huey Lewis & The News
She Bop	Cyndi Lauper
She's Mine	Steve Perry
Rock Me Tonite	Billy Squier
Lights Out	Peter Wolf
Sexy Girl	Glenn Frey
The Warrior	Scandal Featuring Patty Smyth
I'm Free (Heaven Helps The Man)	Kenny Loggins
The Glamorous Life	Sheila E.
Self Control	Laura Branigan
Alibis	Sergio Mendes
All Of You	Julio Iglesias & Diana Ross
Leave A Tender Moment Alone	Billy Joel
Turn To You	Go-Go's
Dynamite	Jermaine Jackson
Drive	The Cars
Let's Go Crazy	Prince And The Revolution
When You Close Your Eyes	Night Ranger
Cruel Summer	Bananarama
Almost Paradise...Love Theme From Footloose	Mike Reno And Ann Wilson
My, Oh My	Slade
Right By Your Side	Eurythmics
Magic	The Cars
Two Sides Of Love	Sammy Hagar
17	Rick James
Doctor! Doctor!	Thompson Twins
Romancing The Stone	Eddy Grant
Hard Habit To Break	Chicago
We're Not Gonna Take It	Twisted Sister
Only When You Leave	Spandau Ballet
High On Emotion	Chris de Burgh
Go Insane	Lindsey Buckingham
The Lucky One	Laura Branigan
Cover Me	Bruce Springsteen
The Reflex	Duran Duran
Hold Me	Teddy Pendergrass And Whitney Houston
Mama, Weer All Crazee Now	Quiet Riot
Dance Hall Days	Wang Chung
Happy Ending	Joe Jackson
10-9-8	Face To Face
There Goes My Baby	Donna Summer
The Heart Of Rock & Roll	Huey Lewis & The News
Borderline	Madonna
No Way Out	Jefferson Starship
The Only Flame In Town	Elvis Costello & The Atrractions
Boys Do Fall In Love	Robin Gibb
I'm So Excited	The Pointer Sisters
What The Big Girls Do	Van Stephenson
Jam On It	Newcleus
The First Day Of Summer	Tony Carey
Time After Time	Cyndi Lauper
Stay The Night	Chicago
Cleanin' Up The Town	Bus Boys
It's A Hard Life	Queen
(what) In The Name Of Love	Naked Eyes
Taking It All Too Hard	Genesis
Oh, Sherrie	Steve Perry
Let's Hear It For The Boy	Deniece Williams
I Send A Message	INXS
You Were Made For Me	Irene Cara
Sister Christian	Night Ranger
Straight From The Heart (Into Your Life)	Coyote Sisters
Farewell My Summer Love	Michael Jackson
Modern Day Delilah	Van Stephenson
Next Love	Deniece Williams
Can't Wait All Night	Juice Newton
Caribbean Queen (No More Love On The Run)	Billy Ocean
Beatstreet	Grand Master Melle Mel And The Furious Five With Mr Ness & Cowboy
Just The Way You Like It	The S.O.S. Band
Here She Comes	Bonnie Tyler
She Loves My Car	Ronnie Milsap
Stranger	Stephen Stills
I Didn't Mean To Turn You On	Cherelle
Still Loving You	Scorpions
The More You Live, The More You Love	A Flock Of Seagulls
Don't Walk Away	Rick Springfield
Somebody Else's Guy	Jocelyn Brown
Black Stations/White Stations	M + M
99 1/2	Carol Lynn Townes
Simple	Johnny Mathis
You're The Best Thing	The Style Council
Reach Out	Giorgio Moroder (Featuring Paul Engeman)
