Toy Soldiers	Martika
Express Yourself	Madonna
If You Don't Know Me By Now	Simply Red
Batdance (From "Batman")	Prince
So Alive	Love And Rockets
On Our Own (From "Ghostbusters II")	Bobby Brown
Good Thing	Fine Young Cannibals
What You Don't Know	Expose
Lay Your Hands On Me	Bon Jovi
Baby Don't Forget My Number	Milli Vanilli
Once Bitten Twice Shy	Great White
Miss You Like Crazy	Natalie Cole
I Like It	Dino
The Doctor	The Doobie Brothers
Crazy About Her	Rod Stewart
Who Do You Give Your Love To?	Michael Morales
Dressed For Success	Roxette
Right Here Waiting	Richard Marx
Cold Hearted	Paula Abdul
Secret Rendezvous	Karyn White
Hey Baby	Henry Lee Summer
I'm That Type Of Guy	LL Cool J
No More Rhyme	Debbie Gibson
Buffalo Stance	Neneh Cherry
I Drove All Night	Cyndi Lauper
Send Me An Angel '89	Real Life
Friends	Jody Watley With Eric B. & Rakim
The End Of The Innocence	Don Henley
Satisfied	Richard Marx
Headed For A Heartbreak	Winger
Sacred Emotion	Donny Osmond
Hooked On You	Sweet Sensation
Don't Wanna Lose You	Gloria Estefan
Me Myself And I	De La Soul
I'll Be Loving You (Forever)	New Kids On The Block
Wind Beneath My Wings (From "Beaches")	Bette Midler
I Won't Back Down	Tom Petty
Hangin' Tough	New Kids On The Block
Angel Eyes	The Jeff Healey Band
This Time I Know It's For Real	Donna Summer
Into The Night	Benny Mardones
Rooms On Fire	Stevie Nicks
In My Eyes	Stevie B
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
Cover Of Love	Michael Damian
Down Boys	Warrant
Every Little Step	Bobby Brown
In Your Eyes (Theme From "Say Anything")	Peter Gabriel
It Isn't, It Wasn't, It Ain't Never Gonna Be	Aretha Franklin/Whitney Houston
Shower Me With Your Love	Surface
Fire Woman	The Cult
If I Could Turn Back Time	Cher
The Prisoner	Howard Jones
Soul Provider	Michael Bolton
Talk It Over	Grayson Hugh
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
My Brave Face	Paul McCartney
18 And Life	Skid Row
Forever Your Girl	Paula Abdul
Calling It Love	Animotion
Trouble Me	10,000 Maniacs
Don't Say You Love Me	Billy Squier
Right Next To Me	Whistle
Little Fighter	White Lion
Rock On (From "Dream A Little Dream")	Michael Damian
Cry	Waterfront
Comin' Down Tonight	Thirty Eight Special
Tell Me I'm Not Dreaming	Robert Palmer
Turned Away	Chuckii Booker
Where Are You Now?	Jimmy Harnen With Synch
Gonna Make It	SaFire
Come Home With Me Baby	Dead Or Alive
Joy And Pain	Rob Base & D.J. E-Z Rock
Patience	Guns N' Roses
Jackie Brown	John Mellencamp
Coming Home	Cinderella
Dancing In Heaven (Orbital Be-Bop)	Q-feel
Heaven	Warrant
Kisses On The Wind	Neneh Cherry
We Can Last Forever	Chicago
(You're My One And Only) True Love	Seduction
Open Letter (To A Landlord)	Living Colour
Love Has Taken Its Toll	Saraya
Be With You	The Bangles
Closer To Fine	Indigo Girls
That's The Way	Katrina And The Waves
I'll Be There For You	Bon Jovi
After All (Love Theme From "Chances Are")	Cher & Peter Cetera
All I Want Is You	U2
My Paradise	The Outfield
Let The Day Begin	The Call
Forget Me Not	Bad English
Yo No Se	Pajama Party
Love Train	Holly Johnson
Soldier Of Love	Donny Osmond
Smooth Up	BulletBoys
Stop!	Erasure
Veronica	Elvis Costello
Everlasting Love	Howard Jones
Fascination Street	The Cure
