Someday	Mariah Carey
One More Try	Timmy T.
Show Me The Way	Styx
Coming Out Of The Dark	Gloria Estefan
All This Time	Sting
This House	Tracie Spencer
All The Man That I Need	Whitney Houston
Get Here	Oleta Adams
Where Does My Heart Beat Now	Celine Dion
Hold You Tight	Tara Kemp
Rescue Me	Madonna
Around The Way Girl	LL Cool J
Waiting For Love	Alias
You're In Love	Wilson Phillips
I've Been Thinking About You	Londonbeat
Signs	Tesla
Iesha	Another Bad Creation
Gonna Make You Sweat (Everybody Dance Now)	C+C Music Factory
Sadeness Part 1	Enigma
Round And Round	Tevin Campbell
I'll Be By Your Side	Stevie B
Rico Suave	Gerardo
Wicked Game	Chris Isaak
I'll Do 4 U	Father M.C.
The Star Spangled Banner	Whitney Houston
Mercy Mercy Me (The Ecology)/I Want You	Robert Palmer
Baby Baby	Amy Grant
The First Time	Surface
Cry For Help	Rick Astley
Joyride	Roxette
Something In My Heart	Michel'le
My Side Of The Bed	Susanna Hoffs
If You Needed Somebody	Bad Company
Just The Way It Is, Baby	The Rembrandts
I Like The Way (The Kissing Game)	Hi-Five
I Saw Red	Warrant
Together Forever	Lisette Melendez
How To Dance	Bingo Boys Featuring Princessa
Chasin' The Wind	Chicago
Deeper Shade Of Soul	Urban Dance Squad
Ride The Wind	Poison
Touch Me (All Night Long)	Cathy Dennis
I'll Give All My Love To You	Keith Sweat
Here We Go	C+C Music Factory/F. Williams
Easy Come Easy Go	Winger
Call It Poison	The Escape Club
Written All Over Your Face	The Rude Boys
Love Will Never Do (Without You)	Janet Jackson
High Enough	Damn Yankees
Mother's Pride	George Michael
Disappear	INXS
Love Makes Things Happen	Pebbles
Rhythm Of My Heart	Rod Stewart
Stone Cold Gentleman	Ralph Tresvant
Temple Of Love	Harriet
Let's Chill	Guy
I Love You	Vanilla Ice
Give Peace A Chance	The Peace Choir
Funk Boutique	The Cover Girls
Waiting For That Day	George Michael
I Touch Myself	Divinyls
More Than Ever	Nelson
All True Man	Alexander O'Neal
Play That Funky Music	Vanilla Ice
After The Rain	Nelson
From A Distance	Bette Midler
Another Sleepless Night	Shawn Christopher
Moneytalks	AC/DC
That's Why	The Party
Here Comes The Hammer	M.C. Hammer
Don't Treat Me Bad	Firehouse
Highwire	The Rolling Stones
Call It Rock N' Roll	Great White
Just Another Dream	Cathy Dennis
You Don't Have To Go Home Tonight	The Triplets
Voices That Care	Voices That Care
I'll Never Let You Go	Steelheart
Heat Of The Moment	After 7
In Your Arms	Little Caesar
Secret	Heart
It's A Shame (My Sister)	Monie Love Featuring True Image
Made Up My Mind	SaFire
It Never Rains (In Southern California)	Tony Toni Tone
Sure Lookin'	Donny Osmond
Unchained Melody	The Righteous Brothers
I've Been Waiting For You	Guys Next Door
Baby's Coming Back	Jellyfish
Spend My Life	Slaughter
Deep, Deep Trouble	The Simpsons Featuring Bart & Homer
I'm Not In Love	Will To Power
Save Some Love	Keedy
She Talks To Angels	The Black Crowes
No Matter What	George LaMond (Duet With Brenda K. Starr)
Sensitivity	Ralph Tresvant
Step On	Happy Mondays
Oooh This I Need	Elisa Fiorillo
One In A Million	Trixter
Don't Hold Back Your Love	Daryl Hall John Oates
Heartbreak Station	Cinderella
This Is Ponderous	2nu
