Venus	Frankie Avalon
Come Softly To Me	The Fleetwoods
It's Just A Matter Of Time	Brook Benton
Pink Shoe Laces	Dodie Stevens
Tragedy	Thomas Wayne With the Delons
Never Be Anyone Else But You	Ricky Nelson
Charlie Brown	The Coasters
Alvin's Harmonica	David Seville And The Chipmunks
It's Late	Ricky Nelson
Guitar Boogie Shuffle	The Virtues
I've Had It	The Bell Notes
I Need Your Love Tonight	Elvis Presley With The Jordanaires
(Now and Then There's) A Fool Such As I	Elvis Presley With The Jordanaires
Sea Cruise	Frankie Ford
Since I Don't Have You	The Skyliners
The Hawaiian Wedding Song (Ke Kali Nei Au)	Andy Williams
Please Mr. Sun	Tommy Edwards
It Doesn't Matter Anymore	Buddy Holly
Stagger Lee	Lloyd Price
The Tijuana Jail	The Kingston Trio
This Should Go On Forever	Rod Bernard
If I Didn't Care	Connie Francis
Tell Him No	Travis & Bob
Where Were You (On Our Wedding Day)?	Lloyd Price
The Happy Organ	Dave "Baby" Cortez
Petite Fleur (Little Flower)	Chris Barber's Jazz Band
The Morning Side Of The Mountain	Tommy Edwards
Peter Gunn	Ray Anthony and His Orchestra
No Other Arms, No Other Lips	The Chordettes
I Cried A Tear	LaVern Baker
Donna	Ritchie Valens
She Say (Oom Dooby Doom)	The Diamonds
Tomboy	Perry Como
Everybody Likes To Cha Cha Cha	Sam Cooke
Enchanted	The Platters
For A Penny	Pat Boone
I'm Never Gonna Tell	Jimmie Rodgers
May You Always	The McGuire Sisters
Turn Me Loose	Fabian
Heavenly Lover	Teresa Brewer
Tall Paul	Annette With The Afterbeats
I Go Ape	Neil Sedaka
Guess Who	Jesse Belvin
Sorry (I Ran All The Way Home)	The Impalas
Come Softly To Me	Ronnie Height
The Hanging Tree	Marty Robbins
Raw-Hide	Link Wray And The Wraymen
Moonlight Serenade	The Rivieras
I Got A Wife	The Mark IV
Three Stars	Tommy Dee with Carol Kay and the Teen-Aires
16 Candles	The Crests
Telling Lies	Fats Domino
Yea - Yea (Class Cutter)	Dale Hawkins
Take A Message To Mary	The Everly Brothers
The Story Of My Love	Conway Twitty
Nola	Billy Williams
The Lonely One	Duane Eddy His Twangy Guitar And The Rebels
(I'll Be With You In) Apple Blossom Time	Tab Hunter
As Time Goes By	Johnny Nash
The Children's Marching Song (Nick Nack Paddy Whack)	Mitch Miller and his "Sing Along With Mitch" Chorus
"Yep!"	Duane Eddy His Twangy Guitar And The Rebels
La Bamba	Ritchie Valens
Come To Me	Marv Johnson
The Beat	The Rockin R's
(All of a Sudden) My Heart Sings	Paul Anka
Someone	Johnny Mathis
The Children's Marching Song (Nick Nack Taddy Whack)	Cyril Stapleton And His Orchestra
First Anniversary	Cathy Carr
Poor Jenny	The Everly Brothers
Six Nights A Week	The Crests
Lonely Teardrops	Jackie Wilson
Almost Grown	Chuck Berry
That's Why (I Love You So)	Jackie Wilson
Because You're Young	Jimmie Rodgers
The All American Boy	Bill Parsons
Matilda	Cookie And His Cupcakes
So Fine	The Fiestas
I Miss You So	Paul Anka
Fried Eggs	The Intruders
No Other Arms, No Other Lips	The Four Aces
Pretty Girls Everywhere	Eugene Church and The Fellows
Tell Him No	Dean & Marc
Lovey Dovey	Clyde McPhatter
With The Wind And The Rain In Your Hair	Pat Boone
Rockin' Crickets	Hot-Toddys featuring Bill Pennell
Don't Take Your Guns To Town	Johnny Cash
French Foreign Legion	Frank Sinatra
Raining In My Heart	Buddy Holly
Boom-A-Dip-Dip	Stan Robinson
Gotta Travel On	Billy Grammer
Who's That Knocking	The Genies
Star Love	The Playmates
Midnight Oil	Charlie Blackwell
My Happiness	Connie Francis
Only You	Franck Pourcel's French Fiddles
77 Sunset Strip	The Big Sound Of Don Ralke
When The Saints Go Marching In	Fats Domino
That's My Little Suzie	Ritchie Valens
I Never Felt Like This	Jack Scott
There Must Be A Way	Joni James
