Doo Wop (That Thing)	Lauryn Hill
Lately	Divine
Because Of You	98 Degrees
The First Night	Monica
Nobody's Supposed To Be Here	Deborah Cox
One Week	Barenaked Ladies
How Deep Is Your Love	Dru Hill Featuring Redman
Crush	Jennifer Paige
This Kiss	Faith Hill
I'll Be	Edwin McCain
I Don't Want To Miss A Thing	Aerosmith
Westside	TQ
The Power Of Good-Bye	Madonna
Touch It	Monifah
Love Like This	Faith Evans
Come And Get With Me	Keith Sweat Featuring Snoop Dogg
...Baby One More Time	Britney Spears
Trippin'	Total Featuring Missy Elliott
Love Me	112 Featuring Mase
Too Close	Next
My Little Secret	Xscape
Never Ever	All Saints
I Still Love You	Next
You're Still The One	Shania Twain
Truly Madly Deeply	Savage Garden
All The Places (I Will Kiss You)	Aaron Hall
Adia	Sarah McLachlan
When The Lights Go Out	Five
Pushin' Weight	Ice Cube Featuring Mr. Short Khop
The Boy Is Mine	Brandy & Monica
My Way	Usher
Just The Two Of Us	Will Smith
Ghetto Cowboy	Mo Thugs Family Featuring Bone Thugs-N-Harmony
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
Time After Time	Inoj
Daydreamin'	Tatyana Ali
Hard Knock Life (Ghetto Anthem)	JAY-Z
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
So Into You	Tamia
I Can Do That	Montell Jordan
Splackavellie	Pressha
SuperThug (What What)	Noreaga
Movin' On	Mya Featuring Silkk The Shocker
Still A G Thang	Snoop Dogg
All My Life	K-Ci & JoJo
Whatcha Wanna Do?	Mia X Featuring Charlie Wilson
Everything's Gonna Be Alright	Sweetbox
How's It Going To Be	Third Eye Blind
Wherever You Go	Voices Of Theory
I Don't Want To Wait	Paula Cole
Lookin' At Me	Mase Featuring Puff Daddy
Can't Get Enough	Willie Max Featuring Raphael Saadiq
Lost In Love	Nastyboy Klick
Money's Just A Touch Away	Mack 10 Featuring Gerald Levert
Friend Of Mine	Kelly Price
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
Thinkin' Bout It	Gerald Levert
Daysleeper	R.E.M.
Intergalactic	Beastie Boys
Shimmer	Fuel
Don't Let It Go To Your Head	Brand Nubian
I Had No Right	P.M. Dawn
Perfect	The Smashing Pumpkins
Let The Music Heal Your Soul	BRAVO All Stars
It's The Things You Do	Five
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
Invasion Of The Flat Booty B*****s	Too $hort
Nobody Else	Tyrese
Cruel Summer	Ace Of Base
Music Sounds Better With You	Stardust
Ray Of Light	Madonna
Enjoy Yourself	A+
Better Days	WC Featuring Jon B.
How's It Goin' Down	DMX Featuring Faith Evans
26 Cents	The Wilkinsons
Landslide	Fleetwood Mac
If I Can't Have You	L.F.O. (Lyte Funky Ones) (Featuring Kayo)
Don't Let This Moment End	Gloria Estefan
Dr. Greenthumb	Cypress Hill
Touch Me	Solo
Life Ain't Easy	Cleopatra
For You I Will	Aaron Tippin
Whenever You're Near Me	Ace Of Base
Let Me Return The Favor	Andrea Martin
Yesterday	Debelah Morgan
Only When I Lose Myself	Depeche Mode
If I Had The Chance	Cynthia
No Fool No More	En Vogue
If I Lost You	Travis Tritt
Deadly Zone	Bounty Killer Featuring Mobb Deep & Rappin' Noyd
The Rockafeller Skank	Fatboy Slim
Wide Open Spaces	Dixie Chicks
Strawberry	Nicole Renee
Here We Go	Funkmaster Flex Presents Khadejia Featuring Product
Someone You Used To Know	Collin Raye
Suavemente	Elvis Crespo
I Ain't Havin' That	Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday
I Should Cheat On You	J'Son
Gotta Be	Jagged Edge
The Street Mix	Mag 7
