Annie's Song	John Denver
Don't Let The Sun Go Down On Me	Elton John
Rock And Roll Heaven	The Righteous Brothers
Rock Your Baby	George McCrae
Rikki Don't Lose That Number	Steely Dan
Feel Like Makin' Love	Roberta Flack
The Air That I Breathe	The Hollies
Rock The Boat	The Hues Corporation
Please Come To Boston	Dave Loggins
Call On Me	Chicago
Sideshow	Blue Magic
On And On	Gladys Knight And The Pips
Radar Love	Golden Earring
The Night Chicago Died	Paper Lace
Waterloo	ABBA
One Hell Of A Woman	Mac Davis
Finally Got Myself Together (I'm A Changed Man)	The Impressions
Wildwood Weed	Jim Stafford
Keep On Smilin'	Wet Willie
Takin' Care Of Business	Bachman-Turner Overdrive
If You Talk In Your Sleep	Elvis Presley
Machine Gun	Commodores
Tell Me Something Good	Rufus Featuring Chaka Khan
This Heart	Gene Redding
Sure As I'm Sittin' Here	Three Dog Night
Fish Ain't Bitin'	Lamont Dozier
If You Love Me (let Me Know)	Olivia Newton-John
Shinin' On	Grand Funk
You Won't See Me	Anne Murray
Rock Me Gently	Andy Kim
You And Me Against The World	Helen Reddy
I'm Leaving It (All) Up To You	Donny & Marie Osmond
Hollywood Swinging	Kool & The Gang
(You're) Having My Baby	Paul Anka with Odia Coates
Come Monday	Jimmy Buffett
Hang On In There Baby	Johnny Bristol
Workin' At The Car Wash Blues	Jim Croce
Rub It In	Billy "Crash" Craddock
Billy, Don't Be A Hero	Bo Donaldson And The Heywoods
Band On The Run	Paul McCartney And Wings
My Thang	James Brown
I Shot The Sheriff	Eric Clapton
Wild Thing	Fancy
Kung Fu	Curtis Mayfield
Sundown	Gordon Lightfoot
Put Out The Light	Joe Cocker
Ballero	War
Be Thankful For What You Got	William DeVaughn
Dancing Machine	Jackson 5
Nothing From Nothing	Billy Preston
Then Came You	Dionne Warwicke & Spinners
You Make Me Feel Brand New	The Stylistics
Midnight At The Oasis	Maria Muldaur
Jive Turkey (Part 1)	Ohio Players
Happiness Is Just Around The Bend	The Main Ingredient
River's Risin'	Edgar Winter
Haven't Got Time For The Pain	Carly Simon
The Streak	Ray Stevens
Room Full Of Roses	Mickey Gilley
Old Home Filler-up An' Keep On-a-truckin' Cafe	C.W. McCall
Clap For The Wolfman	The Guess Who
I'm Coming Home	The Spinners
It's Better To Have (and Don't Need)	Don Covay
Don't Knock My Love	Diana Ross & Marvin Gaye
Already Gone	Eagles
Time For Livin'	Sly & The Family Stone
Between Her Goodbye And My Hello	Gladys Knight And The Pips
If You Wanna Get To Heaven	Ozark Mountain Daredevils
Train Of Thought	Cher
You're Welcome, Stop On By	Bobby Womack
Kalimba Story	Earth, Wind & Fire
Don't Change Horses (In The Middle Of A Stream)	Tower Of Power
Dance Master Pt. 1	Willie Henderson
Beach Baby	First Class
Rings	Lobo
My Girl Bill	Jim Stafford
Let's Put It All Together	The Stylistics
You Can't Be A Beacon (if Your Light Don't Shine)	Donna Fargo
Secretary	Betty Wright
Save The Last Dance For Me	The DeFranco Family featuring Tony DeFranco
Sugar Baby Love	The Rubettes
For The Love Of Money	The O'Jays
There Will Never Be Any Peace (Until God Is Seated At The Conference Table)	The Chi-lites
La Grange	ZZ Top
Walk On	Neil Young
Rings	Reuben Howell
Free Man In Paris	Joni Mitchell
That's Not How It Goes	Bloodstone
Who Do You Think You Are	Bo Donaldson And The Heywoods
Moonlight Special	Ray Stevens
Ma! (He's Making Eyes At Me)	Lena Zavaroni
You've Got My Soul On Fire	The Temptations
Sweet Home Alabama	Lynyrd Skynyrd
Get Out Of Denver	Bob Seger
Eyes Of Silver	The Doobie Brothers
It Could Have Been Me	Sami Jo
Live It Up Part 1	The Isley Brothers
Love Is The Message	MFSB Featuring The Three Degrees
Good Things Don't Last Forever	Ecstasy, Passion & Pain
Makin' The Best Of A Bad Situation	Dick Feller
