Bad	Michael Jackson
Causing A Commotion	Madonna
I Think We're Alone Now	Tiffany
Mony Mony	Billy Idol
Casanova	Levert
Little Lies	Fleetwood Mac
Let Me Be The One	Expose
U Got The Look	Prince
Breakout	Swing Out Sister
Brilliant Disguise	Bruce Springsteen
It's A Sin	Pet Shop Boys
(I've Had) The Time Of My Life	Bill Medley & Jennifer Warnes
Lost In Emotion	Lisa Lisa And Cult Jam
Where The Streets Have No Name	U2
Heaven Is A Place On Earth	Belinda Carlisle
Don't Make Me Wait For Love	Kenny G. (Vocal By Lenny Williams)
Should've Known Better	Richard Marx
You Are The Girl	The Cars
Here I Go Again	Whitesnake
Carrie	Europe
I've Been In Love Before	Cutting Crew
In My Dreams	REO Speedwagon
Who Will You Run To	Heart
The One I Love	R.E.M.
I Won't Forget You	Poison
Paper In Fire	John Mellencamp
Come On, Let's Go	Los Lobos
We'll Be Together	Sting
Hourglass	Squeeze
I Heard A Rumour (From "Disorderlies")	Bananarama
Boys Night Out	Timothy B. Schmit
Holiday	The Other Ones
Shake Your Love	Debbie Gibson
Don't You Want Me	Jody Watley
Didn't We Almost Have It All	Whitney Houston
Betcha Say That	Gloria Estefan & Miami Sound Machine
Faith	George Michael
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
Sugar Free	Wa Wa Nee
Love Will Find A Way	Yes
Is This Love	Whitesnake
Skeletons	Stevie Wonder
Valerie	Steve Winwood
That's What Love Is All About	Michael Bolton
I Do You	The Jets
Dude (Looks Like A Lady)	Aerosmith
So Emotional	Whitney Houston
Beat Patrol	Starship
Jump Start	Natalie Cole
One Heartbeat	Smokey Robinson
No One In The World	Anita Baker
Silent Morning	Noel
Tell It To My Heart(Dub)	Taylor Dayne
Got My Mind Set On You	George Harrison
Animal	Def Leppard
Wipeout	Fat Boys & The Beach Boys
Waterfall	Wendy And Lisa
Cherry Bomb	John Mellencamp
Only In My Dreams	Debbie Gibson
Can't We Try	Dan Hill (Duet With Vonda Shepard)
Satellite	Hooters
Notorious	Loverboy
La Bamba	Los Lobos
I Don't Mind At All	Bourgeois Tagg
Crazy Crazy Nights	KISS
Just Like Heaven	The Cure
When Smokey Sings	ABC
Follow You	Glen Burtnick
Let's Work	Mick Jagger
Learning To Fly	Pink Floyd
Need You Tonight	INXS
Special Way	Kool & The Gang
Motortown	The Kane Gang
Power Of Love	Laura Branigan
Crazy	Icehouse
True Faith	New Order
I Just Can't Stop Loving You	Michael Jackson With Siedah Garrett
Crazy World	Big Trouble
Love Is Contagious	Taja Sevelle
Nothing's Gonna Stop Me Now	Samantha Fox
So The Story Goes	Living In A Box
Eagles Fly	Sammy Hagar
Rock Steady	The Whispers
Reservations For Two	Dionne & Kashif
Victim Of Love	Bryan Adams
Rock Me	Great White
One Lover At A Time	Atlantic Starr
Sweet Rachel	Beau Coup
We've Only Just Begun (The Romance Is Not Over)	Glenn Jones
If You Let Me Stay	Terence Trent D'Arby
Pop Goes The World	Men Without Hats
Doing It All For My Baby	Huey Lewis & The News
System Of Survival	Earth, Wind & Fire
Touch Of Grey	Grateful Dead
Something Real (Inside Me/Inside You)	Mr. Mister
Heart And Soul	T'Pau
American Dream	Simon F
Don't Mean Nothing	Richard Marx
Dinner With Gershwin	Donna Summer
Fake	Alexander O'Neal
