I'll Be There	Jackson 5
We've Only Just Begun	Carpenters
Fire And Rain	James Taylor
Green-Eyed Lady	Sugarloaf
Indiana Wants Me	R. Dean Taylor
All Right Now	Free
I Think I Love You	The Partridge Family Starring Shirley Jones Featuring David Cassidy
Cracklin' Rosie	Neil Diamond
Candida	Dawn
Lola	The Kinks
It Don't Matter To Me	Bread
Somebody's Been Sleeping	100 Proof Aged in Soul
The Tears Of A Clown	Smokey Robinson & The Miracles
Montego Bay	Bobby Bloom
Still Water (Love)	Four Tops
It's Only Make Believe	Glen Campbell
Cry Me A River	Joe Cocker
Gypsy Woman	Brian Hyland
Super Bad (Part 1 & Part 2)	James Brown
El Condor Pasa (If I Could)	Simon & Garfunkel
Express Yourself	Charles Wright And The Watts 103rd Street Rhythm Band
God, Love And Rock & Roll	Teegarden & Van Winkle
Engine Number 9	Wilson Pickett
Deeper & Deeper	Freda Payne
Stand By Your Man	Candi Staton
See Me, Feel Me	The Who
Look What They've Done To My Song Ma	The New Seekers featuring Eve Graham
Yellow River	Christie
Lucretia Mac Evil	Blood, Sweat & Tears
Our House	Crosby, Stills, Nash & Young
Ain't No Mountain High Enough	Diana Ross
Julie, Do Ya Love Me	Bobby Sherman
Let's Work Together	Canned Heat
As The Years Go By	Mashmakhan
Share The Land	The Guess Who
Heaven Help Us All	Stevie Wonder
Make It Easy On Yourself	Dionne Warwick
You Don't Have To Say You Love Me/Patch It Up	Elvis Presley
Ungena Za Ulimwengu (Unite The World)	The Temptations
For The Good Times	Ray Price
Out In The Country	Three Dog Night
5-10-15-20 (25-30 Years Of Love)	The Presidents
After Midnight	Eric Clapton
I Am Somebody Part II	Johnnie Taylor
Heed The Call	Kenny Rogers & The First Edition
One Less Bell To Answer	The 5th Dimension
And The Grass Won't Pay No Mind	Mark Lindsay
Sweetheart	Engelbert Humperdinck
Fresh Air	Quicksilver Messenger Service
Seems Like I Gotta Do Wrong	The Whispers
I Do Take You	The Three Degrees
I'm Not My Brothers Keeper	The Flaming Ember
Part Time Love	Ann Peebles
I Don't Wanna Cry	Ronnie Dyson
Something	Shirley Bassey
When You Get Right Down To It	The Delfonics
No Matter What	Badfinger
So Close	Jake Holmes
If You Were Mine	Ray Charles
Let Me Back In	Tyrone Davis
Stoned Love	The Supremes
Time Waits For No One	The Friends Of Distinction
I Just Don't Know What To Do With Myself	Gary Puckett
I Just Wanna Keep It Together	Paul Davis
Mongoose	Elephant's Memory
Chains And Things	B.B. King
Don't Try To Lay No Boogie Woogie On The "King Of Rock & Roll"	CROW
He Ain't Heavy...He's My Brother	Neil Diamond
Only Love Can Break Your Heart	Neil Young
Easy Rider (Let The Wind Pay The Way)	Iron Butterfly
I Need Help (I Can't Do It Alone) Pt. 1	Bobby Byrd
Does Anybody Really Know What Time It Is?	Chicago
Stoney End	Barbra Streisand
Jerusalem	Herb Alpert & The Tijuana Brass
Be My Baby	Andy Kim
Empty Pages	Traffic
You Better Think Twice	Poco
Do It	Neil Diamond
It's All In Your Mind	Clarence Carter
I Can't Believe That You've Stopped Loving Me	Charley Pride
Stand By Me	David & Jimmy Ruffin
Stoned Cowboy	Fantasy
Big Leg Woman (With A Short Short Mini Skirt)	Israel "Popper Stopper" Tolbert
Carolina In My Mind	Crystal Mansion Featuring Johnny Caswell
Groove Me	King Floyd
Fifteen Years Ago	Conway Twitty
Sunset Strip	Ray Stevens
Where Did All The Good Times Go	Dennis Yost And The Classics IV
Simply Call It Love	Gene Chandler
Games	Redeye
Alright In The City	Dunn & McCashen
Burning Bridges	The Mike Curb Congregation
Thank God And Greyhound	Roy Clark
One Light Two Lights	The Satisfactions
See The Light	The Flame
That's The Way I Want Our Love	Joe Simon
Amos Moses	Jerry Reed
I Gotta Let You Go	Martha Reeves & The Vandellas
Spirit In The Sky	Dorothy Morrison
Beaucoups Of Blues	Ringo Starr
