Rockstar	DaBaby Featuring Roddy Ricch
Come & Go	Juice WRLD x Marshmello
Whats Poppin	Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne
Blinding Lights	The Weeknd
Wishing Well	Juice WRLD
Savage	Megan Thee Stallion
Conversations	Juice WRLD
Roses	SAINt JHN
Life's A Mess	Juice WRLD X Halsey
Hate The Other Side	Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI
Watermelon Sugar	Harry Styles
Blood On My Jeans	Juice WRLD
Blueberry Faygo	Lil Mosey
Titanic	Juice WRLD
Righteous	Juice WRLD
Bad Energy	Juice WRLD
Adore You	Harry Styles
Say So	Doja Cat Featuring Nicki Minaj
Savage Love (Laxed - Siren Beat)	Jawsh 685 x Jason Derulo
Circles	Post Malone
Intentions	Justin Bieber Featuring Quavo
The Adventures Of Moon Man & Slim Shady	Kid Cudi & Eminem
I Hope	Gabby Barrett Featuring Charlie Puth
Break My Heart	Dua Lipa
Party Girl	StaySolidRocky
We Paid	Lil Baby & 42 Dugg
Don't Start Now	Dua Lipa
Rain On Me	Lady Gaga & Ariana Grande
Go Crazy	Chris Brown & Young Thug
Before You Go	Lewis Capaldi
One Margarita	Luke Bryan
For The Night	Pop Smoke Featuring Lil Baby & DaBaby
Falling	Trevor Daniel
Stay High	Juice WRLD
Fighting Demons	Juice WRLD
The Bones	Maren Morris
Hard To Forget	Sam Hunt
Tell Me U Luv Me	Juice WRLD & Trippie Redd
Life Is Good	Future Featuring Drake
The Box	Roddy Ricch
Death Bed	Powfu Featuring beabadoobee
Up Up And Away	Juice WRLD
The Bigger Picture	Lil Baby
Bluebird	Miranda Lambert
Sunday Best	Surfaces
Screw Juice	Juice WRLD
I Want It	Juice WRLD
The Woo	Pop Smoke Featuring 50 Cent & Roddy Ricch
Chasin' You	Morgan Wallen
Can't Die	Juice WRLD
Man Of The Year	Juice WRLD
Rags2Riches	Rod Wave Featuring ATR Son Son
Die From A Broken Heart	Maddie & Tae
Toosie Slide	Drake
Emotionally Scarred	Lil Baby
Supalonely	BENEE Featuring Gus Dapperton
Girls In The Hood	Megan Thee Stallion
Walk Em Down	NLE Choppa Featuring Roddy Ricch
Got It On Me	Pop Smoke
One Big Country Song	LOCASH
If The World Was Ending	JP Saxe Featuring Julia Michaels
Be Kind	Marshmello & Halsey
Said Sum	Moneybagg Yo
I Love My Country	Florida Georgia Line
Got What I Got	Jason Aldean
Stuck With U	Ariana Grande & Justin Bieber
Done	Chris Janson
Like That	Doja Cat Featuring Gucci Mane
The Scotts	THE SCOTTS, Travis Scott & Kid Cudi
Be A Light	Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban
Don't Rush	Young T & Bugsey Featuring Headie One
Mamacita	Black Eyed Peas, Ozuna + J.Rey Soul
Be Like That	Kane Brown With Swae Lee & Khalid
God Whispered Your Name	Keith Urban
Something Special	Pop Smoke
Why We Drink	Justin Moore
Cool Again	Kane Brown
One Of Them Girls	Lee Brice
Mood Swings	Pop Smoke Featuring Lil Tjay
Does To Me	Luke Combs Featuring Eric Church
After Party	Don Toliver
Need It	Migos Featuring YoungBoy Never Broke Again
Gangstas	Pop Smoke
Let It Go	Summer Walker
More Than My Hometown	Morgan Wallen
My Affection	Summer Walker & PARTYNEXTDOOR
Lovin' On You	Luke Combs
ily	Surf Mesa Featuring Emilee
Aim For The Moon	Pop Smoke Featuring Quavo
Past Life	Trevor Daniel x Selena Gomez
Tap In	Saweetie
Girl Of My Dreams	Rod Wave
Chicago Freestyle	Drake Featuring Giveon
One Night Standards	Ashley McBryde
Beer Can't Fix	Thomas Rhett Featuring Jon Pardi
Here And Now	Kenny Chesney
3 Headed Goat	Lil Durk Featuring Lil Baby & Polo G
One Beer	HARDY Featuring Lauren Alaina & Devin Dawson
44 Bulldog	Pop Smoke
Gooba	6ix9ine
