Centerfold	The J. Geils Band
I Can't Go For That (No Can Do)	Daryl Hall John Oates
Waiting For A Girl Like You	Foreigner
Harden My Heart	Quarterflash
Turn Your Love Around	George Benson
Leather And Lace	Stevie Nicks With Don Henley
Physical	Olivia Newton-John
The Sweetest Thing (I've Ever Known)	Juice Newton
Shake It Up	The Cars
Hooked On Classics	Royal Philharmonic Orchestra
Cool Night	Paul Davis
Sweet Dreams	Air Supply
Waiting On A Friend	The Rolling Stones
Leader Of The Band	Dan Fogelberg
Open Arms	Journey
Take It Easy On Me	Little River Band
Let's Groove	Earth, Wind & Fire
Come Go With Me	The Beach Boys
You Could Have Been With Me	Sheena Easton
Comin' In And Out Of Your Life	Barbra Streisand
Through The Years	Kenny Rogers
Love Is Alright Tonite	Rick Springfield
Mirror, Mirror	Diana Ross
Trouble	Lindsey Buckingham
Love In The First Degree	Alabama
That Girl	Stevie Wonder
Somewhere Down The Road	Barry Manilow
Key Largo	Bertie Higgins
Spirits In The Material World	The Police
Abacab	Genesis
Working For The Weekend	Loverboy
All Our Tomorrows	Eddie Schwartz
Sea Of Love	Del Shannon
Someone Could Lose A Heart Tonight	Eddie Rabbitt
Pac-Man Fever	Buckner & Garcia
Daddy's Home	Cliff Richard
Young Turks	Rod Stewart
She's Got A Way	Billy Joel
When All Is Said And Done	ABBA
I Wouldn't Have Missed It For The World	Ronnie Milsap
Yesterday's Songs	Neil Diamond
Love Is Like A Rock	Donnie Iris
Tonight I'm Yours (Don't Hurt Me)	Rod Stewart
Should I Do It	The Pointer Sisters
One Hundred Ways	Quincy Jones Featuring James Ingram
Bobbie Sue	The Oak Ridge Boys
Crazy (Keep On Falling)	The John Hall Band
Call Me	Skyy
You're My Latest, My Greatest Inspiration	Teddy Pendergrass
Keeping Our Love Alive	Henry Paul Band
Let The Feeling Flow	Peabo Bryson
Our Lips Are Sealed	Go-Go's
Under Pressure	Queen & David Bowie
I Believe	Chilliwack
Tonight Tonight	Bill Champlin
Let's Get It Up	AC/DC
Tell Me Tomorrow - Part I	Smokey Robinson
Wanna Be With You	Earth, Wind & Fire
Chariots Of Fire - Titles	Vangelis
Perhaps Love	Placido Domingo & John Denver
If Looks Could Kill	Player
Don't Stop Believin'	Journey
I Love Rock 'N Roll	Joan Jett & the Blackhearts
We Got The Beat	Go-Go's
Circle Of Love	The Steve Miller Band
Take Off	Bob & Doug McKenzie
Genius Of Love	Tom Tom Club
867-5309/jenny	Tommy Tutone
Just Can't Win 'em All	Stevie Woods
Tainted Love	Soft Cell
My Guy	Sister Sledge
It's My Party	Dave Stewart and Barbara Gaskin
I'll Fall In Love Again	Sammy Hagar
Anyone Can See	Irene Cara
Voice On The Radio	Conductor
Don't Let Him Know	Prism
Do You Believe In Love	Huey Lewis & The News
Another Sleepless Night	Anne Murray
Why Do Fools Fall In Love	Diana Ross
Theme From Magnum P.i.	Mike Post
Here To Love You	The Doobie Brothers
Why You Wanna Try Me	Commodores
Take My Heart (You Can Have It If You Want It)	Kool & The Gang
(oh) Pretty Woman	Van Halen
Oh No	Commodores
Only One You	T.G. Sheppard
Breakin' Away	Al Jarreau
Opposites Do Attract	All Sports Band
You Can	Madleen Kane
Natural Love	Petula Clark
Cool (Part 1)	The Time
Seasons Of Gold	Gidea Park featuring Adrian Baker
Could It Be Love	Jennifer Warnes
Feel Like A Number	Bob Seger & The Silver Bullet Band
Be Mine (Tonight)	Grover Washington, Jr.
A World Without Heroes	KISS
More Than Just The Two Of Us	Sneaker
Power Play	Molly Hatchet
Start It All Over	McGuffey Lane
Here I Am (Just When I Thought I Was Over You)	Air Supply
