Kiss You All Over	Exile
Boogie Oogie Oogie	A Taste Of Honey
Hot Child In The City	Nick Gilder
Don't Look Back	Boston
Summer Nights	John Travolta & Olivia Newton-John & Cast
Reminiscing	Little River Band
Hopelessly Devoted To You	Olivia Newton-John
Love Is In The Air	John Paul Young
You Needed Me	Anne Murray
Whenever I Call You "Friend"	Kenny Loggins
Three Times A Lady	Commodores
Hollywood Nights	Bob Seger & The Silver Bullet Band
An Everlasting Love	Andy Gibb
Right Down The Line	Gerry Rafferty
Oh! Darling	Robin Gibb
How Much I Feel	Ambrosia
Get Off	Foxy
Back In The U.s.a.	Linda Ronstadt
She's Always A Woman	Billy Joel
You Never Done It Like That	Captain & Tennille
MacArthur Park	Donna Summer
Who Are You	The Who
Come Together	Aerosmith
I Love The Nightlife (Disco 'round)	Alicia Bridges
Talking In Your Sleep	Crystal Gayle
Double Vision	Foreigner
Beast Of Burden	The Rolling Stones
5.7.0.5.	City Boy
Josie	Steely Dan
It's A Laugh	Daryl Hall John Oates
You And I	Rick James
Hot Blooded	Foreigner
Almost Like Being In Love	Michael Johnson
Dance (Disco Heat)	Sylvester
I Will Still Love You	Stonebolt
Devoted To You	Carly Simon & James Taylor
Heartbreaker	Dolly Parton
Took The Last Train	David Gates
Ready To Take A Chance Again	Barry Manilow
Sweet Life	Paul Davis
Fool If You Think It's Over	Chris Rea
London Town	Wings
I Just Wanna Stop	Gino Vannelli
Ease On Down The Road	Diana Ross & Michael Jackson
Love Theme From "Eyes Of Laura Mars" (Prisoner)	Barbra Streisand
Themes From The Wizard Of Oz	Meco
Blue Collar Man (Long Nights)	Styx
Sharing The Night Together	Dr. Hook
Holding On (When Love Is Gone)	L.T.D.
Prisoner Of Your Love	Player
Got To Get You Into My Life	Earth, Wind & Fire
Everybody Needs Love	Stephen Bishop
Wavelength	Van Morrison
Crazy Feelin'	Jefferson Starship
Change Of Heart	Eric Carmen
Champagne Jam	Atlanta Rhythm Section
Don't Want To Live Without It	Pablo Cruise
One Nation Under A Groove - Part I	Funkadelic
Straight On	Heart
Paradise By The Dashboard Light	Meat Loaf
Peggy Sue	The Beach Boys
Grease	Frankie Valli
Greased Lightnin'	John Travolta
Flying High	Commodores
Shame	Evelyn "Champagne" King
You Should Do It	Peter Brown With Betty Wright
Got To Have Loving	Don Ray
Listen To Her Heart	Tom Petty
Substitute	Clout
Magnet And Steel	Walter Egan
Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends	The Beatles
Hot Shot	Karen Young
Like A Sunday In Salem (The Amos & Andy Song)	Gene Cotton
Searching For A Thrill	Starbuck
Time Passages	Al Stewart
Strange Way	Firefall
Dreadlock Holiday	10cc
Raining In My Heart	Leo Sayer
Brandy	The O'Jays
Run For Home	Lindisfarne
Martha (Your Lovers Come And Go)	Gabriel
Forever Autumn	Justin Hayward
This Is Love	Paul Anka
Hold The Line	Toto
There'll Never Be	Switch
I'm Every Woman	Chaka Khan
New York City	Zwol
Mellow Lovin'	Judy Cheeks
On The Shelf	Donny & Marie Osmond
Do You Feel All Right	KC And The Sunshine Band
Louie, Louie	John Belushi
You	The McCrarys
All I See Is Your Face	Dan Hill
Miss You	The Rolling Stones
Just What I Needed	The Cars
Badlands	Bruce Springsteen
If My Friends Could See Me Now	Linda Clifford
Let's Get Crazy Tonight	Rupert Holmes
When You Feel Love	Bob Mcgilpin
What Goes Up	The Alan Parsons Project
