Praying For Time	George Michael
Close To You	Maxi Priest
I Don't Have The Heart	James Ingram
Ice Ice Baby	Vanilla Ice
Black Cat	Janet Jackson
(Can't Live Without Your) Love And Affection	Nelson
Romeo	Dino
Something Happened On The Way To Heaven	Phil Collins
Everybody Everybody	Black Box
Oh Girl	Paul Young
Can't Stop	After 7
Giving You The Benefit	Pebbles
Suicide Blonde	INXS
My, My, My	Johnny Gill
Unchained Melody	The Righteous Brothers
Blaze Of Glory (From "Young Guns II")	Jon Bon Jovi
Do Me!	Bell Biv DeVoe
Policy Of Truth	Depeche Mode
Love Takes Time	Mariah Carey
Release Me	Wilson Phillips
This Is The Right Time	Lisa Stansfield
Cherry Pie	Warrant
Fly To the Angels	Slaughter
Say A Prayer	Breathe
Feels Good	Tony Toni Tone
More Than Words Can Say	Alias
Heart Of Stone	Taylor Dayne
Pray	M.C. Hammer
Crazy	The Boys
Unchained Melody	The Righteous Brothers
Knockin' Boots	Candyman
Time For Letting Go	Jude Cole
Joey	Concrete Blonde
Tic-Tac-Toe	Kyper
All I'm Missing Is You	Glenn Medeiros Featuring Ray Parker, Jr.
Georgia On My Mind	Michael Bolton
Unskinny Bop	Poison
Lies	En Vogue
Dirty Cash (Money Talks)	The Adventures Of Stevie V
Ooops Up	Snap!
Groove Is In The Heart	Deee-Lite
So Close	Daryl Hall John Oates
Have You Seen Her	M.C. Hammer
Thieves In The Temple	Prince
Hippychick	Soho
Stranded	Heart
Something To Believe In	Poison
I'd Rather Go Blind	Sydney Youngblood
Epic	Faith No More
Vision Of Love	Mariah Carey
The Boomin' System	LL Cool J
The Way You Do The Things You Do	UB40
From A Distance	Bette Midler
Heart Like A Wheel	The Human League
Dream Boy/Dream Girl	Cynthia & Johnny O
Second Chance	Tyler Collins
Lyin' To Myself	David Cassidy
If Wishes Came True	Sweet Sensation
L.A. Woman	Billy Idol
High Enough	Damn Yankees
Because I Love You (The Postman Song)	Stevie B
Impulsive	Wilson Phillips
Can't Get Enuff	Winger
Slow Love	Doc Box & B. Fresh
Can't Stop Falling Into Love	Cheap Trick
Think	Information Society
Days Like These	Asia
On The Way Up	Elisa Fiorillo
La Raza	Kid Frost
Tom's Diner	DNA Featuring Suzanne Vega
Let's Try It Again	New Kids On The Block
Soul Inspiration	Anita Baker
Tonight	New Kids On The Block
Wiggle It	2 In A Room
Look Into My Eyes	George LaMond
Come Back To Me	Janet Jackson
Missunderstanding	Al B. Sure!
King Of Wishful Thinking (From "Pretty Woman")	Go West
Jealous	Gene Loves Jezebel
My Love Is A Fire	Donny Osmond
Banned In The U.S.A.	Luke Featuring The 2 Live Crew
Livin' In The Light	Caron Wheeler
Love Is A Rock	REO Speedwagon
Miles Away	Winger
Mentirosa	Mellow Man Ace
Hold On	En Vogue
I Don't Love You Anymore	The London Quireboys
Breakdown	Seduction
How Much Love	Vixen
B.B.D. (I Thought It Was Me)?	Bell Biv DeVoe
Make You Sweat	Keith Sweat
Same Ol' Situation (S.O.S.)	Motley Crue
Violence Of Summer (Love's Taking Over)	Duran Duran
Undeniable	Ms. Adventures
Cradle Of Love (From "Ford Fairlane")	Billy Idol
Innocent	The Whispers
Rub You The Right Way	Johnny Gill
Won't Talk About It	Beats International
Empty Beach	Tricia Leigh Fisher
Tell Me Something	Indecent Obsession
