Right Here Waiting	Richard Marx
On Our Own (From "Ghostbusters II")	Bobby Brown
Cold Hearted	Paula Abdul
Don't Wanna Lose You	Gloria Estefan
Once Bitten Twice Shy	Great White
Hangin' Tough	New Kids On The Block
I Like It	Dino
Batdance (From "Batman")	Prince
Secret Rendezvous	Karyn White
So Alive	Love And Rockets
The End Of The Innocence	Don Henley
Friends	Jody Watley With Eric B. & Rakim
Angel Eyes	The Jeff Healey Band
Sacred Emotion	Donny Osmond
Keep On Movin'	Soul II Soul (Featuring Caron Wheeler)
Toy Soldiers	Martika
Shower Me With Your Love	Surface
Lay Your Hands On Me	Bon Jovi
Headed For A Heartbreak	Winger
18 And Life	Skid Row
If I Could Turn Back Time	Cher
Heaven	Warrant
I'm That Type Of Guy	LL Cool J
Hooked On You	Sweet Sensation
If You Don't Know Me By Now	Simply Red
No More Rhyme	Debbie Gibson
Hey Baby	Henry Lee Summer
Girl I'm Gonna Miss You	Milli Vanilli
Talk It Over	Grayson Hugh
One	Bee Gees
Soul Provider	Michael Bolton
Kisses On The Wind	Neneh Cherry
Cover Of Love	Michael Damian
The Prisoner	Howard Jones
That's The Way	Katrina And The Waves
Express Yourself	Madonna
Cherish	Madonna
Baby Don't Forget My Number	Milli Vanilli
Dressed For Success	Roxette
Put Your Mouth On Me	Eddie Murphy
Hey Ladies	Beastie Boys
Crazy About Her	Rod Stewart
It's Not Enough	Starship
Turned Away	Chuckii Booker
Good Thing	Fine Young Cannibals
Love Song	The Cure
Don't Look Back	Fine Young Cannibals
(You're My One And Only) True Love	Seduction
In My Eyes	Stevie B
Runnin' Down A Dream	Tom Petty
Forget Me Not	Bad English
Trouble Me	10,000 Maniacs
Let The Day Begin	The Call
Bust A Move	Young M.C.
Closer To Fine	Indigo Girls
Me Myself And I	De La Soul
Jackie Brown	John Mellencamp
Little Fighter	White Lion
Who Do You Give Your Love To?	Michael Morales
What You Don't Know	Expose
Buffalo Stance	Neneh Cherry
It's No Crime	Babyface
Wind Beneath My Wings (From "Beaches")	Bette Midler
You Better Dance	The Jets
Don't Say You Love Me	Billy Squier
What I Like About You	Michael Morales
Gypsy Road	Cinderella
Need A Little Taste Of Love	The Doobie Brothers
Love Has Taken Its Toll	Saraya
Nature Of Love	Waterfront
When I Looked At Him	Expose
Send Me An Angel '89	Real Life
Pride & Passion	John Cafferty & The Beaver Brown Band
Smooth Up	BulletBoys
My First Night Without You	Cyndi Lauper
Love Cries	Stage Dolls
Oh Daddy	Adrian Belew
Into The Night	Benny Mardones
Miss You Like Crazy	Natalie Cole
What About Me	Moving Pictures
My Paradise	The Outfield
In Your Eyes (Theme From "Say Anything")	Peter Gabriel
And The Night Stood Still	Dion
Lay Down Your Arms	The Graces
It Isn't, It Wasn't, It Ain't Never Gonna Be	Aretha Franklin/Whitney Houston
Right Next To Me	Whistle
Lay All Your Love On Me	Information Society
On The Line	Tangier
I'll Be Loving You (Forever)	New Kids On The Block
When The Radio Is On	Paul Shaffer
Close My Eyes Forever	Lita Ford (Duet With Ozzy Osbourne)
Come Home With Me Baby	Dead Or Alive
Ain't Too Proud To Beg	Rick Astley
Nightrain	Guns N' Roses
Walkin' Shoes	Tora Tora
Joy And Pain	Rob Base & D.J. E-Z Rock
The Doctor	The Doobie Brothers
Let Go	Sharon Bryant
Don't Shut Me Out	Kevin Paige
Tell Me I'm Not Dreaming	Robert Palmer
