Johnny Angel	Shelley Fabares
Don't Break The Heart That Loves You	Connie Francis
Good Luck Charm	Elvis Presley With The Jordanaires
Slow Twistin'	Chubby Checker (with Dee Dee Sharp)
Dream Baby (How Long Must I Dream)	Roy Orbison
Hey! Baby	Bruce Channel
Midnight In Moscow	Kenny Ball and his Jazzmen
Young World	Rick Nelson
Love Letters	Ketty Lester
Mashed Potato Time	Dee Dee Sharp
What's Your Name	Don & Juan
Love Me Warm And Tender	Paul Anka
Let Me In	The Sensations
Twistin' The Night Away	Sam Cooke
Please Don't Ask About Barbara	Bobby Vee
Lover Please	Clyde McPhatter
Come Back Silly Girl	The Lettermen
(I've Got) Bonnie	Bobby Rydell
She's Got You	Patsy Cline
Duke Of Earl	Gene Chandler
Where Have All The Flowers Gone	The Kingston Trio
You Win Again	Fats Domino
Nut Rocker	B. Bumble & The Stingers
Soldier Boy	The Shirelles
Dear One	Larry Finnegan
Shout - Part I	Joey Dee & the Starliters
You Better Move On	Arthur Alexander
When My Little Girl Is Smiling	The Drifters
Her Royal Majesty	James Darren
She Can't Find Her Keys	Paul Petersen
Stranger On The Shore	Mr. Acker Bilk
Twist, Twist Senora	Gary U.S. Bonds
Soul Twist	King Curtis And The Noble Knights
She Cried	Jay & The Americans
If A Woman Answers (Hang Up The Phone)	Leroy Van Dyke
Anything That's Part Of You	Elvis Presley With The Jordanaires
Ginny Come Lately	Brian Hyland
Cry Baby Cry	The Angels
Something's Got A Hold On Me	Etta James
Cinderella	Jack Ross
Jamie	Eddie Holland
Johnny Jingo	Hayley Mills
Patti Ann	Johnny Crawford
The Jam - Part 1	Bobby Gregg and His Friends
The Alvin Twist	The Chipmunks With David Seville
Smoky Places	The Corsairs Featuring Jay "Bird" Uzzell
Tell Me	Dick and DeeDee
Tuff	Ace Cannon
Percolator (Twist)	Billy Joe & The Checkmates
The Wanderer	Dion
Break It To Me Gently	Brenda Lee
What'd I Say (Part 1)	Bobby Darin
Crying In The Rain	The Everly Brothers
Pop-Eye	Huey Smith
Two Of A Kind	Sue Thompson
Annie Get Your Yo-Yo	Little Junior Parker
Moments	Jennell Hawkins
You Talk About Love	Barbara George
At The Club	Ray Charles and his Orchestra
The Twist	Chubby Checker
The White Rose Of Athens	David Carroll And His Orchestra
The One Who Really Loves You	Mary Wells
Tra La La La La	Ike & Tina Turner
Shout! Shout! (Knock Yourself Out)	Ernie Maresca
Funny Way Of Laughin'	Burl Ives
Lollipops And Roses	Jack Jones
Hide 'Nor Hair	Ray Charles and his Orchestra
Uptown	The Crystals
I Wish That We Were Married	Ronnie and The Hi-Lites
P.T. 109	Jimmy Dean
Caterina	Perry Como
Chapel By The Sea	Billy Vaughn And His Orchestra
Midnight Special, Part 1	Jimmy Smith
Memories Of Maria	Jerry Byrd
The Ballad Of Thunder Road	Robert Mitchum
You Are Mine	Frankie Avalon
Our Anniversary	Shep And The Limelites
The Big Draft	The Four Preps
Who Will The Next Fool Be	Bobby Bland
Runaway	Lawrence Welk And His Orchestra
I Will	Vic Dana
Thou Shalt Not Steal	John D. Loudermilk
What Am I Supposed To Do	Ann-Margret
Patricia - Twist	Perez Prado And His Orchestra
Ev'rybody's Twistin'	Frank Sinatra
The Rains Came	Big Sambo and The House Wreckers
A Girl Has To Know	The G-Clefs
(What A Sad Way) To Love Someone	Ral Donner
Twistin' Matilda (and the channel)	Jimmy Soul
King Of Clowns	Neil Sedaka
Itty Bitty Pieces	James Ray
Cookin'	Al Casey Combo
Amor	Roger Williams
Smile	Ferrante & Teicher
Shout - Part 1	The Isley Brothers
Honky-Tonk Man	Johnny Horton
Old Rivers	Walter Brennan
Lover Come Back	Doris Day
Sweet Thursday	Johnny Mathis
Count Every Star	Linda Scott
