You're Sixteen	Ringo Starr
Show And Tell	Al Wilson
The Way We Were	Barbra Streisand
I've Got To Use My Imagination	Gladys Knight And The Pips
The Joker	The Steve Miller Band
Love's Theme	Love Unlimited Orchestra
Smokin' In The Boy's Room	Brownsville Station
Let Me Be There	Olivia Newton-John
Time In A Bottle	Jim Croce
Americans	Byron MacGregor
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Living For The City	Stevie Wonder
Never, Never Gonna Give Ya Up	Barry White
Spiders & Snakes	Jim Stafford
Me And Baby Brother	War
When I Fall In Love/Are You Lonesome Tonight	Donny Osmond
Helen Wheels	Paul McCartney And Wings
Jungle Boogie	Kool & The Gang
Walk Like A Man	Grand Funk
The Most Beautiful Girl	Charlie Rich
Livin' For You	Al Green
Put Your Hands Together	The O'Jays
Leave Me Alone (ruby Red Dress)	Helen Reddy
Rock On	David Essex
Goodbye Yellow Brick Road	Elton John
Sister Mary Elephant (Shudd-Up!)	Cheech & Chong
Let Your Hair Down	The Temptations
The Americans (A Canadian's Opinion)	Gordon Sinclair
Top Of The World	Carpenters
I Love	Tom T. Hall
"Joy" Pt. I	Isaac Hayes
Midnight Rider	Gregg Allman
Last Time I Saw Him	Diana Ross
Jim Dandy	Black Oak Arkansas
Love Song	Anne Murray
Boogie Down	Eddie Kendricks
Baby Come Close	Smokey Robinson
Hello It's Me	Todd Rundgren
Rockin' Roll Baby	The Stylistics
Abra-Ca-Dabra	The De Franco Family
If We Make It Through December	Merle Haggard
Doo Doo Doo Doo Doo (heartbreaker)	The Rolling Stones
If You're Ready (Come Go With Me)	The Staple Singers
MIND GAMES	John Lennon
I Like To Live The Love	B.B. King
Just You 'n' Me	Chicago
Can This Be Real	Natural Four
Teenage Lament '74	Alice Cooper
D'yer Mak'er	Led Zeppelin
I Shall Sing	Garfunkel
Sexy Mama	Moments
This Time I'm Gone For Good	Bobby "Blue" Bland
American Tune	Paul Simon
Daddy What If	Bobby Bare
Showdown	Electric Light Orchestra
Dark Lady	Cher
You're So Unique	Billy Preston
Last Kiss	Wednesday
Love Has No Pride	Linda Ronstadt
My Sweet Lady	Cliff DeYoung
Come And Get Your Love	Redbone
Stoned To The Bone - Part 1	James Brown
Wang Dang Doodle	The Pointer Sisters
Trying To Hold On To My Woman	Lamont Dozier
My Music	Loggins & Messina
Painted Ladies	Ian Thomas
A Fool Such As I	Bob Dylan
Keep Your Head To The Sky	Earth, Wind & Fire
Raised On Robbery	Joni Mitchell
Eres Tu (Touch The Wind)	Mocedades
What It Comes Down To	The Isley Brothers
Seasons In The Sun	Terry Jacks
One Tin Soldier, The Legend of Billy Jack	Coven
Who's In The Strawberry Patch With Sally	Tony Orlando & Dawn
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
Star	Stealers Wheel
I Miss You	The Dells
Life Is A Song Worth Singing	Johnny Mathis
It Doesn't Have To Be That Way	Jim Croce
You Sure Love To Ball	Marvin Gaye
I Got A Name	Jim Croce
Flashback	The 5th Dimension
Mighty Love - Pt. 1	The Spinners
WOLD	Harry Chapin
Jessica	The Allman Brothers Band
Let Me Get To Know You	Paul Anka
There Won't Be Anymore	Charlie Rich
In The Mood	Bette Midler
Meadows	Joe Walsh
Sunshine On My Shoulders	John Denver
(I'd Know You) Anywhere	Ashford & Simpson
Jolene	Dolly Parton
Come Get To This	Marvin Gaye
Rock And Roll, Hoochie Koo	Rick Derringer
Thanks For Saving My Life	Billy Paul
Hangin' Around	Edgar Winter Group
I Just Can't Get You Out Of My Mind	Four Tops
We're Getting Careless With Our Love	Johnnie Taylor
This Is Your Song	Don Goodwin
Can't Say Nothin'	Curtis Mayfield
