To Sir With Love	Lulu
Soul Man	Sam & Dave
Incense And Peppermints	Strawberry Alarm Clock
The Rain, The Park & Other Things	The Cowsills
It Must Be Him	Vikki Carr
Please Love Me Forever	Bobby Vinton
Your Precious Love	Marvin Gaye & Tammi Terrell
I Say A Little Prayer	Dionne Warwick
Expressway (To Your Heart)	Soul Survivors
I Can See For Miles	The Who
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
Let It Out (Let It All Hang Out)	The Hombres
Everlasting Love	Robert Knight
(Loneliness Made Me Realize) It's You That I Need	The Temptations
Never My Love	The Association
Holiday	Bee Gees
Love Is Strange	Peaches & Herb
Pata Pata	Miriam Makeba
Lazy Day	Spanky And Our Gang
Lady Bird	Nancy Sinatra & Lee Hazlewood
I Heard It Through The Grapevine	Gladys Knight And The Pips
Kentucky Woman	Neil Diamond
I'm Wondering	Stevie Wonder
Like An Old Time Movie	Scott McKenzie
Boogaloo Down Broadway	The Fantastic Johnny C
Keep The Ball Rollin'	Jay And The Techniques
She Is Still A Mystery	The Lovin' Spoonful
Glad To Be Unhappy	The Mamas & The Papas
Stag-O-Lee	Wilson Pickett
Get On Up	The Esquires
You Better Sit Down Kids	Cher
How Can I Be Sure	The Young Rascals
Daydream Believer	The Monkees
Homburg	Procol Harum
Wild Honey	The Beach Boys
Beg, Borrow And Steal	Ohio Express
The Letter	The Box Tops
Back On The Street Again	The Sunshine Company
Watch The Flowers Grow	The 4 Seasons Featuring the "Sound of Frankie Valli"
People Are Strange	The Doors
Get It Together (Part 1)	James Brown And The Famous Flames
Mr. Dream Merchant	Jerry Butler
I Second That Emotion	Smokey Robinson & The Miracles
You Don't Know Me	Elvis Presley With The Jordanaires
Skinny Legs And All	Joe Tex
Out Of The Blue	Tommy James And The Shondells
In And Out Of Love	Diana Ross & The Supremes
Big Boss Man	Elvis Presley
By The Time I Get To Phoenix	Glen Campbell
Gimme Little Sign	Brenton Wood
Yesterday	Ray Charles
(The Lights Went Out In) Massachusetts	Bee Gees
This Town	Frank Sinatra
Shout Bamalama	Mickey Murray
She's My Girl	The Turtles
The Last Waltz	Engelbert Humperdinck
Suzanne	Noel Harrison
An Open Letter To My Teenage Son	Victor Lundberg
Are You Never Coming Home	Sandy Posey
Paper Cup	The 5th Dimension
Hush	Billy Joe Royal
Neon Rainbow	The Box Tops
Soul Man	Ramsey Lewis
Next Plane To London	The Rose Garden
Honey Chile	Martha Reeves & The Vandellas
Go-Go Girl	Lee Dorsey
The Look Of Love	Dusty Springfield
Karate-Boo-Ga-Loo	Jerryo
Wake Up, Wake Up	The Grass Roots
Nine Pound Steel	Joe Simon
Beautiful People	Kenny O'Dell
Sweet, Sweet Lovin'	The Platters
Whole Lotta Woman	Arthur Conley
O-O, I Love You	The Dells
When You're Gone	Brenda & The Tabulations
Beautiful People	Bobby Vee And The Strangers
You Mean The World To Me	David Houston
Can't Stop Loving You	The Last Word
Get Down	Harvey Scales
Shame On Me	Chuck Jackson
Summer Rain	Johnny Rivers
Woman, Woman	The Union Gap Featuring Gary Puckett
All Your Goodies Are Gone (The Loser's Seat)	The Parliaments
Go With Me	Gene And Debbe
Peace Of Mind	Paul Revere & The Raiders Featuring Mark Lindsay
Georgia Pines	The Candymen
Different Drum	Stone Poneys Featuring Linda Ronstadt
Itchycoo Park	Small Faces
What's It Gonna Be	Dusty Springfield
Red And Blue	The Dave Clark Five
For Once In My Life	Tony Bennett
Where Is The Party	Helena Ferguson
Pony With The Golden Mane	Every Mothers' Son
Goin' Back	The Byrds
Tell Mama	Etta James
Ten Little Indians	The Yardbirds
Piece Of My Heart	Erma Franklin
Chattanooga Choo Choo	Harpers Bizarre
Ooh Baby	Deon Jackson
Felicidad	Sally Field
