My Guy	Mary Wells
Love Me Do	The Beatles
Hello, Dolly!	Louis Armstrong And The All Stars
Chapel Of Love	The Dixie Cups
Love Me With All Your Heart (Cuando Calienta El Sol)	The Ray Charles Singers
Bits And Pieces	The Dave Clark Five
(Just Like) Romeo & Juliet	The Reflections
Ronnie	The 4 Seasons Featuring the "Sound of Frankie Valli"
It's Over	Roy Orbison
A World Without Love	Peter And Gordon
Little Children	Billy J. Kramer With The Dakotas
Do You Want To Know A Secret	The Beatles
Dead Man's Curve	Jan & Dean
I'm So Proud	The Impressions
P.S. I Love You	The Beatles
Walk On By	Dionne Warwick
Wish Someone Would Care	Irma Thomas
Do You Love Me	The Dave Clark Five
White On White	Danny Williams
Don't Let The Rain Come Down (Crooked Little Man)	The Serendipity Singers
Shangri-La	Robert Maxwell His Harp And Orchestra
Cotton Candy	Al Hirt
Can't Buy Me Love	The Beatles
Suspicion	Terry Stafford
I Don't Want To Be Hurt Anymore	Nat King Cole
People	Barbra Streisand
Diane	The Bachelors
The Very Thought Of You	Rick Nelson
Money	The Kingsmen
My Girl Sloopy	The Vibrations
Shangri-La	Vic Dana
Once Upon A Time	Marvin Gaye & Mary Wells
Every Little Bit Hurts	Brenda Holloway
Kiss Me Quick	Elvis Presley With The Jordanaires
Today	The New Christy Minstrels
Goodbye Baby (Baby Goodbye)	Solomon Burke
Wrong For Each Other	Andy Williams
The Shoop Shoop Song (It's In His Kiss)	Betty Everett
Three Window Coupe	The Rip Chords
Whenever He Holds You	Bobby Goldsboro
Twist And Shout	The Beatles
Be Anything (But Be Mine)	Connie Francis
The Pink Panther Theme	Henry Mancini And His Orchestra
(The Best Part Of) Breakin' Up	The Ronettes
Tall Cool One	The Wailers
Viva Las Vegas	Elvis Presley With The Jordanaires
Kiss Me Sailor	Diane Renay
I Rise, I Fall	Johnny Tillotson
That's The Way Boys Are	Lesley Gore
What'd I Say	Elvis Presley With The Jubilee Four And Carole Lombard Quartet
Soul Serenade	King Curtis
Tears And Roses	Al Martino
Good Golly Miss Molly	The Swinging Blue Jeans
Hurt By Love	Inez Foxx
Gonna Get Along Without You Now	Skeeter Davis
Tea For Two	Nino Tempo & April Stevens
Rock Me Baby	B.B. King
I Knew It All The Time	The Dave Clark Five
Gonna' Get Along Without You Now	Tracey Dey
One Way Love	The Drifters
Carol	Tommy Roe
Sugar And Spice	The Searchers
What's The Matter With You Baby	Marvin Gaye & Mary Wells
Another Cup Of Coffee	Brook Benton
The Loneliest Night	Dale & Grace
Ain't That Just Like Me	The Searchers
Donnie	The Bermudas
Tell Me Why	Bobby Vinton
Party Girl	Bernadette Carroll
Giving Up	Gladys Knight And The Pips
Loving You More Every Day	Etta James
Who's Afraid Of Virginia Woolf? (Part I)	Jimmy Smith
Winkin', Blinkin' And Nod	The Simon Sisters
Yesterday's Hero	Gene Pitney
I Don't Wanna Be A Loser	Lesley Gore
I Get Around	The Beach Boys
Too Late To Turn Back Now	Brook Benton
One Girl	Garnet Mimms
I'll Touch A Star	Terry Stafford
The World Of Lonely People	Anita Bryant
From Russia With Love	The Village Stompers
What Have I Got Of My Own	Trini Lopez
Not Fade Away	The Rolling Stones
Rules Of Love	The Orlons
Kiko	Jimmy McGriff
The French Song	Lucille Starr
Don't Let The Sun Catch You Crying	Gerry And The Pacemakers
Milord	Bobby Darin
Beans In My Ears	The Serendipity Singers
My Boy Lollipop	Millie Small
Tequila	Bill Black's Combo
Yesterday's Gone	Chad & Jeremy
Beg Me	Chuck Jackson
Big Boss Line	Jackie Wilson
Tell Me Mamma	Christine Quaite
Long Tall Shorty	Tommy Tucker
Security	Otis Redding
Yesterday's Gone	The Overlanders
Just Ain't Enough Love	Eddie Holland
No Particular Place To Go	Chuck Berry
