Kiss You All Over	Exile
Boogie Oogie Oogie	A Taste Of Honey
Hopelessly Devoted To You	Olivia Newton-John
Three Times A Lady	Commodores
Summer Nights	John Travolta & Olivia Newton-John & Cast
Don't Look Back	Boston
Hot Child In The City	Nick Gilder
Reminiscing	Little River Band
Love Is In The Air	John Paul Young
An Everlasting Love	Andy Gibb
You Needed Me	Anne Murray
Whenever I Call You "Friend"	Kenny Loggins
You And I	Rick James
Hollywood Nights	Bob Seger & The Silver Bullet Band
Hot Blooded	Foreigner
Oh! Darling	Robin Gibb
Fool If You Think It's Over	Chris Rea
Right Down The Line	Gerry Rafferty
Get Off	Foxy
Back In The U.s.a.	Linda Ronstadt
Love Theme From "Eyes Of Laura Mars" (Prisoner)	Barbra Streisand
She's Always A Woman	Billy Joel
Come Together	Aerosmith
You Never Done It Like That	Captain & Tennille
MacArthur Park	Donna Summer
Who Are You	The Who
I Love The Nightlife (Disco 'round)	Alicia Bridges
Talking In Your Sleep	Crystal Gayle
How Much I Feel	Ambrosia
5.7.0.5.	City Boy
Beast Of Burden	The Rolling Stones
Josie	Steely Dan
It's A Laugh	Daryl Hall John Oates
Got To Get You Into My Life	Earth, Wind & Fire
Almost Like Being In Love	Michael Johnson
Devoted To You	Carly Simon & James Taylor
Heartbreaker	Dolly Parton
Double Vision	Foreigner
I Will Still Love You	Stonebolt
Dance (Disco Heat)	Sylvester
All I See Is Your Face	Dan Hill
Badlands	Bruce Springsteen
Paradise By The Dashboard Light	Meat Loaf
Took The Last Train	David Gates
Grease	Frankie Valli
Ready To Take A Chance Again	Barry Manilow
Sweet Life	Paul Davis
London Town	Wings
Holding On (When Love Is Gone)	L.T.D.
Ease On Down The Road	Diana Ross & Michael Jackson
Themes From The Wizard Of Oz	Meco
Blue Collar Man (Long Nights)	Styx
I Just Wanna Stop	Gino Vannelli
If My Friends Could See Me Now	Linda Clifford
Prisoner Of Your Love	Player
Crazy Feelin'	Jefferson Starship
Sharing The Night Together	Dr. Hook
Shame	Evelyn "Champagne" King
Peggy Sue	The Beach Boys
Everybody Needs Love	Stephen Bishop
Wavelength	Van Morrison
Change Of Heart	Eric Carmen
Just What I Needed	The Cars
Miss You	The Rolling Stones
Champagne Jam	Atlanta Rhythm Section
Don't Want To Live Without It	Pablo Cruise
One Nation Under A Groove - Part I	Funkadelic
Straight On	Heart
Magnet And Steel	Walter Egan
You	The McCrarys
Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends	The Beatles
Let's Get Crazy Tonight	Rupert Holmes
Greased Lightnin'	John Travolta
Flying High	Commodores
Close The Door	Teddy Pendergrass
You Should Do It	Peter Brown With Betty Wright
Got To Have Loving	Don Ray
Listen To Her Heart	Tom Petty
Substitute	Clout
Brandy	The O'Jays
Hot Shot	Karen Young
Macho Man	Village People
Like A Sunday In Salem (The Amos & Andy Song)	Gene Cotton
Searching For A Thrill	Starbuck
Time Passages	Al Stewart
Strange Way	Firefall
What Goes Up	The Alan Parsons Project
Raining In My Heart	Leo Sayer
New York City	Zwol
Run For Home	Lindisfarne
When You Feel Love	Bob Mcgilpin
Dreadlock Holiday	10cc
The Joker	Snail
Louie, Louie	John Belushi
Think It Over	Cheryl Ladd
Shadow Dancing	Andy Gibb
Shake And Dance With Me	ConFunkShun
Last Dance	Donna Summer
A Rock 'N' Roll Fantasy	The Kinks
Love Will Find A Way	Pablo Cruise
