To Sir With Love	Lulu
Soul Man	Sam & Dave
It Must Be Him	Vikki Carr
Expressway (To Your Heart)	Soul Survivors
Your Precious Love	Marvin Gaye & Tammi Terrell
Never My Love	The Association
Incense And Peppermints	Strawberry Alarm Clock
(You Make Me Feel Like) A Natural Woman	Aretha Franklin
The Rain, The Park & Other Things	The Cowsills
Please Love Me Forever	Bobby Vinton
Get On Up	The Esquires
I'm Wondering	Stevie Wonder
How Can I Be Sure	The Young Rascals
People Are Strange	The Doors
(Loneliness Made Me Realize) It's You That I Need	The Temptations
Let It Out (Let It All Hang Out)	The Hombres
The Letter	The Box Tops
Love Is Strange	Peaches & Herb
Gimme Little Sign	Brenton Wood
Hey Baby (They're Playing Our Song)	The Buckinghams
Holiday	Bee Gees
The Look Of Love	Dusty Springfield
I Can See For Miles	The Who
Everlasting Love	Robert Knight
The Last Waltz	Engelbert Humperdinck
Pata Pata	Miriam Makeba
I Say A Little Prayer	Dionne Warwick
Kentucky Woman	Neil Diamond
Lazy Day	Spanky And Our Gang
Lady Bird	Nancy Sinatra & Lee Hazlewood
Child Of Clay	Jimmie Rodgers
I Heard It Through The Grapevine	Gladys Knight And The Pips
Let Love Come Between Us	James & Bobby Purify
Come Back When You Grow Up	Bobby Vee And The Strangers
Little Ole Man (Uptight-Everything's Alright)	Bill Cosby
Even The Bad Times Are Good	The Tremeloes
Glad To Be Unhappy	The Mamas & The Papas
Big Boss Man	Elvis Presley
You've Made Me So Very Happy	Brenda Holloway
Boogaloo Down Broadway	The Fantastic Johnny C
Like An Old Time Movie	Scott McKenzie
She Is Still A Mystery	The Lovin' Spoonful
Ode To Billie Joe	Bobbie Gentry
Just One Look	The Hollies
You Don't Know Me	Elvis Presley With The Jordanaires
Keep The Ball Rollin'	Jay And The Techniques
Homburg	Procol Harum
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
Lightning's Girl	Nancy Sinatra
You Keep Running Away	Four Tops
Karate-Boo-Ga-Loo	Jerryo
Hush	Billy Joe Royal
Get It Together (Part 1)	James Brown And The Famous Flames
Back On The Street Again	The Sunshine Company
Mr. Dream Merchant	Jerry Butler
Shout Bamalama	Mickey Murray
Stag-O-Lee	Wilson Pickett
Beg, Borrow And Steal	Ohio Express
Are You Never Coming Home	Sandy Posey
If This Is Love (I'd Rather Be Lonely)	The Precisions
Watch The Flowers Grow	The 4 Seasons Featuring the "Sound of Frankie Valli"
You Better Sit Down Kids	Cher
This Town	Frank Sinatra
King Midas In Reverse	The Hollies
Go-Go Girl	Lee Dorsey
Rock 'N' Roll Woman	Buffalo Springfield
Wild Honey	The Beach Boys
Out Of The Blue	Tommy James And The Shondells
Skinny Legs And All	Joe Tex
Suzanne	Noel Harrison
Nine Pound Steel	Joe Simon
Wake Up, Wake Up	The Grass Roots
Spreadin' Honey	The Watts 103rd Street Rhythm Band
What've I Done (To Make You Mad)	Linda Jones
Next Plane To London	The Rose Garden
By The Time I Get To Phoenix	Glen Campbell
You Mean The World To Me	David Houston
Dirty Man	Laura Lee
Can't Stop Loving You	The Last Word
Go With Me	Gene And Debbe
Get Down	Harvey Scales
Brink Of Disaster	Lesley Gore
Whole Lotta Woman	Arthur Conley
When You're Gone	Brenda & The Tabulations
I Second That Emotion	Smokey Robinson & The Miracles
Lovey Dovey/You're So Fine	Bunny Sigler
Shame On Me	Chuck Jackson
All Your Goodies Are Gone (The Loser's Seat)	The Parliaments
Birds Of Britain	Bob Crewe Generation
Paper Cup	The 5th Dimension
Give Everybody Some	The Bar-Kays
For Once In My Life	Tony Bennett
You Are My Sunshine	Mitch Ryder
Sweet, Sweet Lovin'	The Platters
O-O, I Love You	The Dells
Lapland	The Baltimore And Ohio Marching Band
On A Saturday Night	Eddie Floyd
Desiree'	The Left Banke
Alligator Bogaloo	Lou Donaldson
Piece Of My Heart	Erma Franklin
