No Scrubs	TLC
Kiss Me	Sixpence None The Richer
Believe	Cher
Every Morning	Sugar Ray
What's It Gonna Be?!	Busta Rhymes Featuring Janet
Heartbreak Hotel	Whitney Houston Feat. Faith Evans & Kelly Price
Angel Of Mine	Monica
Livin' La Vida Loca	Ricky Martin
Slide	Goo Goo Dolls
Please Remember Me	Tim McGraw
I Still Believe	Mariah Carey
Sweet Lady	Tyrese
If You (Lovin' Me)	Silk
What It's Like	Everlast
Fly Away	Lenny Kravitz
Give It To You	Jordan Knight
Anywhere	112 Featuring Lil'z
Who Dat	JT Money Featuring Sole
Angel	Sarah McLachlan
C'est La Vie	B*Witched
...Baby One More Time	Britney Spears
All I Have To Give	Backstreet Boys
All Night Long	Faith Evans Featuring Puff Daddy
Back 2 Good	matchbox 20
The Hardest Thing	98 Degrees
Stay The Same	Joey McIntyre
You	Jesse Powell
We Like To Party!	Vengaboys
When I Close My Eyes	Shanice
Ex-Factor	Lauryn Hill
Save Tonight	Eagle-Eye Cherry
How Forever Feels	Kenny Chesney
These Are The Times	Dru Hill
I Want It That Way	Backstreet Boys
That Don't Impress Me Much	Shania Twain
Wish You Were Here	Mark Wills
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
I'll Think Of A Reason Later	Lee Ann Womack
Ordinary Life	Chad Brock
Have You Ever?	Brandy
It Ain't My Fault 1 & 2	Silkk The Shocker Featuring Mystikal
My First Night With You	Mya
One More Try	Divine
(God Must Have Spent) A Little More Time On You	'N Sync
Drive Me Wild	Sawyer Brown
You Won't Ever Be Lonely	Andy Griggs
Gone Crazy	Alan Jackson
Praise You	Fatboy Slim
Everybody's Free (To Wear Sunscreen)	Baz Luhrmann
What's So Different	Ginuwine
Sitting Home	Total
Hands Of A Working Man	Ty Herndon
Fortunate	Maxwell
Almost Doesn't Count	Brandy
Girlfriend/Boyfriend	BLACKstreet With Janet
Anyone Else	Collin Raye
808	Blaque
Two Teardrops	Steve Wariner
The Animal Song	Savage Garden
Georgy Porgy	Eric Benet Featuring Faith Evans
Man! I Feel Like A Woman!	Shania Twain
Special	Garbage
Life	K-Ci & JoJo
Down So Long	Jewel
What'd You Come Here For?	Trina & Tamara
Hillbilly Shoes	Montgomery Gentry
Get Involved	Raphael Saadiq & Q-Tip
When A Woman's Fed Up	R. Kelly
Hate Me Now	Nas Featuring Puff Daddy
Anything But Down	Sheryl Crow
Blue Monday	Orgy
You Were Mine	Dixie Chicks
Write This Down	George Strait
Everytime I Cry	Terri Clark
You Got Me	The Roots Featuring Erykah Badu
With You	Lila McCann
My Favorite Girl	Dave Hollister
I Drive Myself Crazy	'N Sync
One	Creed
Faded Pictures	Case & Joe
Why Don't You Get A Job?	The Offspring
Nann	Trick Daddy Featuring Trina
I Don't Want To Miss A Thing	Mark Chesnutt
Heavy	Collective Soul
Holla Holla	Ja Rule
I'm Not Ready	Keith Sweat
Unbelievable	Diamond Rio
Written In The Stars	Elton John & LeAnn Rimes
My Own Worst Enemy	Lit
Where My Girls At?	702
Luv Me, Luv Me	Shaggy Featuring Janet
I'm Leaving	Aaron Tippin
Whatever You Say	Martina McBride
Busy Man	Billy Ray Cyrus
Crush	Dave Matthews Band
Can't Get Enough	Patty Loveless
You Get What You Give	New Radicals
Maria	Blondie
Nothing Really Matters	Madonna
My Name Is	Eminem
