Honey	Bobby Goldsboro
Cry Like A Baby	The Box Tops
Young Girl	The Union Gap Featuring Gary Puckett
Lady Madonna	The Beatles
(Sweet Sweet Baby) Since You've Been Gone	Aretha Franklin
I Got The Feelin'	James Brown And The Famous Flames
(Sittin' On) The Dock Of The Bay	Otis Redding
Dance To The Music	Sly & The Family Stone
Tighten Up	Archie Bell & The Drells
The Ballad Of Bonnie And Clyde	Georgie Fame
If You Can Want	Smokey Robinson & The Miracles
The Unicorn	The Irish Rovers
Cowboys To Girls	The Intruders
The Good, The Bad And The Ugly	Hugo Montenegro, His Orchestra And Chorus
La - La - Means I Love You	The Delfonics
Summertime Blues	Blue Cheer
Playboy	Gene And Debbe
Sweet Inspiration	The Sweet Inspirations
A Beautiful Morning	The Rascals
Take Time To Know Her	Percy Sledge
Ain't No Way	Aretha Franklin
Love Is All Around	The Troggs
Funky Street	Arthur Conley
Scarborough Fair (/Canticle)	Simon & Garfunkel
Love Is Blue (L'amour Est Bleu)	Paul Mauriat And His Orchestra
Jennifer Juniper	Donovan
Do You Know The Way To San José	Dionne Warwick
Forever Came Today	Diana Ross & The Supremes
Mighty Quinn (Quinn The Eskimo)	Manfred Mann
Cab Driver	The Mills Brothers
Shoo-Be-Doo-Be-Doo-Da-Day	Stevie Wonder
U.S. Male	Elvis Presley With The Jordanaires
Take Good Care Of My Baby	Bobby Vinton
Delilah	Tom Jones
Security	Etta James
Soul Serenade	Willie Mitchell
Ame Caline (Soul Coaxing)	Raymond Lefevre and His Orchestra
Kiss Me Goodbye	Petula Clark
Ain't Nothing Like The Real Thing	Marvin Gaye & Tammi Terrell
The Son Of Hickory Holler's Tramp	O.C. Smith
She's Lookin' Good	Wilson Pickett
The Impossible Dream	The Hesitations
Jennifer Eccles	The Hollies
I Will Always Think About You	The New Colony Six
Valleri	The Monkees
Simon Says	1910 Fruitgum Co.
Call Me Lightning	The Who
The Unknown Soldier	The Doors
Mony Mony	Tommy James And The Shondells
Look To Your Soul	Johnny Rivers
Loving You Has Made Me Bananas	Guy Marks
Sherry Don't Go	The Lettermen
Goodbye Baby (I Don't Want To See You Cry)	Tommy Boyce & Bobby Hart
Little Green Apples	Roger Miller
Foggy Mountain Breakdown	Flatt & Scruggs
Paying The Cost To Be The Boss	B.B. King
Jumbo	Bee Gees
Mrs. Robinson	Simon & Garfunkel
L. David Sloane	Michele Lee
You've Still Got A Place In My Heart	Dean Martin
Like To Get To Know You	Spanky And Our Gang
Red Red Wine	Neil Diamond
I Wanna Live	Glen Campbell
Wear It On Our Face	The Dells
I Can't Believe I'm Losing You	Frank Sinatra
Gentle On My Mind	Patti Page
Me, The Peaceful Heart	Lulu
Cinderella Rockefella	Esther & Abi Ofarim
100 Years	Nancy Sinatra
Friends	The Beach Boys
Impossible Mission (Mission Impossible)	Soul Survivors
My Girl/Hey Girl	Bobby Vee
Funky Walk Part I (East)	Dyke And The Blazers
I Got A Sure Thing	Ollie & The Nightingales
Master Jack	Four Jacks And A Jill
If You Don't Want My Love	Robert John
We're Rolling On (Part I)	The Impressions
Does Your Mama Know About Me	Bobby Taylor & The Vancouvers
Goin' Away	The Fireballs
Anything	Eric Burdon & The Animals
Cabaret	Herb Alpert & The Tijuana Brass
(You Keep Me) Hangin' On	Joe Simon
I Promise To Wait My Love	Martha Reeves & The Vandellas
May I Take A Giant Step (Into Your Heart)	1910 Fruitgum Co.
I Love You	People
Chain Gang	Jackie Wilson & Count Basie
The Happy Song (Dum-Dum)	Otis Redding
Baby Make Your Own Sweet Music	Jay And The Techniques
Show Time	Detroit Emeralds
You'll Never Walk Alone	Elvis Presley With The Jordanaires
Your Heart Is Free Just Like The Wind	Vikki Carr
I'm Sorry	The Delfonics
Love In Them There Hills	The Vibrations
I Can Remember	James & Bobby Purify
Never Get Enough Of Your Love	Oscar Toney, Jr.
Lili Marlene	Al Martino
Unwind	Ray Stevens
Greasy Heart	Jefferson Airplane
If I Were A Carpenter	Four Tops
A Tribute To A King	William Bell
