Truly Madly Deeply	Savage Garden
Together Again	Janet
Candle In The Wind 1997/Something About The Way You Look Tonight	Elton John
How Do I Live	LeAnn Rimes
Been Around The World	Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
My Body	LSG
You Make Me Wanna...	Usher
Tubthumping	Chumbawamba
Show Me Love	Robyn
Feel So Good	Mase
I Don't Want To Wait	Paula Cole
My Love Is The Shhh!	Somethin' For The People Featuring Trina & Tamara
A Song For Mama	Boyz II Men
I Don't Ever Want To See You Again	Uncle Sam
We're Not Making Love No More	Dru Hill
How's It Going To Be	Third Eye Blind
I Will Come To You	Hanson
Dangerous	Busta Rhymes
I Do	Lisa Loeb
The One I Gave My Heart To	Aaliyah
No, No, No	Destiny's Child
All Cried Out	Allure Featuring 112
Semi-Charmed Life	Third Eye Blind
Spice Up Your Life	Spice Girls
Foolish Games/You Were Meant For Me	Jewel
Quit Playing Games (With My Heart)	Backstreet Boys
Butta Love	Next
4 Seasons Of Loneliness	Boyz II Men
Sock It 2 Me	Missy "Misdemeanor" Elliott Featuring Da Brat
All For You	Sister Hazel
Mo Money Mo Problems	The Notorious B.I.G. Featuring Puff Daddy & Mase
What About Us	Total
Heaven	Nu Flavor
Criminal	Fiona Apple
Kiss The Rain	Billie Myers
Lollipop (Candyman)	Aqua
Breaking All The Rules	She Moves
Going Back To Cali	The Notorious B.I.G.
Building A Mystery	Sarah McLachlan
Honey	Mariah Carey
Sunny Came Home	Shawn Colvin
No Tengo Dinero	Los Umbrellos
I'll Be Missing You	Puff Daddy & Faith Evans Featuring 112
2 Become 1	Spice Girls
The Memory Remains	Metallica
32 Flavors	Alana Davis
If I Could Teach The World	Bone Thugs-N-Harmony
At The Beginning	Richard Marx & Donna Lewis
Don't Be Stupid (You Know I Love You)	Shania Twain
Invisible Man	98 Degrees
They Like It Slow	H-Town
Everything	Mary J. Blige
Swing My Way	K.P. & Envyi
Legend Of A Cowgirl	Imani Coppola
So Help Me Girl	Gary Barlow
Just Clownin'	WC From Westside Connection
Still Waters (Run Deep)	Bee Gees
You're Not Alone	Olive
Roxanne `97 - Puff Daddy Remix	Sting & The Police
What If	Reba McEntire
I'm Not A Player	Big Punisher
Say You'll Stay	KAI
Tuck Me In	Kimberly Scott
You Light Up My Life	LeAnn Rimes
So Good	Davina
Love Gets Me Every Time	Shania Twain
I'm Afraid Of Americans	David Bowie
You Should Be Mine (Don't Waste Your Time)	Brian McKnight Featuring Mase
I Wonder If Heaven Got A Ghetto	2Pac
One More Night	Amber
L-L-Lies	Diana King
Deja Vu [Uptown Baby]	Lord Tariq & Peter Gunz
Don't Stop The Music	Playa
Burn	Militia
Too Gone, Too Long	En Vogue
Last Night's Letter	K-Ci & JoJo
Mourn You Til I Join You	Naughty By Nature
What If I Said	Anita Cochran (Duet With Steve Wariner)
I Miss My Homies	Master P Featuring Pimp C And The Shocker
Ain't That Just The Way	Lutricia McNeal
Valentine	Martina McBride With Jim Brickman
You Know My Steez	Gang Starr
Brian Wilson	Barenaked Ladies
Don't Go	Le Click Featuring Kayo
Young, Sad And Blue	Lysette
4, 3, 2, 1	LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P
Doin' Time	Sublime
Man Behind The Music	Queen Pen Featuring Teddy Riley
Smack My Bitch Up	The Prodigy
Something That We Do	Clint Black
Santa's A Fat Bitch	Insane Clown Posse
Up & Down	Billy Lawrence
Spin Spin Sugar	Sneaker Pimps
Barbie Girl	Aqua
In Harm's Way	BeBe Winans
Rhythm Of Love	DJ Company
The Rest Of Mine	Trace Adkins
All Of My Days	Changing Faces (Featuring Jay-Z)
Only If...	Enya
Did I Shave My Legs For This?	Deana Carter
