Nothing Compares 2 U	Sinead O'Connor
Don't Wanna Fall In Love	Jane Child
All Around The World	Lisa Stansfield
I Wanna Be Rich	Calloway
I'll Be Your Everything	Tommy Page
Here And Now	Luther Vandross
How Can We Be Lovers	Michael Bolton
Forever	KISS
Without You	Motley Crue
Whole Wide World (From "True Love")	A'me Lorain
Whip Appeal	Babyface
Love Will Lead You Back	Taylor Dayne
What It Takes	Aerosmith
Black Velvet	Alannah Myles
Heartbeat	Seduction
Get Up! (Before The Night Is Over)	Technotronic
I Wish It Would Rain Down	Phil Collins
All I Wanna Do Is Make Love To You	Heart
Sending All My Love	Linear
Hold On	Wilson Phillips
Love Child	Sweet Sensation
The Heart Of The Matter	Don Henley
Room At The Top	Adam Ant
Alright	Janet Jackson
This Old Heart Of Mine	Rod Stewart With Ronald Isley
If U Were Mine	The U-Krew
Heart Of Stone	Cher
Vogue	Madonna
Poison	Bell Biv DeVoe
The Humpty Dance	Digital Underground
Your Baby Never Looked Good In Blue	Expose
The Secret Garden	Quincy Jones
All My Life	Linda Ronstadt (Featuring Aaron Neville)
It Must Have Been Love (From "Pretty Woman")	Roxette
Escapade	Janet Jackson
Expression	Salt-N-Pepa
No More Lies	Michel'le
Just A Friend	Biz Markie
A Little Love	Corey Hart
House Of Pain	Faster Pussycat
Save Me	Fleetwood Mac
Time After Time	Timmy T.
Make It Like It Was	Regina Belle
Ready Or Not	After 7
I'll See You In My Dreams	Giant
Hurting Kind (I've Got My Eyes On You)	Robert Plant
Ooh La La (I Can't Get Over You)	Perfect Gentlemen
Getting Away With It	Electronic
Keep It Together	Madonna
Opposites Attract	Paula Abdul (Duet With The Wild Pair)
Baby, It's Tonight	Jude Cole
Cruising For Bruising	Basia
Roam	The B-52s
Oye Mi Canto (Hear My Voice)	Gloria Estefan
The Way It Is	Tesla
Dangerous	Roxette
Wild Women Do (From "Pretty Woman")	Natalie Cole
All That Glitters Isn't Gold	The Cover Girls
Always And Forever	Whistle
Cuts You Up	Peter Murphy
Sacrifice	Elton John
C'mon And Get My Love	D-Mob Introducing Cathy Dennis
Love Me For Life	Stevie B
Have A Heart	Bonnie Raitt
True Blue Love	Lou Gramm
Lambada	Kaoma
Moonlight On Water	Laura Branigan
Heaven Is A 4 Letter Word	Bad English
Sometimes She Cries	Warrant
How 'Bout Us (From "True Love")	Grayson Hugh & Betty Wright
I Go To Extremes	Billy Joel
Get A Life	Soul II Soul
Enjoy The Silence	Depeche Mode
Nicety	Michel'le
Price Of Love	Bad English
Here We Are	Gloria Estefan
No Myth	Michael Penn
Got To Get	Leila K With Rob 'N' Raz
The Ballad Of Jayne	L.A. Guns
I Come Off	Young M.C.
Living In Oblivion	Anything Box
Hide And Seek	Pajama Party
Spin That Wheel	Hi Tek 3 Featuring Ya Kid K
Deadbeat Club	The B-52s
Coming Of Age	Damn Yankees
Dub Be Good To Me	Beats International
You Make Me Feel (Mighty Real)	Jimmy Somerville
Personal Jesus	Depeche Mode
Turtle Power	Partners In Kryme
Bust A Move	Young M.C.
Fly High Michelle	Enuff Z'Nuff
Drag My Bad Name Down	The 4 Of Us
A Face In The Crowd	Tom Petty
Pictures Of You	The Cure
A Girl Like You	The Smithereens
Blue Sky Mine	Midnight Oil
Anytime	McAuley Schenker Group
The Deeper The Love	Whitesnake
You Can't Get Away	Shana
You're The Only Woman	The Brat Pack
