The First Night	Monica
One Week	Barenaked Ladies
I Don't Want To Miss A Thing	Aerosmith
Crush	Jennifer Paige
I'll Be	Edwin McCain
How Deep Is Your Love	Dru Hill Featuring Redman
This Kiss	Faith Hill
My Way	Usher
Time After Time	Inoj
When The Lights Go Out	Five
The Boy Is Mine	Brandy & Monica
Daydreamin'	Tatyana Ali
Too Close	Next
I Still Love You	Next
Lately	Divine
Never Ever	All Saints
Touch It	Monifah
You're Still The One	Shania Twain
Because Of You	98 Degrees
Just The Two Of Us	Will Smith
Westside	TQ
I Can Do That	Montell Jordan
Thinkin' Bout It	Gerald Levert
Lookin' At Me	Mase Featuring Puff Daddy
Adia	Sarah McLachlan
Truly Madly Deeply	Savage Garden
Still A G Thang	Snoop Dogg
Splackavellie	Pressha
All My Life	K-Ci & JoJo
Make It Hot	Nicole Featuring Missy "Misdemeanor" Elliott & Mocha
So Into You	Tamia
Friend Of Mine	Kelly Price
Cruel Summer	Ace Of Base
Movin' On	Mya Featuring Silkk The Shocker
Nobody's Supposed To Be Here	Deborah Cox
Say It	Voices Of Theory
Ghetto Supastar (That Is What You Are)	Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya
Intergalactic	Beastie Boys
SuperThug (What What)	Noreaga
Still Not A Player	Big Punisher Featuring Joe
Nobody Else	Tyrese
I Don't Want To Wait	Paula Cole
Goodbye To My Homies	Master P Featuring Silkk The Shocker, Sons Of Funk And Mo B. Dick
I Had No Right	P.M. Dawn
How Do I Live	LeAnn Rimes
How's It Going To Be	Third Eye Blind
Shimmer	Fuel
Come With Me	Puff Daddy Featuring Jimmy Page
Sex And Candy	Marcy Playground
Together Again	Janet
Invasion Of The Flat Booty B*****s	Too $hort
Ray Of Light	Madonna
Everything's Gonna Be Alright	Sweetbox
Jackie's Strength	Tori Amos
Ooh La La	Rod Stewart
Yesterday	Debelah Morgan
26 Cents	The Wilkinsons
Landslide	Fleetwood Mac
Touch Me	Solo
Money Ain't A Thang	JD Featuring Jay-Z
Can't We Try	Rockell [Duet With Collage]
If You Could Read My Mind	Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez
No Fool No More	En Vogue
Horse & Carriage	Cam'Ron Featuring Mase
Can I Get A...	Jay-Z Featuring Amil (Of Major Coinz) & Ja
What U See Is What U Get	Xzibit
Cleopatra's Theme	Cleopatra
Lost In Love	Nastyboy Klick
You Only Have To Say You Love Me	Hannah Jones
Gotta Be	Jagged Edge
Nobody Does It Better	Nate Dogg Featuring Warren G
How's It Goin' Down	DMX Featuring Faith Evans
Definition	Mos Def & Kweli Are Black Star
Only When I Lose Myself	Depeche Mode
Here We Go	Funkmaster Flex Presents Khadejia Featuring Product
For You I Will	Aaron Tippin
It's Alright	Memphis Bleek (& Jay-Z)
Dr. Greenthumb	Cypress Hill
Stop	Spice Girls
Woof Woof	69 Boyz
You Won't Forget Me	La Bouche
I Should Cheat On You	J'Son
Wide Open Spaces	Dixie Chicks
Music Sounds Better With You	Stardust
Shorty (You Keep Playin' With My Mind)	Imajin Featuring Keith Murray
Find A Way	A Tribe Called Quest
Delicious	Pure Sugar
Ava Adore	The Smashing Pumpkins
A Little Past Little Rock	Lee Ann Womack
Paper	Queen Latifah Featuring Apache
'98 Thug Paradise	Tragedy, Capone, Infinite
Remember When	Color Me Badd
Deadly Zone	Bounty Killer Featuring Mobb Deep & Rappin' Noyd
What I Didn't Know	Athenaeum
Destiny	Myron
I Wasn't With It	Jesse Powell
Whatcha Gone Do?	Link
I Ain't Havin' That	Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday
The Cup Of Life (The Official Song Of The World Cup, France '98)	Ricky Martin
One Heart At A Time	Various Artists
