Woman In Love	Barbra Streisand
Lady	Kenny Rogers
He's So Shy	The Pointer Sisters
Another One Bites The Dust	Queen
The Wanderer	Donna Summer
I'm Coming Out	Diana Ross
Never Knew Love Like This Before	Stephanie Mills
Master Blaster (Jammin')	Stevie Wonder
Real Love	The Doobie Brothers
Upside Down	Diana Ross
Jesse	Carly Simon
Dreaming	Cliff Richard
Lovely One	The Jacksons
More Than I Can Say	Leo Sayer
Dreamer	Supertramp
All Out Of Love	Air Supply
Whip It	Devo
You've Lost That Lovin' Feeling	Daryl Hall John Oates
Hit Me With Your Best Shot	Pat Benatar
On The Road Again	Willie Nelson
Out Here On My Own	Irene Cara
That Girl Could Sing	Jackson Browne
Love On The Rocks	Neil Diamond
Never Be The Same	Christopher Cross
Let Me Be Your Angel	Stacy Lattisaw
She's So Cold	The Rolling Stones
Without Your Love	Roger Daltrey
Look What You've Done To Me	Boz Scaggs
I'm Alright	Kenny Loggins
Hungry Heart	Bruce Springsteen
I'm Happy That Love Has Found You	Jimmy Hall
(Just Like) Starting Over	John Lennon
Could I Have This Dance	Anne Murray
Theme From The Dukes Of Hazzard (Good Ol' Boys)	Waylon
You Shook Me All Night Long	AC/DC
Sometimes A Fantasy	Billy Joel
Deep Inside My Heart	Randy Meisner
Everybody's Got To Learn Sometime	The Korgis
This Time	John Cougar
Hold On	Kansas
If You Should Sail	Nielsen/Pearson
Turning Japanese	The Vapors
Guilty	Barbra Streisand & Barry Gibb
Cry Like A Baby	Kim Carnes
I Believe In You	Don Williams
Drivin' My Life Away	Eddie Rabbitt
It's My Turn	Diana Ross
One-Trick Pony	Paul Simon
Who Were You Thinkin' Of	The Doolittle Band
De Do Do Do, De Da Da Da	The Police
Xanadu	Olivia Newton-John And The Electric Light Orchestra
I Could Be Good For You	707
Late In The Evening	Paul Simon
Sequel	Harry Chapin
Every Woman In The World	Air Supply
Give Me The Night	George Benson
Texas In My Rear View Mirror	Mac Davis
Suddenly	Olivia Newton-John & Cliff Richard
Celebration	Kool & The Gang
Midnight Rocks	Al Stewart
Love X Love	George Benson
Live Every Minute	Ali Thomson
Lookin' For Love	Johnny Lee
Hot Rod Hearts	Robbie Dupree
Let's Be Lovers Again	Eddie Money (with Valerie Carter)
Walk Away	Donna Summer
Touch And Go	The Cars
Let Me Talk	Earth, Wind & Fire
Girls Can Get It	Dr. Hook
Sherry	Robert John
I'm Almost Ready	Pure Prairie League
Fame	Irene Cara
How Do I Survive	Amy Holland
Private Idaho	The B-52s
Don't Say No	Billy Burnette
When We Get Married	Larry Graham
Switchin' To Glide/This Beat Goes On	The Kings
Brite Eyes	Robbin Thompson Band
The Legend Of Wooley Swamp	The Charlie Daniels Band
Together	Tierra
Could I Be Dreaming	The Pointer Sisters
Who'll Be The Fool Tonight	Larsen-Feiten Band
Heroes	Commodores
Stop This Game	Cheap Trick
Morning Man	Rupert Holmes
Blues Power	Eric Clapton And His Band
Help Me!	Marcy Levy & Robin Gibb
Let's Do Something Cheap And Superficial	Burt Reynolds
I Love A Rainy Night	Eddie Rabbitt
The Horizontal Bop	Bob Seger
All Over The World	Electric Light Orchestra
No Night So Long	Dionne Warwick
You'll Accomp'ny Me	Bob Seger
Don't Ask Me Why	Billy Joel
Can't We Try	Teddy Pendergrass
One In A Million You	Larry Graham
Emotional Rescue	The Rolling Stones
More Bounce To The Ounce Part I	Zapp
Someone That I Used To Love	Natalie Cole
You're The Only Woman (You & I)	Ambrosia
