Faith	George Michael
Heaven Is A Place On Earth	Belinda Carlisle
Should've Known Better	Richard Marx
(I've Had) The Time Of My Life	Bill Medley & Jennifer Warnes
Is This Love	Whitesnake
Shake Your Love	Debbie Gibson
So Emotional	Whitney Houston
We'll Be Together	Sting
Don't You Want Me	Jody Watley
Got My Mind Set On You	George Harrison
Catch Me (I'm Falling) (From The Film "Hiding Out")	Pretty Poison
The One I Love	R.E.M.
Valerie	Steve Winwood
Dude (Looks Like A Lady)	Aerosmith
Tell It To My Heart(Dub)	Taylor Dayne
Cherry Bomb	John Mellencamp
The Way You Make Me Feel	Michael Jackson
Need You Tonight	INXS
That's What Love Is All About	Michael Bolton
I Do You	The Jets
Skeletons	Stevie Wonder
Candle In The Wind	Elton John
I Think We're Alone Now	Tiffany
Animal	Def Leppard
Mony Mony	Billy Idol
Hourglass	Squeeze
There's The Girl	Heart
Hazy Shade Of Winter	The Bangles
I've Been In Love Before	Cutting Crew
Crazy	Icehouse
Power Of Love	Laura Branigan
I Could Never Take The Place Of Your Man	Prince
Seasons Change	Expose
I Won't Forget You	Poison
I Want To Be Your Man	Roger
Hungry Eyes (From "Dirty Dancing")	Eric Carmen
True Faith	New Order
Could've Been	Tiffany
I Don't Mind At All	Bourgeois Tagg
Brilliant Disguise	Bruce Springsteen
Motortown	The Kane Gang
I Live For Your Love	Natalie Cole
Just Like Heaven	The Cure
Breakout	Swing Out Sister
Don't Shed A Tear	Paul Carrack
Pop Goes The World	Men Without Hats
Tunnel Of Love	Bruce Springsteen
Honestly	Stryper
Say You Will	Foreigner
Everywhere	Fleetwood Mac
(Baby Tell Me) Can You Dance	Shanice Wilson
Little Lies	Fleetwood Mac
Push It	Salt-N-Pepa
Love Will Find A Way	Yes
I Can't Help It	Bananarama
Can't Stay Away From You	Gloria Estefan & Miami Sound Machine
I Found Someone	Cher
Causing A Commotion	Madonna
Let Me Be The One	Expose
What Have I Done To Deserve This?	Pet Shop Boys & Dusty Springfield
It's A Sin	Pet Shop Boys
You And Me Tonight	Deja
System Of Survival	Earth, Wind & Fire
Because Of You	The Cover Girls
U Got The Look	Prince
Pump Up The Volume	M/A/R/R/S
In My Dreams	REO Speedwagon
We've Only Just Begun (The Romance Is Not Over)	Glenn Jones
Silent Morning	Noel
In God's Country	U2
Bad	Michael Jackson
Criticize	Alexander O'Neal
Guaranteed For Life	Millions Like Us
Throwaway	Mick Jagger
Don't Make Me Wait For Love	Kenny G. (Vocal By Lenny Williams)
Lover's Lane	Georgio
Here I Go Again	Whitesnake
Cherokee	Europe
What's Too Much	Smokey Robinson
Don't Tell Me The Time	Martha Davis
Hot In The City	Billy Idol
She's Fly	Tony Terry
You're All I Need	Motley Crue
Special Way	Kool & The Gang
Someone To Love Me For Me	Lisa Lisa And Cult Jam Featuring Full Force
Come On, Let's Go	Los Lobos
Reason To Live	KISS
Never Thought (That I Could Love)	Dan Hill
Kick The Wall	Jimmy Davis & Junction
Who Will You Run To	Heart
If You Let Me Stay	Terence Trent D'Arby
Eagles Fly	Sammy Hagar
The Real Thing	Jellybean Featuring Steven Dante
Boys Night Out	Timothy B. Schmit
Hot Hot Hot	Buster Poindexter & His Banshees Of Blue
Casanova	Levert
Reservations For Two	Dionne & Kashif
Where The Streets Have No Name	U2
No One In The World	Anita Baker
Lost In Emotion	Lisa Lisa And Cult Jam
