Always Be My Baby	Mariah Carey
Because You Loved Me (From "Up Close & Personal")	Celine Dion
Nobody Knows	The Tony Rich Project
Ironic	Alanis Morissette
1, 2, 3, 4 (Sumpin' New)	Coolio
You're The One	SWV
Down Low (Nobody Has To Know)	R. Kelly Featuring Ronald Isley
Count On Me (From "Waiting To Exhale")	Whitney Houston & CeCe Winans
Woo-Hah!! Got You All In Check/Everything Remains Raw	Busta Rhymes
Follow You Down/Til I Hear It From You	Gin Blossoms
Sittin' Up In My Room (From "Waiting To Exhale")	Brandy
Doin It	LL Cool J
Missing	Everything But The Girl
Give Me One Reason	Tracy Chapman
All The Things (Your Man Won't Do) (From "Don't Be A Menace...")	Joe
Closer To Free (From "Party Of Five")	BoDeans
Who Do U Love	Deborah Cox
Lady	D'Angelo
Insensitive (From "Bed Of Roses")	Jann Arden
Not Gon' Cry (From "Waiting To Exhale")	Mary J. Blige
1979	The Smashing Pumpkins
Old Man & Me (When I Get To Heaven)	Hootie & The Blowfish
Just A Girl	No Doubt
5 O'Clock	Nonchalant
One Sweet Day	Mariah Carey & Boyz II Men
Be My Lover	La Bouche
Wonder	Natalie Merchant
Keep On, Keepin' On (From "Sunset Park")	MC Lyte Featuring Xscape
Name	Goo Goo Dolls
Sweet Dreams	La Bouche
The World I Know	Collective Soul
I Want To Come Over	Melissa Etheridge
Renee	Lost Boyz
I Will Survive	Chantay Savage
Anything	3T
In The Meantime	Spacehog
A Thin Line Between Love & Hate (From "A Thin Line...")	H-Town
Chains	Tina Arena
Don't Wanna Lose You	Lionel Richie
Hook	Blues Traveler
Don't Cry	Seal
One Of Us	Joan Osborne
Machinehead (From "Fear")	Bush
Time	Hootie & The Blowfish
Wonderwall	Oasis
The Earth, The Sun, The Rain	Color Me Badd
Get Money	Junior M.A.F.I.A. Featuring The Notorious B.I.G.
Feels So Good (Show Me Your Love)	Lina Santiago
Lucky Love	Ace Of Base
Gangsta's Paradise (From "Dangerous Minds")	Coolio Featuring L.V.
Fu-Gee-La	Fugees
Release Me	Angelina
Amish Paradise	"Weird Al" Yankovic
Peaches	The Presidents Of The United States Of America
Only Happy When It Rains	Garbage
Do You Want To/Can't Hang	Xscape Featuring MC Lyte
Please Don't Go	Immature
Reach	Gloria Estefan
Kissin' You	Total
C'mon N' Ride It (The Train)	Quad City DJ's
Tres Delinquentes	Delinquent Habits
Can't Get You Off My Mind	Lenny Kravitz
Ain't No Nigga/Dead Presidents	Jay-Z Featuring Foxxy Brown
Soul Food	Goodie Mob
Cumbersome	Seven Mary Three
Glycerine	Bush
Scarred (From "Eddie")	Luke
Ain't Nobody/Kissing You	Faith Evans
One For The Money	Horace Brown
Counting Blue Cars	Dishwalla
Your Loving Arms	Billie Ray Martin
Shadowboxin'	Genius/GZA Featuring Method Man
Live And Die For Hip Hop	Kris Kross
Esa Nena Linda	Artie The 1 Man Party
Ever Since You Went Away	Art N' Soul
Slow Jams	Quincy Jones Feat. Babyface & Tamia With Portrai
Feel The Music	Planet Soul Featuring Brenda Dee
Have I Never	A Few Good Men
Love Don't Live Here Anymore	Madonna
Jesus To A Child	George Michael
Take A Look	J'Son
I Got Id/Long Road	Pearl Jam
Only Love (The Ballad Of Sleeping Beauty)	Sophie B. Hawkins
Ain't No Playa	Rappin' 4-Tay
Give Me...A Reason	Buffy
Can't Be Wasting My Time (From "Don't Be A Menace...")	Mona Lisa Featuring Lost Boyz
Stayin' Alive	N-Trance
Real Love	The Beatles
My Maria	Brooks & Dunn
Mr. Ice Cream Man	Master P
Don't Rush	Silk
No More Games	Skin Deep Featuring Li'l Kim Of Junior M.A.F.I.A.
Scary Kisses	Voice Of The Beehive
The World Is A Ghetto	Geto Boys Featuring Flaj
High And Dry	Radiohead
I Don't Wanna Be Alone	Shai
Guilty (From "Seven")	Gravity Kills
Stairway To Heaven	Pure Soul
Envy/Firewater	Fat Joe
Where Do U Want Me To Put It	Solo
